message_technology,SSP1,SSP2,SSP3,SSP4,SSP5,LED
bio_istig,high,medium,low,high,medium,medium
bio_istig_ccs,medium,medium,low,high,high,medium
bio_ppl,high,medium,low,high,medium,medium
bio_ppl_co2scr,medium,medium,low,high,high,medium
biomass_i,low,low,low,low,low,low
c_ppl_co2scr,low,low_medium,medium,high,high,low
coal_adv,very_low,medium,high,medium,medium,very_low
coal_adv_ccs,very_low,medium,medium,high,high,very_low
coal_i,low,low,low,low,low,low
coal_ppl,very_low,medium,high,medium,medium,very_low
coal_ppl_u,medium,medium,high,medium,medium,medium
csp_sm1_ppl,high,medium,low,high,medium,very_high
csp_sm3_ppl,high,medium,low,high,medium,very_high
elec_i,low,low,low,low,low,low
eth_bio,high,medium,low,high,medium,medium
eth_bio_ccs,medium,medium,low,high,high,medium
eth_i,low,low,low,low,low,low
foil_i,low,low,low,low,low,low
g_ppl_co2scr,low,low_medium,medium,high,high,low
gas_cc,high,medium,low,medium,high,medium
gas_cc_ccs,medium,medium,low,high,high,medium
gas_ct,high,medium,low,medium,high,medium
gas_i,low,low,low,low,low,low
gas_ppl,medium,medium,low,medium,high,medium
geo_hpl,medium,medium,high,high,medium,medium
geo_ppl,high,medium,high,high,medium,medium
h2_bio,high,medium,low,high,medium,medium
h2_bio_ccs,high,medium,low,high,medium,medium
h2_coal,very_low,medium,medium,medium,medium,very_low
h2_coal_ccs,very_low,medium,medium,medium,medium,very_low
h2_elec,very_high,medium,low,medium,medium,very_high
h2_i,low,low,low,low,low,low
h2_smr,high,medium,low,medium,high,medium
h2_smr_ccs,medium,medium,low,high,high,medium
h2_pyro_elec,medium,medium,low,high,high,medium
heat_i,low,low,low,low,low,low
hp_el_i,high,medium,low,high,medium,medium
hp_gas_i,high,medium,low,medium,high,medium
hydro_hc,high,medium,low,high,medium,medium
hydro_lc,high,medium,low,high,medium,medium
igcc,very_low,medium,high,medium,medium,very_low
igcc_ccs,low,medium,medium,high,high,low
liq_bio,high,medium,low,high,medium,medium
liq_bio_ccs,high,medium,low,high,medium,medium
loil_i,low,low,low,low,low,low
meth_coal,very_low,medium,very_high,medium,low,very_low
meth_coal_ccs,very_low,medium,very_high,medium,low,very_low
meth_i,low,low,low,low,low,low
meth_ng,high,medium,low,medium,high,medium
meth_ng_ccs,high,medium,low,medium,high,medium
nuc_hc,low,medium,low,high,very_high,low
nuc_lc,low,medium,low,high,very_high,low
solar_i,high,medium,low,high,medium,medium
solar_pv_I,high,medium,low,high,medium,very_high
solar_pv_RC,high,medium,low,high,medium,very_high
solar_res_hist_2000,high,medium,low_medium,high,low_medium,very_high
solar_res_hist_2005,high,medium,low_medium,high,low_medium,very_high
solar_res_hist_2010,high,medium,low_medium,high,low_medium,very_high
solar_res_hist_2015,high,medium,low_medium,high,low_medium,very_high
solar_res_hist_2020,high,medium,low_medium,high,low_medium,very_high
solar_res_hist_2025,high,medium,low_medium,high,low_medium,very_high
solar_res1,high,medium,low_medium,high,low_medium,very_high
solar_res2,high,medium,low_medium,high,low_medium,very_high
solar_res3,high,medium,low_medium,high,low_medium,very_high
solar_res4,high,medium,low_medium,high,low_medium,very_high
solar_res5,high,medium,low_medium,high,low_medium,very_high
solar_res6,high,medium,low_medium,high,low_medium,very_high
solar_res7,high,medium,low_medium,high,low_medium,very_high
solar_res8,high,medium,low_medium,high,low_medium,very_high
solar_res_rt_hist_2000,high,medium,low_medium,high,low_medium,very_high
solar_res_rt_hist_2005,high,medium,low_medium,high,low_medium,very_high
solar_res_rt_hist_2010,high,medium,low_medium,high,low_medium,very_high
solar_res_rt_hist_2015,high,medium,low_medium,high,low_medium,very_high
solar_res_rt_hist_2020,high,medium,low_medium,high,low_medium,very_high
solar_res_rt_hist_2025,high,medium,low_medium,high,low_medium,very_high
solar_res_RT1,high,medium,low_medium,high,low_medium,very_high
solar_res_RT2,high,medium,low_medium,high,low_medium,very_high
solar_res_RT3,high,medium,low_medium,high,low_medium,very_high
solar_res_RT4,high,medium,low_medium,high,low_medium,very_high
solar_res_RT5,high,medium,low_medium,high,low_medium,very_high
solar_res_RT6,high,medium,low_medium,high,low_medium,very_high
solar_res_RT7,high,medium,low_medium,high,low_medium,very_high
solar_res_RT8,high,medium,low_medium,high,low_medium,very_high
solar_th_ppl,high,medium,low,high,medium,very_high
stor_ppl,high,medium,low_medium,high,medium,very_high
syn_liq,very_low,medium,high,medium,medium,very_low
