MODEL,SCENARIO,YEAR,IMPORTER,MESSAGETEC,LEVEL,UNITS,COMMODITY
NP_SSP2_6.2,baseline,2015,R12_NAM,gas_imp,0.031,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2020,R12_NAM,gas_imp,0.051300000000000005,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2025,R12_NAM,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2030,R12_NAM,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2035,R12_NAM,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2040,R12_NAM,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2045,R12_NAM,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2050,R12_NAM,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2055,R12_NAM,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2060,R12_NAM,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2070,R12_NAM,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2080,R12_NAM,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2090,R12_NAM,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2100,R12_NAM,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2110,R12_NAM,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2020,R12_PAO,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2025,R12_PAO,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2030,R12_PAO,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2035,R12_PAO,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2040,R12_PAO,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2045,R12_PAO,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2050,R12_PAO,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2055,R12_PAO,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2060,R12_PAO,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2070,R12_PAO,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2080,R12_PAO,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2090,R12_PAO,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2100,R12_PAO,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2110,R12_PAO,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2020,R12_RCPA,gas_imp,0.0,GWa,gas (GWa)
NP_SSP2_6.2,baseline,2025,R12_RCPA,gas_imp,0.0,GWa,gas (GWa)
