MODEL,SCENARIO,YEAR,IMPORTER,MESSAGETEC,LEVEL,UNITS,COMMODITY
NP_SSP2_6.2,pipelines_LNG,2040,R12_LAM,LNG_shipped_imp,12.345269858588686,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2045,R12_LAM,LNG_shipped_imp,26.80730280460373,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2050,R12_LAM,LNG_shipped_imp,11.69421739599265,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2055,R12_LAM,LNG_shipped_imp,0.0,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2060,R12_LAM,LNG_shipped_imp,11.051262500000005,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2070,R12_LAM,LNG_shipped_imp,28.500681914211825,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2080,R12_LAM,LNG_shipped_imp,1.0138886250569668,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2090,R12_LAM,LNG_shipped_imp,26.807302804603722,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2100,R12_LAM,LNG_shipped_imp,0.0,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2110,R12_LAM,LNG_shipped_imp,25.15578507109766,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2030,R12_MEA,LNG_shipped_imp,0.0,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2035,R12_MEA,LNG_shipped_imp,11.051262500000005,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2040,R12_MEA,LNG_shipped_imp,12.345269858588686,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2045,R12_MEA,LNG_shipped_imp,26.80730280460373,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2050,R12_MEA,LNG_shipped_imp,11.69421739599265,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2055,R12_MEA,LNG_shipped_imp,0.0,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2060,R12_MEA,LNG_shipped_imp,11.051262500000005,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2070,R12_MEA,LNG_shipped_imp,3.403369976383411,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2080,R12_MEA,LNG_shipped_imp,30.699516138564267,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2090,R12_MEA,LNG_shipped_imp,2.330411898438342,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2100,R12_MEA,LNG_shipped_imp,28.951780490642093,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2110,R12_MEA,LNG_shipped_imp,72.31518474794453,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2030,R12_NAM,LNG_shipped_imp,11.051262500000005,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2035,R12_NAM,LNG_shipped_imp,25.155785071097668,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2040,R12_NAM,LNG_shipped_imp,43.157127176454715,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2045,R12_NAM,LNG_shipped_imp,66.13190820577685,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2050,R12_NAM,LNG_shipped_imp,42.12284743012995,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2055,R12_NAM,LNG_shipped_imp,23.545093874655414,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2060,R12_NAM,LNG_shipped_imp,9.169982311856375,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2070,R12_NAM,LNG_shipped_imp,28.500681914211825,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2080,R12_NAM,LNG_shipped_imp,1.0138886250569668,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2090,R12_NAM,LNG_shipped_imp,26.807302804603722,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2100,R12_NAM,LNG_shipped_imp,0.0,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2110,R12_NAM,LNG_shipped_imp,25.15578507109766,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2030,R12_PAO,LNG_shipped_imp,11.051262500000005,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2035,R12_PAO,LNG_shipped_imp,15.725610377284392,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2040,R12_PAO,LNG_shipped_imp,31.121569083586746,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2045,R12_PAO,LNG_shipped_imp,50.77114731745179,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2050,R12_PAO,LNG_shipped_imp,30.23698346924845,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2055,R12_PAO,LNG_shipped_imp,14.348038916007066,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2060,R12_PAO,LNG_shipped_imp,2.053476503714431,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2070,R12_PAO,LNG_shipped_imp,28.500681914211825,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2080,R12_PAO,LNG_shipped_imp,1.0138886250569668,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2090,R12_PAO,LNG_shipped_imp,26.807302804603722,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2100,R12_PAO,LNG_shipped_imp,0.0,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2110,R12_PAO,LNG_shipped_imp,25.15578507109766,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2030,R12_PAS,LNG_shipped_imp,11.051262500000005,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2035,R12_PAS,LNG_shipped_imp,25.155785071097668,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2040,R12_PAS,LNG_shipped_imp,19.01783816922476,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2045,R12_PAS,LNG_shipped_imp,35.32337871399032,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2050,R12_PAS,LNG_shipped_imp,18.28379459697898,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2055,R12_PAS,LNG_shipped_imp,5.098889224307827,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2060,R12_PAS,LNG_shipped_imp,17.558880806214013,GWa,LNG (GWa)
NP_SSP2_6.2,pipelines_LNG,2070,R12_PAS,LNG_shipped_imp,28.500681914211825,GWa,LNG (GWa)
