YEAR,EXPORTER,IMPORTER,MESSAGE COMMODITY,ENERGY (TJ),EXPORTER REGION,IMPORTER REGION,PAIR,REGION PAIR
1993,AUS,KOR,LNG_shipped,3093.0,R12_PAO,R12_PAS,AUS-KOR,R12_PAO-R12_PAS
1993,DZA,ITA,LNG_shipped,10147.0,R12_MEA,R12_WEU,DZA-ITA,R12_MEA-R12_WEU
1993,MYS,KOR,LNG_shipped,15779.0,R12_PAS,R12_PAS,MYS-KOR,R12_PAS-R12_PAS
1993,LBY,ESP,LNG_shipped,54459.0,R12_MEA,R12_WEU,LBY-ESP,R12_MEA-R12_WEU
1993,USA,JPN,LNG_shipped,60232.0,R12_NAM,R12_PAO,USA-JPN,R12_NAM-R12_PAO
1993,DZA,USA,LNG_shipped,87910.0,R12_MEA,R12_NAM,DZA-USA,R12_MEA-R12_NAM
1993,IDN,TWA,LNG_shipped,108071.0,R12_PAS,,IDN-TWA,R12_PAS-
1993,ARE,JPN,LNG_shipped,135440.0,R12_MEA,R12_PAO,ARE-JPN,R12_MEA-R12_PAO
1993,DZA,ESP,LNG_shipped,174612.0,R12_MEA,R12_WEU,DZA-ESP,R12_MEA-R12_WEU
1993,DZA,BEL,LNG_shipped,175314.0,R12_MEA,R12_WEU,DZA-BEL,R12_MEA-R12_WEU
1993,IDN,KOR,LNG_shipped,223833.0,R12_PAS,R12_PAS,IDN-KOR,R12_PAS-R12_PAS
1993,AUS,JPN,LNG_shipped,290147.0,R12_PAO,R12_PAO,AUS-JPN,R12_PAO-R12_PAO
1993,BRN,JPN,LNG_shipped,302342.0,R12_PAS,R12_PAO,BRN-JPN,R12_PAS-R12_PAO
1993,DZA,FRA,LNG_shipped,364957.0,R12_MEA,R12_WEU,DZA-FRA,R12_MEA-R12_WEU
1993,MYS,JPN,LNG_shipped,419339.0,R12_PAS,R12_PAO,MYS-JPN,R12_PAS-R12_PAO
1993,IDN,JPN,LNG_shipped,977725.0,R12_PAS,R12_PAO,IDN-JPN,R12_PAS-R12_PAO
1993,IRN,AZE,gas_piped,75.0,R12_MEA,R12_FSU,IRN-AZE,R12_MEA-R12_FSU
1993,CZE,POL,gas_piped,157.0,R12_EEU,R12_EEU,CZE-POL,R12_EEU-R12_EEU
1993,GBR,IRL,gas_piped,190.0,R12_WEU,R12_WEU,GBR-IRL,R12_WEU-R12_WEU
1993,SVK,CZE,gas_piped,460.0,R12_EEU,R12_EEU,SVK-CZE,R12_EEU-R12_EEU
1993,DEU,POL,gas_piped,836.0,R12_WEU,R12_EEU,DEU-POL,R12_WEU-R12_EEU
1993,UKR,BLR,gas_piped,1545.0,R12_FSU,R12_FSU,UKR-BLR,R12_FSU-R12_FSU
1993,ITA,CHE,gas_piped,1649.0,R12_WEU,R12_WEU,ITA-CHE,R12_WEU-R12_WEU
1993,MEX,USA,gas_piped,1806.0,R12_LAM,R12_NAM,MEX-USA,R12_LAM-R12_NAM
1993,NOR,AUT,gas_piped,3604.0,R12_WEU,R12_WEU,NOR-AUT,R12_WEU-R12_WEU
1993,GBR,DEU,gas_piped,5163.0,R12_WEU,R12_WEU,GBR-DEU,R12_WEU-R12_WEU
1993,RUS,BIH,gas_piped,5473.0,R12_FSU,R12_EEU,RUS-BIH,R12_FSU-R12_EEU
1993,FRA,DEU,gas_piped,6048.0,R12_WEU,R12_WEU,FRA-DEU,R12_WEU-R12_WEU
