message_technology,first_year_original
MTO_petro,2020
NH3_to_N_fertil,1995
atm_distillation_ref,1980
bf_steel,1990
biomass_NH3,1995
biomass_NH3_ccs,1995
bof_steel,1990
catalytic_cracking_ref,1980
catalytic_reforming_ref,1980
clinker_dry_ccs_cement,1980
clinker_dry_cement,1980
clinker_wet_ccs_cement,1980
clinker_wet_cement,1980
coal_NH3,1995
coal_NH3_ccs,1995
cokeoven_steel,1990
coking_ref,1980
dheat_aluminum,2030
dheat_cement,2030
dheat_petro,2030
dheat_refining,2030
dheat_resins,2030
dheat_steel,2030
eaf_steel,1990
electr_NH3,1995
ethanol_to_ethylene_petro,1980
finishing_steel,1990
fueloil_NH3,1995
fueloil_NH3_ccs,1995
furnace_biomass_aluminum,1980
furnace_biomass_cement,1980
furnace_biomass_petro,1980
furnace_biomass_refining,1980
furnace_biomass_resins,1980
furnace_biomass_steel,1980
furnace_coal_aluminum,1980
furnace_coal_cement,1980
furnace_coal_petro,1980
furnace_coal_refining,1980
furnace_coal_resins,1980
furnace_coal_steel,1980
furnace_coke_petro,1980
furnace_coke_refining,1980
furnace_elec_aluminum,1980
furnace_elec_cement,1980
furnace_elec_petro,1980
furnace_elec_refining,1980
furnace_elec_resins,1980
furnace_elec_steel,1980
furnace_ethanol_aluminum,1980
furnace_ethanol_cement,1980
furnace_ethanol_petro,1980
furnace_ethanol_refining,1980
furnace_ethanol_resins,1980
furnace_ethanol_steel,1980
furnace_foil_aluminum,1980
furnace_foil_cement,1980
furnace_foil_petro,1980
furnace_foil_refining,1980
furnace_foil_resins,1980
furnace_foil_steel,1980
furnace_gas_aluminum,1980
furnace_gas_cement,1980
furnace_gas_petro,1980
furnace_gas_refining,1980
furnace_gas_resins,1980
furnace_gas_steel,1980
furnace_h2_aluminum,2030
furnace_h2_cement,2030
furnace_h2_petro,2030
furnace_h2_refining,2030
furnace_h2_resins,2030
furnace_h2_steel,2030
furnace_loil_aluminum,1980
furnace_loil_cement,1980
furnace_loil_petro,1980
furnace_loil_refining,1980
furnace_loil_resins,1980
furnace_loil_steel,1980
furnace_methanol_aluminum,2020
furnace_methanol_cement,2020
furnace_methanol_petro,2020
furnace_methanol_refining,2020
furnace_methanol_resins,2020
furnace_methanol_steel,2020
gas_NH3,1995
gas_NH3_ccs,1995
grinding_ballmill_cement,1980
grinding_vertmill_cement,1980
hp_elec_aluminum,1980
hp_elec_cement,1980
hp_elec_petro,1980
hp_elec_refining,1980
hp_elec_resins,1980
hp_elec_steel,1980
hp_gas_aluminum,1980
hp_gas_cement,1980
hp_gas_petro,1980
hp_gas_refining,1980
hp_gas_resins,1980
hp_gas_steel,1980
hydro_cracking_ref,1980
meth_bio,2020
meth_bio_ccs,2030
meth_coal,2000
meth_coal_ccs,2030
meth_h2,2020
meth_ng,2000
meth_ng_ccs,2030
pellet_steel,1990
prebake_aluminum,1985
raw_meal_prep_cement,1980
sinter_steel,1990
soderberg_aluminum,1985
solar_aluminum,2030
solar_cement,2030
solar_petro,2030
solar_refining,2030
solar_resins,2030
solar_steel,2030
steam_cracker_petro,1980
vacuum_distillation_ref,1980
visbreaker_ref,1980
dri_steel,1990
export_NFert,2005
export_NH3,2005
export_aluminum,1985
export_petro,1980
export_steel,1990
fc_h2_aluminum,2030
fc_h2_cement,2030
fc_h2_petro,2030
fc_h2_refining,2030
fc_h2_resins,2030
fc_h2_steel,2030
manuf_steel,1990
meth_exp,2020
