message_technology,SSP1,SSP2,SSP3,SSP4,SSP5,LED
furnace_coal_cement,low,low,low,low,low,low
manuf_steel,medium,medium,medium,medium,medium,medium
hp_elec_refining,high,high,high,high,high,high
bio_hpl,very_low,very_low,very_low,very_low,very_low,very_low
