message_technology,reg_diff_source,reg_diff_technology,base_year_reference_region_cost,fix_ratio,first_year_original
hp_elec_resins,energy,hp_el_i,443.08,0.152,1980
hp_elec_steel,energy,hp_el_i,443.08,0.152,1980
hp_gas_aluminum,energy,hp_gas_i,487.38,0.138,1980
hp_gas_cement,energy,hp_gas_i,487.38,0.138,1980
hp_gas_petro,energy,hp_gas_i,487.38,0.138,1980
hp_gas_refining,energy,hp_gas_i,487.38,0.138,1980
hp_gas_resins,energy,hp_gas_i,487.38,0.138,1980
hp_gas_steel,energy,hp_gas_i,487.38,0.138,1980
hydro_cracking_ref,"","",213.7565143,0.021,1980
hydrotreating_ref,"","",,,
import_NFert,"","",,,
import_NH3,"","",,,
import_aluminum,"","",,,
import_petro,"","",,,
import_steel,"","",,,
manuf_aluminum,"","",,,
manuf_steel,"","",228.92,0,1990
meth_bal,"","",,,
meth_bio,energy,meth_coal,2407.596309,0.034,2020
meth_bio_ccs,energy,meth_coal,2503.380896,0.037,2030
meth_coal,energy,meth_coal,842,0.034,2000
meth_coal_ccs,energy,meth_coal,1234.63,0.042,2030
meth_exp,"","",235,0,2020
meth_h2,intratec,"",187.2054389,0.109,2020
meth_imp,"","",,,
meth_ng,energy,meth_ng,350,0.022,2000
meth_ng_ccs,energy,meth_ng,500,0.023,2030
meth_t_d,"","",,,
meth_t_d_material,"","",,,
meth_trd,"","",,,
other_EOL_aluminum,"","",,,
other_EOL_cement,"","",,,
other_EOL_steel,"","",,,
pellet_steel,"","",25.14,0.1,1990
prebake_aluminum,"","",4081.28,0.118,1985
prep_secondary_aluminum_1,"","",,,
prep_secondary_aluminum_2,"","",,,
prep_secondary_aluminum_3,"","",,,
prep_secondary_steel_1,"","",,,
prep_secondary_steel_2,"","",,,
prep_secondary_steel_3,"","",,,
production_HVC,"","",,,
raw_meal_prep_cement,"","",65.75,0.001,1980
residual_NH3,"","",,,
scrap_recovery_aluminum,"","",,,
scrap_recovery_cement,"","",,,
