node,year,value
R12_AFR,2015,2.241640342
R12_AFR,2019,2.194992539
R12_AFR,2020,2.057786723
R12_AFR,2022,2.15169614
R12_AFR,2025,2.134202922
R12_AFR,2030,2.152684154
R12_AFR,2035,2.204343609
R12_AFR,2040,2.2720514
R12_AFR,2045,2.333492752
R12_AFR,2050,2.407076747
R12_AFR,2055,2.502855006
R12_AFR,2060,2.619102213
R12_AFR,2065,2.619776397
R12_AFR,2070,2.622444604
R12_AFR,2075,2.620092672
R12_AFR,2080,2.618034281
R12_AFR,2085,2.614717293
R12_AFR,2090,2.611163977
R12_AFR,2095,2.605915785
R12_AFR,2100,2.601741704
R12_CHN,2015,2.101214885
R12_CHN,2019,1.925271832
R12_CHN,2020,2.009513562
R12_CHN,2022,1.919876426
R12_CHN,2025,1.922536027
R12_CHN,2030,1.980160631
R12_CHN,2035,2.037294948
R12_CHN,2040,2.113353389
R12_CHN,2045,2.163761084
R12_CHN,2050,2.221630837
R12_CHN,2055,2.290769743
R12_CHN,2060,2.371342472
R12_CHN,2065,2.375065197
R12_CHN,2070,2.399739163
R12_CHN,2075,2.422113665
R12_CHN,2080,2.44481195
R12_CHN,2085,2.467371353
R12_CHN,2090,2.489660371
R12_CHN,2095,2.510539471
R12_CHN,2100,2.530041607
R12_EEU,2015,1.837456736
R12_EEU,2019,1.830533902
R12_EEU,2020,1.849304762
R12_EEU,2022,1.835411226
R12_EEU,2025,1.873936979
R12_EEU,2030,1.896160685
R12_EEU,2035,1.910725623
R12_EEU,2040,1.923940252
R12_EEU,2045,1.942248193
R12_EEU,2050,1.955239042
R12_EEU,2055,1.96592524
R12_EEU,2060,1.978674075
R12_EEU,2065,1.979205167
R12_EEU,2070,1.979458348
R12_EEU,2075,1.979983713
R12_EEU,2080,1.980487828
R12_EEU,2085,1.981541636
R12_EEU,2090,1.983499713
R12_EEU,2095,1.983394528
R12_EEU,2100,1.984342817
R12_FSU,2015,2.013572697
R12_FSU,2019,1.970412206
R12_FSU,2020,1.93801799
R12_FSU,2022,1.962958261
R12_FSU,2025,1.981770187
R12_FSU,2030,1.981612283
R12_FSU,2035,2.001554981
R12_FSU,2040,2.02255514
R12_FSU,2045,2.05435428
R12_FSU,2050,2.08016088
R12_FSU,2055,2.110903057
R12_FSU,2060,2.138753219
R12_FSU,2065,2.142662549
R12_FSU,2070,2.145583122
R12_FSU,2075,2.149646555
R12_FSU,2080,2.155290813
R12_FSU,2085,2.160398418
R12_FSU,2090,2.16708097
R12_FSU,2095,2.171341606
R12_FSU,2100,2.175175704
R12_LAM,2015,1.707774033
R12_LAM,2019,1.723704252
R12_LAM,2020,1.732752079
R12_LAM,2022,1.71359096
R12_LAM,2025,1.720743871
R12_LAM,2030,1.771107307
R12_LAM,2035,1.82028824
R12_LAM,2040,1.879998954
R12_LAM,2045,1.913640628
R12_LAM,2050,1.943922557
R12_LAM,2055,1.968933462
R12_LAM,2060,1.99401894
R12_LAM,2065,1.985000927
R12_LAM,2070,1.982823621
R12_LAM,2075,1.971037078
R12_LAM,2080,1.959105094
R12_LAM,2085,1.940841419
R12_LAM,2090,1.927600092
R12_LAM,2095,1.909800545
R12_LAM,2100,1.893680711
R12_MEA,2015,1.436309043
R12_MEA,2019,1.447885377
R12_MEA,2020,1.467753966
R12_MEA,2022,1.451674937
R12_MEA,2025,1.447045869
R12_MEA,2030,1.480141958
R12_MEA,2035,1.493730345
R12_MEA,2040,1.506517349
R12_MEA,2045,1.52567839
R12_MEA,2050,1.537731451
R12_MEA,2055,1.550719055
R12_MEA,2060,1.574999513
R12_MEA,2065,1.563312557
R12_MEA,2070,1.571104158
R12_MEA,2075,1.570987303
R12_MEA,2080,1.569130274
R12_MEA,2085,1.588066502
R12_MEA,2090,1.681374042
R12_MEA,2095,2.059778829
R12_MEA,2100,2.594206336
R12_NAM,2015,1.758176055
