# Load factor (occupancy) of LDVs
#
# Source: Duplicate of R11/load-factor-ldv.csv; R12_CHN and R12_RCPA values
# filled from R11_CPA.
#
# Units: dimensionless
# (Implicitly passengers per vehicle.)
#
node,     year, value
# “Global South”
R12_AFR,  2020, 2.100
R12_AFR,  2030, 2.134
R12_AFR,  2040, 2.168
R12_AFR,  2050, 2.201
R12_AFR,  2110, 2.201
R12_CHN,  2020, 1.750
R12_CHN,  2030, 1.900
R12_CHN,  2040, 2.051
R12_CHN,  2050, 2.201
R12_CHN,  2110, 2.201
R12_LAM,  2020, 1.807
R12_LAM,  2030, 1.938
R12_LAM,  2040, 2.070
R12_LAM,  2050, 2.201
R12_LAM,  2110, 2.201
R12_MEA,  2020, 1.807
R12_MEA,  2030, 1.938
R12_MEA,  2040, 2.070
R12_MEA,  2050, 2.201
R12_MEA,  2110, 2.201
R12_PAS,  2020, 1.807
R12_PAS,  2030, 1.938
R12_PAS,  2040, 2.070
R12_PAS,  2050, 2.201
R12_PAS,  2110, 2.201
R12_RCPA, 2020, 1.892
R12_RCPA, 2030, 1.995
R12_RCPA, 2040, 2.098
R12_RCPA, 2050, 2.201
R12_RCPA, 2110, 2.201
R12_SAS,  2020, 2.000
R12_SAS,  2030, 2.067
R12_SAS,  2040, 2.134
R12_SAS,  2050, 2.201
R12_SAS,  2110, 2.201

# “Global North”
R12_EEU,  2020, 1.643
R12_EEU,  2030, 1.721
R12_EEU,  2040, 1.800
R12_EEU,  2050, 1.878
R12_EEU,  2110, 2.201
R12_FSU,  2020, 1.807
R12_FSU,  2030, 1.831
R12_FSU,  2040, 1.854
R12_FSU,  2050, 1.878
R12_FSU,  2110, 2.201
R12_NAM,  2020, 1.530
R12_NAM,  2030, 1.646
R12_NAM,  2040, 1.762
R12_NAM,  2050, 1.878
R12_NAM,  2110, 2.201
R12_PAO,  2020, 1.720
R12_PAO,  2030, 1.773
R12_PAO,  2040, 1.825
R12_PAO,  2050, 1.878
R12_PAO,  2110, 2.201
R12_WEU,  2020, 1.650
R12_WEU,  2030, 1.726
R12_WEU,  2040, 1.802
R12_WEU,  2050, 1.878
R12_WEU,  2110, 2.201
