node,year,value
R12_PAS,2075,2.128268832
R12_PAS,2080,2.150310706
R12_PAS,2085,2.164302964
R12_PAS,2090,2.182048159
R12_PAS,2095,2.191289885
R12_PAS,2100,2.198070731
R12_RCPA,2015,1.941529041
R12_RCPA,2019,1.923227933
R12_RCPA,2020,1.886230835
R12_RCPA,2022,1.898882397
R12_RCPA,2025,1.925769056
R12_RCPA,2030,1.977121656
R12_RCPA,2035,2.021421307
R12_RCPA,2040,2.070062178
R12_RCPA,2045,2.117027053
R12_RCPA,2050,2.161063706
R12_RCPA,2055,2.193443829
R12_RCPA,2060,2.235076326
R12_RCPA,2065,2.238060362
R12_RCPA,2070,2.257268246
R12_RCPA,2075,2.270444499
R12_RCPA,2080,2.291944985
R12_RCPA,2085,2.304677584
R12_RCPA,2090,2.318036434
R12_RCPA,2095,2.325046362
R12_RCPA,2100,2.337841292
R12_SAS,2015,3.396388535
R12_SAS,2019,3.316921692
R12_SAS,2020,3.273679818
R12_SAS,2022,3.298715034
R12_SAS,2025,3.293576604
R12_SAS,2030,3.228151301
R12_SAS,2035,3.199455536
R12_SAS,2040,3.183084169
R12_SAS,2045,3.19049009
R12_SAS,2050,3.182807472
R12_SAS,2055,3.256188108
R12_SAS,2060,3.317070105
R12_SAS,2065,3.32529848
R12_SAS,2070,3.317710371
R12_SAS,2075,3.317792313
R12_SAS,2080,3.30205442
R12_SAS,2085,3.297589421
R12_SAS,2090,3.276689198
R12_SAS,2095,3.268243331
R12_SAS,2100,3.246175058
R12_WEU,2015,1.392524019
R12_WEU,2019,1.388232058
R12_WEU,2020,1.388793355
R12_WEU,2022,1.392288707
R12_WEU,2025,1.403071748
R12_WEU,2030,1.423821192
R12_WEU,2035,1.439800082
R12_WEU,2040,1.462311074
R12_WEU,2045,1.485109801
R12_WEU,2050,1.51539151
R12_WEU,2055,1.545937967
R12_WEU,2060,1.588786981
R12_WEU,2065,1.599764106
R12_WEU,2070,1.616258047
R12_WEU,2075,1.625713224
R12_WEU,2080,1.640582019
R12_WEU,2085,1.649561933
R12_WEU,2090,1.662834439
R12_WEU,2095,1.668030708
R12_WEU,2100,1.677156229
