# Disutility costs
#
# Source:
# - Manually reduced from files named P:/ene.model/TaxSub_Transport_Merged/MA3T/
#   Endogenized_Disutility_Costs/R_project/Output/upd_files_dis_costs/*/
#   dis_costs_geam_ADV3TRAr2_Base_DCFrozX2_1.upd
# - One file per region.
# - These .upd data files were produced using the R scripts and input data files
#   in the parent directories; see
#   disut_cost_comp_summarized_2016-04-08_MESSAGE.xlsx for an explanation/
#   demonstration of the calculation.
# - Placeholder values of 0.0001 for 2010 and earlier periods are omitted.
#
# Units: kUSD / vehicle
#
node,cg,technology,year,value
R11_AFR,RUEAA,ELC_100,2020,296.549
R11_AFR,RUEAA,ELC_100,2030,86.158
R11_AFR,RUEAA,ELC_100,2040,45.269
R11_AFR,RUEAA,ELC_100,2050,23.646
R11_AFR,RUEAA,ELC_100,2060,17.789
R11_AFR,RUEAA,ELC_100,2070,15.277
R11_AFR,RUEAA,ELC_100,2080,13.644
R11_AFR,RUEAA,ELC_100,2090,12.464
R11_AFR,RUEAA,ELC_100,2100,11.295
R11_AFR,RUEAA,HFC_ptrp,2020,265.951
R11_AFR,RUEAA,HFC_ptrp,2030,117.725
R11_AFR,RUEAA,HFC_ptrp,2040,69.705
R11_AFR,RUEAA,HFC_ptrp,2050,48.141
R11_AFR,RUEAA,HFC_ptrp,2060,42.651
R11_AFR,RUEAA,HFC_ptrp,2070,40.295
R11_AFR,RUEAA,HFC_ptrp,2080,38.765
R11_AFR,RUEAA,HFC_ptrp,2090,37.658
R11_AFR,RUEAA,HFC_ptrp,2100,36.562
R11_AFR,RUEAA,IAHe_ptrp,2020,80.327
R11_AFR,RUEAA,IAHe_ptrp,2030,29.286
R11_AFR,RUEAA,IAHe_ptrp,2040,19.013
R11_AFR,RUEAA,IAHe_ptrp,2050,4.908
R11_AFR,RUEAA,IAHe_ptrp,2060,3.231
R11_AFR,RUEAA,IAHe_ptrp,2070,2.512
R11_AFR,RUEAA,IAHe_ptrp,2080,2.045
R11_AFR,RUEAA,IAHe_ptrp,2090,1.707
R11_AFR,RUEAA,IAHe_ptrp,2100,1.372
R11_AFR,RUEAA,IAHm_ptrp,2020,80.327
R11_AFR,RUEAA,IAHm_ptrp,2030,29.286
R11_AFR,RUEAA,IAHm_ptrp,2040,19.013
R11_AFR,RUEAA,IAHm_ptrp,2050,4.908
R11_AFR,RUEAA,IAHm_ptrp,2060,3.231
R11_AFR,RUEAA,IAHm_ptrp,2070,2.512
R11_AFR,RUEAA,IAHm_ptrp,2080,2.045
R11_AFR,RUEAA,IAHm_ptrp,2090,1.707
R11_AFR,RUEAA,IAHm_ptrp,2100,1.372
R11_AFR,RUEAA,ICAe_ffv,2020,0.0
R11_AFR,RUEAA,ICAe_ffv,2030,0.0
R11_AFR,RUEAA,ICAe_ffv,2040,0.0
R11_AFR,RUEAA,ICAe_ffv,2050,0.0
R11_AFR,RUEAA,ICAe_ffv,2060,0.0
R11_AFR,RUEAA,ICAe_ffv,2070,0.0
R11_AFR,RUEAA,ICAe_ffv,2080,0.0
R11_AFR,RUEAA,ICAe_ffv,2090,0.0
R11_AFR,RUEAA,ICAe_ffv,2100,0.0
R11_AFR,RUEAA,ICAm_ptrp,2020,0.0
