# Mode shares of freight activity in the model base year
#
# - Prepared by A. Javaid 2023-11-02.
# - LAM data is based on weight (tones) as I haven’t yet found any good
#   source for tonne-km mode split.
# - LAM and SSA mode split are based on intra-regional movements, whereas
#   others are either total within a region or total within a country.
# - PNK inserted "0" for:
#   - mode=AIR in R11_EEU, R11_FSU.
#   - mode=WATER in R11_MEA, R11_NAM.
#
# Units: dimensionless
#
node,    technology, value
R11_AFR, F ROAD,     0.767
R11_AFR, F RAIL,     0.003
R11_AFR, F WATER,    0.221
R11_AFR, F AIR,      0.009
R11_CPA, F ROAD,     0.310
R11_CPA, F RAIL,     0.200
R11_CPA, F WATER,    0.480
R11_CPA, F AIR,      0.020
R11_EEU, F ROAD,     0.680
R11_EEU, F RAIL,     0.270
R11_EEU, F WATER,    0.050
R11_EEU, F AIR,      0.0
R11_FSU, F ROAD,     0.080
R11_FSU, F RAIL,     0.900
R11_FSU, F WATER,    0.020
R11_FSU, F AIR,      0.0
R11_LAM, F ROAD,     0.344
R11_LAM, F RAIL,     0.007
R11_LAM, F WATER,    0.648
R11_LAM, F AIR,      0.001
R11_MEA, F ROAD,     0.965
R11_MEA, F RAIL,     0.019
R11_MEA, F WATER,    0.0
R11_MEA, F AIR,      0.016
R11_NAM, F ROAD,     0.590
R11_NAM, F RAIL,     0.350
R11_NAM, F WATER,    0.0
R11_NAM, F AIR,      0.060
R11_PAO, F ROAD,     0.700
R11_PAO, F RAIL,     0.285
R11_PAO, F WATER,    0.0149
R11_PAO, F AIR,      0.01
R11_PAS, F ROAD,     0.747
R11_PAS, F RAIL,     0.011
R11_PAS, F WATER,    0.240
R11_PAS, F AIR,      0.002
R11_SAS, F ROAD,     0.600
R11_SAS, F RAIL,     0.380
R11_SAS, F WATER,    0.019
R11_SAS, F AIR,      0.001
R11_WEU, F ROAD,     0.750
R11_WEU, F RAIL,     0.190
R11_WEU, F WATER,    0.059
R11_WEU, F AIR,      0.001
