Region,Year,Level
R12_AFR,2025,38.5283594163528
R12_AFR,2030,54.3731270310317
R12_AFR,2035,85.8123376156109
R12_AFR,2040,109.872956781432
R12_AFR,2045,155.385372164661
R12_AFR,2050,184.297787216778
R12_AFR,2055,235.116291222254
R12_AFR,2060,260.253192284447
R12_AFR,2070,318.220021697215
R12_AFR,2080,349.602841199382
R12_AFR,2090,356.461214112652
R12_AFR,2100,345.298328135256
R12_AFR,2110,345.298328135256
R12_RCPA,2025,16.9094378516968
R12_RCPA,2030,18.3116084519959
R12_RCPA,2035,20.6019848372459
R12_RCPA,2040,23.8074198414852
R12_RCPA,2045,26.7884460941615
R12_RCPA,2050,28.835884560446
R12_RCPA,2055,29.3106216060958
R12_RCPA,2060,28.7574026373907
R12_RCPA,2070,25.5765901277073
R12_RCPA,2080,21.487499650726
R12_RCPA,2090,17.5734926544299
R12_RCPA,2100,14.2951725225954
R12_RCPA,2110,14.2951725225954
R12_EEU,2025,56.041088008228
R12_EEU,2030,54.3026195556787
R12_EEU,2035,51.1304629538942
R12_EEU,2040,46.6647675949058
R12_EEU,2045,41.7637312422827
R12_EEU,2050,37.2159076802449
R12_EEU,2055,33.3155588185462
R12_EEU,2060,30.0596410165945
R12_EEU,2070,24.8274638800033
R12_EEU,2080,20.6862622774804
R12_EEU,2090,17.3634940234363
R12_EEU,2100,14.6304768566872
R12_EEU,2110,14.6304768566872
R12_FSU,2025,60.1412705428891
R12_FSU,2030,60.8366951784798
R12_FSU,2035,62.1250853143658
R12_FSU,2040,63.5066288817217
R12_FSU,2045,64.44287291474
R12_FSU,2050,64.629621919381
R12_FSU,2055,63.8869377076344
R12_FSU,2060,62.2230235178472
R12_FSU,2070,57.3088467263755
R12_FSU,2080,51.0254264397625
R12_FSU,2090,44.6137062254623
R12_FSU,2100,38.6209879883455
R12_FSU,2110,38.6209879883455
R12_LAM,2025,73.3584729395503
R12_LAM,2030,77.7251391639287
R12_LAM,2035,90.034605937066
R12_LAM,2040,105.95571106879
R12_LAM,2045,124.71566028914
R12_LAM,2050,139.116032442122
R12_LAM,2055,148.695076635774
R12_LAM,2060,152.57006306987
R12_LAM,2070,149.101544670551
R12_LAM,2080,137.245371230286
R12_LAM,2090,122.260600797111
R12_LAM,2100,107.011131229357
R12_LAM,2110,107.011131229357
R12_MEA,2025,66.0309548118619
R12_MEA,2030,73.4180484851701
R12_MEA,2035,86.9941399283173
R12_MEA,2040,101.731640168748
R12_MEA,2045,119.09512120198
R12_MEA,2050,133.039136355966
R12_MEA,2055,143.904434043407
R12_MEA,2060,150.035602779348
R12_MEA,2070,152.888219551704
R12_MEA,2080,146.434454053697
R12_MEA,2090,135.317378965862
R12_MEA,2100,122.307521566757
R12_MEA,2110,122.307521566757
R12_NAM,2025,93.7603416219862
R12_NAM,2030,90.868892586794
R12_NAM,2035,91.7291275354589
R12_NAM,2040,97.0964172824153
R12_NAM,2045,104.05355386749
R12_NAM,2050,110.076778622297
R12_NAM,2055,113.833650307663
R12_NAM,2060,115.196618073118
R12_NAM,2070,112.403356909501
R12_NAM,2080,104.92380676127
R12_NAM,2090,95.3827553996858
R12_NAM,2100,85.2675385888332
R12_NAM,2110,85.2675385888332
R12_PAO,2025,88.3520012104603
R12_PAO,2030,84.5176529087746
R12_PAO,2035,78.3088178532308
R12_PAO,2040,70.3147384946731
R12_PAO,2045,61.8259638185465
R12_PAO,2050,54.147421103922
R12_PAO,2055,47.7982001813513
R12_PAO,2060,42.6958652032942
R12_PAO,2070,35.0145162312124
R12_PAO,2080,29.3530419804099
R12_PAO,2090,24.7241847778312
R12_PAO,2100,20.7560556377554
R12_PAO,2110,20.7560556377554
R12_PAS,2025,78.431752090299
R12_PAS,2030,86.0778518889034
R12_PAS,2035,98.7281048753457
R12_PAS,2040,112.501029181913
R12_PAS,2045,127.369145060843
R12_PAS,2050,137.907673988534
R12_PAS,2055,143.847718594317
R12_PAS,2060,145.284574114715
R12_PAS,2070,138.936454643218
R12_PAS,2080,125.740779254633
R12_PAS,2090,110.411062941494
R12_PAS,2100,95.2036937197894
R12_PAS,2110,95.2036937197894
R12_SAS,2025,250.639098478215
R12_SAS,2030,295.156442883495
R12_SAS,2035,367.797150876173
R12_SAS,2040,392.286343211495
R12_SAS,2045,435.360642797806
R12_SAS,2050,445.938942658863
R12_SAS,2055,465.118631377661
R12_SAS,2060,466.150030868558
R12_SAS,2070,459.284040304279
R12_SAS,2080,432.193101372417
R12_SAS,2090,392.349830562659
R12_SAS,2100,347.293976311148
R12_SAS,2110,347.293976311148
R12_WEU,2025,126.28697392392
R12_WEU,2030,121.765763534965
R12_WEU,2035,121.699924926129
R12_WEU,2040,125.566161073754
R12_WEU,2045,131.000591807078
R12_WEU,2050,134.989787415167
R12_WEU,2055,136.391292177175
R12_WEU,2060,135.213916479982
R12_WEU,2070,127.361246802132
R12_WEU,2080,115.813146775143
R12_WEU,2090,103.14160398051
R12_WEU,2100,90.4347245731352
R12_WEU,2110,90.4347245731352
R12_CHN,2025,1022.64135673558
R12_CHN,2030,1009.78853953861
R12_CHN,2035,935.579123254129
R12_CHN,2040,817.022503044946
R12_CHN,2045,676.793094853718
R12_CHN,2050,552.92974908905
R12_CHN,2055,450.131414098506
R12_CHN,2060,373.339516365122
R12_CHN,2070,270.733846056078
R12_CHN,2080,207.161533111803
R12_CHN,2090,162.759087497684
R12_CHN,2100,130.191636248892
R12_CHN,2110,130.191636248892
