Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
MESSAGEix-buildings,SSP2_BL,AFR,Product Stock|Buildings|Commercial,m^2,1667697510,2063724110,2573855636,3225129871,4088719647,5244806566,6804483266,8921264632,11727159534,19256491202,27100496323,32115075255,34117609240
MESSAGEix-buildings,SSP2_BL,CHN,Product Stock|Buildings|Commercial,m^2,14738852517,17680138920,19031522409,19454189459,19430939441,19141390320,18662848301,18051520665,17350171087,15827668515,14271059794,12783706066,11508977138
MESSAGEix-buildings,SSP2_BL,EEU,Product Stock|Buildings|Commercial,m^2,1451443088,1689445019,1857850798,1958491122,2009106920,2027895436,2027816401,2014751140,1991236411,1909021798,1804789332,1703752204,1609671327
MESSAGEix-buildings,SSP2_BL,FSU,Product Stock|Buildings|Commercial,m^2,3053712472,3649928412,4075047508,4344790889,4526190585,4647643521,4724900549,4770179240,4793128128,4768110088,4663997896,4515289795,4347438439
MESSAGEix-buildings,SSP2_BL,LAM,Product Stock|Buildings|Commercial,m^2,4694715855,5947718563,7237634390,8487841280,9670240162,10722299834,11587515529,12238549325,12667897567,12994617895,12858527923,12491589824,12044779003
MESSAGEix-buildings,SSP2_BL,MEA,Product Stock|Buildings|Commercial,m^2,2787404453,3610284681,4557332621,5540811435,6514693041,7419697120,8222714462,8932846640,9553921066,10507780568,11032778557,11194615887,11118165722
MESSAGEix-buildings,SSP2_BL,NAM,Product Stock|Buildings|Commercial,m^2,9326854790,9745477218,10117780363,10455316425,10764845583,11048453842,11317022451,11582955677,11849747014,12319228926,12650542531,12828154527,12869807029
MESSAGEix-buildings,SSP2_BL,PAO,Product Stock|Buildings|Commercial,m^2,3027923069,3318725721,3513841720,3620694771,3677177218,3705797250,3709447746,3697343277,3672279533,3574269492,3442298024,3282023382,3100688640
MESSAGEix-buildings,SSP2_BL,PAS,Product Stock|Buildings|Commercial,m^2,2352995379,3213268007,4138062259,5108967130,6083816598,6948909327,7653800961,8208835909,8629698154,9095311536,9131217569,8904608970,8557589514
MESSAGEix-buildings,SSP2_BL,RCPA,Product Stock|Buildings|Commercial,m^2,1306123316,1615310520,1789642038,1884247934,1941582737,1974646593,1985568511,1979640056,1959620387,1889998026,1792759048,1685492185,1586010067
MESSAGEix-buildings,SSP2_BL,SAS,Product Stock|Buildings|Commercial,m^2,5479605884,7030965924,9022976416,11514364037,14574060815,18064371319,21740215475,25324693452,28531446641,33119571823,35167344779,35251991862,34212605941
MESSAGEix-buildings,SSP2_BL,WEU,Product Stock|Buildings|Commercial,m^2,8524235648,9201794432,9755443331,10201047106,10552000148,10812799762,11000180158,11127823663,11208961250,11250380916,11195806697,11056700270,10819106878
MESSAGEix-buildings,SSP2_BL,AFR,Final Energy|Buildings|Commercial,EJ/yr,0.00242,0.00267,0.003,0.00342,0.004,0.0048,0.00589,0.00739,0.00937,0.01457,0.01971,0.02264,0.02344
MESSAGEix-buildings,SSP2_BL,AFR,Final Energy|Buildings|Commercial,EJ/yr,0.01565,0.02576,0.04532,0.06491,0.11063,0.18824,0.35242,0.80078,1.91682,8.82586,21.30344,33.50561,39.11134
MESSAGEix-buildings,SSP2_BL,AFR,Final Energy|Buildings|Commercial,EJ/yr,0.11999,0.13183,0.14821,0.17016,0.20054,0.24267,0.30072,0.38046,0.48654,0.76864,1.05404,1.22476,1.27975
MESSAGEix-buildings,SSP2_BL,AFR,Final Energy|Buildings|Commercial,EJ/yr,0.5175,0.63695,0.79416,0.99833,1.27468,1.65287,2.17507,2.90104,3.8851,6.59719,9.46667,11.2822,11.97996
MESSAGEix-buildings,SSP2_BL,CHN,Final Energy|Buildings|Commercial,EJ/yr,1.39198,1.54242,1.60993,1.62584,1.60862,1.57005,1.51458,1.4465,1.3702,1.21024,1.05714,0.92208,0.81174
MESSAGEix-buildings,SSP2_BL,CHN,Final Energy|Buildings|Commercial,EJ/yr,0.73765,1.41912,1.72383,1.83067,1.82866,1.85892,1.82463,1.75604,1.67369,1.48341,1.29533,1.12402,0.98115
MESSAGEix-buildings,SSP2_BL,CHN,Final Energy|Buildings|Commercial,EJ/yr,0.55641,0.63709,0.67009,0.67565,0.66776,0.65216,0.63107,0.60619,0.57891,0.52201,0.46617,0.41438,0.37073
