Model,Scenario,Sensitivity,Region,Variable,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGE-buildings,LED,ref,AFR,Energy Service|Residential|Floor Space,bn m2/yr,14.10026172,15.77582268,19.61442872,23.9106142,28.6452682,33.78188529,39.26416708,45.04534151,47.6512289,50.03592656,52.23512021,54.30117396,56.07235937,57.61269059,58.91379344,59.97072867,60.80725539,61.43771357
MESSAGE-buildings,LED,ref,EEU,Energy Service|Residential|Floor Space,bn m2/yr,2.84197427,2.82974866,2.89007445,2.94155507,2.98224904,3.01606475,3.04583113,3.07128742,3.02669323,2.96900479,2.90050981,2.8221405,2.73960375,2.65764156,2.57911671,2.5049415,2.43429331,2.3654419
MESSAGE-buildings,LED,ref,FSU,Energy Service|Residential|Floor Space,bn m2/yr,7.06335722,7.08501619,7.31358072,7.52319889,7.72675221,7.93633714,8.13905125,8.32664511,8.27940865,8.21675045,8.13627907,8.04356201,7.93721979,7.81632573,7.68497335,7.54899609,7.40981337,7.2635227
MESSAGE-buildings,LED,ref,LAM,Energy Service|Residential|Floor Space,bn m2/yr,16.63850642,17.41330218,18.41082391,19.3339129,20.16916218,20.91381791,21.56028229,22.09653571,22.17912506,22.15652761,22.05879563,21.92480072,21.70161211,21.42470928,21.10213012,20.74819764,20.37656425,19.99420962
MESSAGE-buildings,LED,ref,MEA,Energy Service|Residential|Floor Space,bn m2/yr,7.93049572,8.6076596,10.42457263,12.35360131,14.38585645,16.50529431,18.67228758,20.84398877,21.44486972,21.92358638,22.28646569,22.56981519,22.71839936,22.77455594,22.75187241,22.6668056,22.53093384,22.34576509
MESSAGE-buildings,LED,ref,NAM,Energy Service|Residential|Floor Space,bn m2/yr,12.4901945,12.99897552,13.32009121,13.60206936,13.83878392,14.0331995,14.18653647,14.31034385,14.64465833,15.059349,15.37285465,15.65126525,15.88562536,16.06943772,16.20346343,16.29369194,16.34208323,16.34624469
MESSAGE-buildings,LED,ref,PAO,Energy Service|Residential|Floor Space,bn m2/yr,5.36146955,5.3890073,5.27465192,5.14047155,4.99424062,4.84237777,4.68714962,4.53098877,4.48707486,4.44469519,4.39623297,4.32423163,4.24543849,4.16191121,4.06862147,3.96831895,3.86176605,3.7499621
MESSAGE-buildings,LED,ref,PAS,Energy Service|Residential|Floor Space,bn m2/yr,9.29427679,9.70622568,11.1188566,12.54000391,13.94509548,15.30687261,16.60179191,17.81020655,17.83349142,17.75278988,17.59496237,17.37812373,17.10938166,16.80165136,16.46435705,16.10463672,15.72927055,15.34059956
MESSAGE-buildings,LED,ref,SAS,Energy Service|Residential|Floor Space,bn m2/yr,34.14570958,36.39292224,41.63177351,47.00283023,52.50899664,58.08143756,63.65760273,69.08783634,70.42441159,71.28967183,71.73506471,71.9468539,71.71608378,71.1666272,70.32943442,69.26370399,68.00490082,66.63408542
MESSAGE-buildings,LED,ref,WEU,Energy Service|Residential|Floor Space,bn m2/yr,15.48728351,15.8374523,16.06560029,16.25899052,16.41925793,16.54838059,16.64045515,16.68856144,16.79594476,16.88759442,16.91352745,16.90822404,16.87668413,16.81730902,16.72920854,16.60673384,16.44974675,16.24960444
MESSAGE-buildings,LED,min,AFR,Energy Service|Residential|Floor Space,bn m2/yr,14.10026172,15.77582268,19.61442872,23.9106142,28.6452682,33.78188529,39.26416708,45.04534151,47.6512289,50.03592656,52.23512021,54.30117396,56.07235937,57.61269059,58.91379344,59.97072867,60.80725539,61.43771357
MESSAGE-buildings,LED,min,EEU,Energy Service|Residential|Floor Space,bn m2/yr,2.84197427,2.82974866,2.89007445,2.94155507,2.98224904,3.01606475,3.04583113,3.07128742,3.02669323,2.96900479,2.90050981,2.8221405,2.73960375,2.65764156,2.57911671,2.5049415,2.43429331,2.3654419
MESSAGE-buildings,LED,min,FSU,Energy Service|Residential|Floor Space,bn m2/yr,7.06335722,7.08501619,7.31358072,7.52319889,7.72675221,7.93633714,8.13905125,8.32664511,8.27940865,8.21675045,8.13627907,8.04356201,7.93721979,7.81632573,7.68497335,7.54899609,7.40981337,7.2635227
MESSAGE-buildings,LED,min,LAM,Energy Service|Residential|Floor Space,bn m2/yr,16.63850642,17.41330218,18.41082391,19.3339129,20.16916218,20.91381791,21.56028229,22.09653571,22.17912506,22.15652761,22.05879563,21.92480072,21.70161211,21.42470928,21.10213012,20.74819764,20.37656425,19.99420962
MESSAGE-buildings,LED,min,MEA,Energy Service|Residential|Floor Space,bn m2/yr,7.93049572,8.6076596,10.42457263,12.35360131,14.38585645,16.50529431,18.67228758,20.84398877,21.44486972,21.92358638,22.28646569,22.56981519,22.71839936,22.77455594,22.75187241,22.6668056,22.53093384,22.34576509
MESSAGE-buildings,LED,min,NAM,Energy Service|Residential|Floor Space,bn m2/yr,12.4901945,12.99897552,13.32009121,13.60206936,13.83878392,14.0331995,14.18653647,14.31034385,14.64465833,15.059349,15.37285465,15.65126525,15.88562536,16.06943772,16.20346343,16.29369194,16.34208323,16.34624469
MESSAGE-buildings,LED,min,PAO,Energy Service|Residential|Floor Space,bn m2/yr,5.36146955,5.3890073,5.27465192,5.14047155,4.99424062,4.84237777,4.68714962,4.53098877,4.48707486,4.44469519,4.39623297,4.32423163,4.24543849,4.16191121,4.06862147,3.96831895,3.86176605,3.7499621
MESSAGE-buildings,LED,min,PAS,Energy Service|Residential|Floor Space,bn m2/yr,9.29427679,9.70622568,11.1188566,12.54000391,13.94509548,15.30687261,16.60179191,17.81020655,17.83349142,17.75278988,17.59496237,17.37812373,17.10938166,16.80165136,16.46435705,16.10463672,15.72927055,15.34059956
MESSAGE-buildings,LED,min,SAS,Energy Service|Residential|Floor Space,bn m2/yr,34.14570958,36.39292224,41.63177351,47.00283023,52.50899664,58.08143756,63.65760273,69.08783634,70.42441159,71.28967183,71.73506471,71.9468539,71.71608378,71.1666272,70.32943442,69.26370399,68.00490082,66.63408542
MESSAGE-buildings,LED,min,WEU,Energy Service|Residential|Floor Space,bn m2/yr,15.48728351,15.8374523,16.06560029,16.25899052,16.41925793,16.54838059,16.64045515,16.68856144,16.79594476,16.88759442,16.91352745,16.90822404,16.87668413,16.81730902,16.72920854,16.60673384,16.44974675,16.24960444
