Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
MESSAGEix-buildings,SSP2_BL,SAS,Product Stock|Buildings|Residential|Multi-Family Houses,m^2,2918271612,3693235011,4554929705,5544018692,6638854838,7823511705,9062353552,10364612205,11575447949,13778250372,15569173606,16859360736,17671821056
MESSAGEix-buildings,SSP2_BL,SAS,Product Stock|Buildings|Residential|Single-Family Houses,m^2,28628361393,33988948151,39317392796,44672830598,49919501751,54967609797,59659501335,64009422750,67577108140,72815237806,75657742882,76342631289,75411646746
MESSAGEix-buildings,SSP2_BL,WEU,Product Stock|Buildings|Residential|Multi-Family Houses,m^2,6529222475,6850490935,7157365336,7448407127,7723090455,7977428037,8206389999,8406543931,8580470320,8840602706,9005577801,9069959191,9020465134
MESSAGEix-buildings,SSP2_BL,WEU,Product Stock|Buildings|Residential|Single-Family Houses,m^2,17675922005,17906737170,18112849455,18292457821,18445289960,18562957631,18635930258,18659079607,18641438760,18475593299,18192777950,17791146172,17248649995
MESSAGEix-buildings,SSP2_BL,AFR,Final Energy|Buildings|Residential|Heating|Space,EJ/yr,0.138,0.15494,0.17393,0.19051,0.20652,0.22221,0.23696,0.25055,0.26301,0.28421,0.29881,0.30741,0.31155
MESSAGEix-buildings,SSP2_BL,AFR,Final Energy|Buildings|Residential|Cooling,EJ/yr,0.00469,0.01067,0.02894,0.05396,0.08921,0.14195,0.21228,0.30024,0.40666,0.68143,0.96206,1.26992,1.5156
MESSAGEix-buildings,SSP2_BL,AFR,Final Energy|Buildings|Residential|Heating|Water,EJ/yr,1.19458,1.19642,1.20638,1.20498,1.20633,1.20954,1.21396,1.21925,1.22584,1.24788,1.25412,1.25766,1.25933
MESSAGEix-buildings,SSP2_BL,AFR,Final Energy|Buildings|Residential|Other,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSAGEix-buildings,SSP2_BL,CHN,Final Energy|Buildings|Residential|Heating|Space,EJ/yr,5.08479,5.13178,5.09643,4.98112,4.79326,4.56632,4.28593,3.98489,3.68017,3.10598,2.63684,2.22985,1.90707
MESSAGEix-buildings,SSP2_BL,CHN,Final Energy|Buildings|Residential|Cooling,EJ/yr,0.30971,0.35878,0.37022,0.37123,0.37378,0.39521,0.40476,0.40575,0.39724,0.37032,0.33406,0.29489,0.25829
MESSAGEix-buildings,SSP2_BL,CHN,Final Energy|Buildings|Residential|Heating|Water,EJ/yr,4.93402,4.7371,4.53149,4.31498,4.09451,3.88731,3.65399,3.43022,3.22539,2.84538,2.48445,2.16192,1.90502
MESSAGEix-buildings,SSP2_BL,CHN,Final Energy|Buildings|Residential|Other,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSAGEix-buildings,SSP2_BL,EEU,Final Energy|Buildings|Residential|Heating|Space,EJ/yr,1.49984,1.43891,1.3517,1.26867,1.1878,1.11346,1.04314,0.97857,0.90267,0.76693,0.66395,0.58779,0.53053
MESSAGEix-buildings,SSP2_BL,EEU,Final Energy|Buildings|Residential|Cooling,EJ/yr,0.00161,0.00189,0.00215,0.00239,0.0026,0.00284,0.00303,0.00321,0.00333,0.00341,0.00336,0.00324,0.00306
MESSAGEix-buildings,SSP2_BL,EEU,Final Energy|Buildings|Residential|Heating|Water,EJ/yr,0.32609,0.31559,0.30417,0.29338,0.28295,0.27343,0.26457,0.25626,0.2475,0.22878,0.21147,0.19697,0.18458
MESSAGEix-buildings,SSP2_BL,EEU,Final Energy|Buildings|Residential|Other,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSAGEix-buildings,SSP2_BL,FSU,Final Energy|Buildings|Residential|Heating|Space,EJ/yr,4.15599,4.15605,4.07771,4.00339,3.93803,3.88688,3.83533,3.77455,3.70665,3.56202,3.42769,3.28169,3.13977
MESSAGEix-buildings,SSP2_BL,FSU,Final Energy|Buildings|Residential|Cooling,EJ/yr,0.00445,0.0061,0.00818,0.01061,0.01277,0.01486,0.01671,0.01822,0.01968,0.0219,0.02378,0.0247,0.02476
MESSAGEix-buildings,SSP2_BL,FSU,Final Energy|Buildings|Residential|Heating|Water,EJ/yr,1.44775,1.41654,1.38193,1.35078,1.32407,1.30018,1.27607,1.25061,1.22484,1.17003,1.11263,1.0526199999999999,0.99331
MESSAGEix-buildings,SSP2_BL,FSU,Final Energy|Buildings|Residential|Other,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSAGEix-buildings,SSP2_BL,LAM,Final Energy|Buildings|Residential|Heating|Space,EJ/yr,0.3094,0.36064,0.41158,0.46049,0.50549,0.54579,0.57895,0.60571,0.62418,0.64446,0.64461,0.63087,0.61127
MESSAGEix-buildings,SSP2_BL,LAM,Final Energy|Buildings|Residential|Cooling,EJ/yr,0.10229,0.17341,0.26594,0.36694,0.47457,0.53267,0.57932,0.62286,0.66451,0.72628,0.76151,0.76805,0.76028
MESSAGEix-buildings,SSP2_BL,LAM,Final Energy|Buildings|Residential|Heating|Water,EJ/yr,0.54036,0.55086,0.56117,0.56998,0.57606,0.58032,0.58237,0.58185,0.57882,0.56947,0.55389,0.53145,0.50782
MESSAGEix-buildings,SSP2_BL,LAM,Final Energy|Buildings|Residential|Other,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSAGEix-buildings,SSP2_BL,MEA,Final Energy|Buildings|Residential|Heating|Space,EJ/yr,0.47494,0.56458,0.65255,0.7337,0.80663,0.87163,0.91634,0.95592,0.97964,1.00043,0.98672,0.95016,0.90718
MESSAGEix-buildings,SSP2_BL,MEA,Final Energy|Buildings|Residential|Cooling,EJ/yr,0.3182,0.42828,0.56598,0.70873,0.85337,1.01407,1.17073,1.33806,1.50445,1.82939,2.099,2.26131,2.26331
MESSAGEix-buildings,SSP2_BL,MEA,Final Energy|Buildings|Residential|Heating|Water,EJ/yr,0.61727,0.64052,0.66063,0.68203,0.70084,0.72243,0.73681,0.75327,0.76602,0.78773,0.79469,0.7896,0.77503
MESSAGEix-buildings,SSP2_BL,MEA,Final Energy|Buildings|Residential|Other,EJ/yr,0,0,0,0,0,0,0,0,0,0,0,0,0
MESSAGEix-buildings,SSP2_BL,NAM,Final Energy|Buildings|Residential|Heating|Space,EJ/yr,7.47774,6.77226,5.88891,5.12649,4.46873,3.91538,3.45002,3.05096,2.72512,2.19444,1.81733,1.54507,1.33568
MESSAGEix-buildings,SSP2_BL,NAM,Final Energy|Buildings|Residential|Cooling,EJ/yr,0.80798,0.80168,0.79827,0.78793,0.77625,0.76546,0.75654,0.74632,0.73932,0.72585,0.7091,0.68635,0.65938
