# Load factor (occupancy) of LDVs
#
# Source:
# - Placeholder.
# - Duplicated manually from the corresponding R11 file.
# - Data for R11_FSU duplicated for R14_{CAS,RUS,SCS,UBM}.
#
scenario,    node,     year, value
SSP(2024).2, R14_AFR,  2020, 1.807
SSP(2024).2, R14_CAS,  2020, 1.807
SSP(2024).2, R14_CPA,  2020, 1.892
SSP(2024).2, R14_EEU,  2020, 1.643
SSP(2024).2, R14_LAM,  2020, 1.807
SSP(2024).2, R14_MEA,  2020, 1.807
SSP(2024).2, R14_NAM,  2020, 1.53
SSP(2024).2, R14_PAO,  2020, 1.72
SSP(2024).2, R14_PAS,  2020, 1.892
SSP(2024).2, R14_RUS,  2020, 1.807
SSP(2024).2, R14_SAS,  2020, 1.892
SSP(2024).2, R14_SCS,  2020, 1.807
SSP(2024).2, R14_UBM,  2020, 1.807
SSP(2024).2, R14_WEU,  2020, 1.643
