,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100,2110,Model,Region,Scenario,Unit,Variable
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Agriculture|Energy Crops
1,0.9331,0.9292,0.9253,0.9244,0.9235,0.9185,0.9135,0.8964,0.866,0.8404,0.8237,0.8237,weu_security,AFR,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products [Index]
2,0.9433,0.9384,0.9335,0.9284,0.9233,0.912,0.9008,0.8708,0.8294,0.7944,0.7729,0.7729,weu_security,AFR,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products|Crops [Index]
3,1.0146,0.9916,0.9686,0.9718,0.9751,0.9698,0.9645,0.9534,0.9441,0.9277,0.9213,0.9213,weu_security,AFR,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products|Crops|Maize [Index]
4,0.9383,0.926,0.9137,0.9104,0.9071,0.9026,0.8981,0.8891,0.8748,0.861,0.8511,0.8511,weu_security,AFR,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products|Crops|Rice [Index]
5,0.943,0.9275,0.9119,0.9007,0.8894,0.881,0.8726,0.8529,0.8329,0.8038,0.791,0.791,weu_security,AFR,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products|Crops|Soybean [Index]
6,0.9697,0.9586,0.9476,0.9405,0.9334,0.9257,0.918,0.9107,0.9038,0.8962,0.8906,0.8906,weu_security,AFR,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products|Crops|Wheat [Index]
7,0.9026,0.9014,0.9002,0.9115,0.9229,0.9357,0.9485,0.9669,0.9652,0.9635,0.9605,0.9605,weu_security,AFR,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products|Livestock [Index]
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weu_security,AFR,SSP2_MEACON,US$2010/t CO2,Price|Carbon
9,7.428345436598216,13.27079851921209,15.67501512761876,15.55021867788126,16.15130058679267,15.5577970208791,18.38676275714192,15.10969890232619,15.31756204940172,15.9890667837459,15.34516536885872,15.7940257146934,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Final Energy wo carbon price|Residential|Electricity
10,5.246745699150861,4.25331702155479,4.532846008242073,4.483770850261422,4.690185477613056,4.437251684350544,4.943495455289865,4.475424087729811,4.682436801219636,5.376289521641518,5.53807304789176,5.521146073275293,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Final Energy wo carbon price|Residential|Gases|Natural Gas
11,22.61907092569589,9.204077905315536,11.07046303311159,10.70857927140597,11.3530452654769,15.06664166704654,13.05129564449701,9.552359009066388,10.87404088877505,10.87676163783408,11.18446372718112,14.06128917651103,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Final Energy wo carbon price|Residential|Liquids|Biomass
12,20.87257964702801,6.877268306905836,6.518033718873325,6.241066580626984,6.417782831098651,6.213026946047065,7.160708263366021,6.370639151723894,5.800156126045186,6.640817908837762,6.87967995918797,7.707608782291883,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Final Energy wo carbon price|Residential|Liquids|Oil
13,0.351264354,1.572353537158844,3.458983051099406,2.484057441326621,4.735126349606035,2.969160767943989,2.591086034161818,3.265914475502881,1.111199783159652,2.156616810698697,2.639395095931659,3.536733711055343,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Final Energy wo carbon price|Residential|Solids|Biomass
14,0.702528708,2.1844071017481,2.422748728827059,2.312477755681354,1.274931144815104,1.933190852390125,2.720743945299376,3.368533911582726,2.734118789437682,2.797140146180973,2.885282476458692,3.135453356306125,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Final Energy wo carbon price|Residential|Solids|Coal
15,7.428345436598216,13.27079851921209,15.67501512761876,15.55021867788126,16.15130058679267,15.5577970208791,18.38676275714192,15.10969890232619,15.31756204940172,15.9890667837459,15.34516536885872,15.7940257146934,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Final Energy|Residential|Electricity
16,5.246745699150861,4.25331702155479,4.532846008242073,4.483770850261422,4.690185477613056,4.437251684350544,4.943495455289865,4.475424087729811,4.682436801219636,5.376289521641518,5.53807304789176,5.521146073275293,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Final Energy|Residential|Gases|Natural Gas
17,22.61907092569589,9.204077905315536,11.07046303311159,10.70857927140597,11.3530452654769,15.06664166704654,13.05129564449701,9.552359009066388,10.87404088877505,10.87676163783408,11.18446372718112,14.06128917651103,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Final Energy|Residential|Liquids|Biomass
18,20.87257964702801,6.877268306905836,6.518033718873325,6.241066580626984,6.417782831098651,6.213026946047065,7.160708263366021,6.370639151723894,5.800156126045186,6.640817908837762,6.87967995918797,7.707608782291883,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Final Energy|Residential|Liquids|Oil
19,0.351264354,1.572353537158844,3.458983051099406,2.484057441326621,4.735126349606035,2.969160767943989,2.591086034161818,3.265914475502881,1.111199783159652,2.156616810698697,2.639395095931659,3.536733711055343,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Final Energy|Residential|Solids|Biomass
20,0.702528708,2.1844071017481,2.422748728827059,2.312477755681354,1.274931144815104,1.933190852390125,2.720743945299376,3.368533911582726,2.734118789437682,2.797140146180973,2.885282476458692,3.135453356306125,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Final Energy|Residential|Solids|Coal
21,0.9172,0.9224,0.9276,0.9399,0.9521,0.946,0.9398,0.927,0.9266,0.9268,0.9282,0.9282,weu_security,AFR,SSP2_MEACON,Index (2020 = 1),Price|Forestry|Semi-Finished|Chemical Pulp [Index]
22,1.0558,0.8761,0.6964,0.7007,0.705,0.7256,0.7462,0.8668,0.9624,0.9506,0.9522,0.9522,weu_security,AFR,SSP2_MEACON,Index (2020 = 1),Price|Forestry|Semi-Finished|Fiberboard [Index]
23,1.1675,1.1683,1.1691,1.1723,1.1755,1.1721,1.1686,1.1455,1.1211,1.0772,1.0627,1.0627,weu_security,AFR,SSP2_MEACON,Index (2020 = 1),Price|Forestry|Semi-Finished|Mechanical Pulp [Index]
24,0.7795,0.7956,0.8117,0.827,0.8422,0.8185,0.7948,0.7915,0.7887,0.8861,0.913,0.913,weu_security,AFR,SSP2_MEACON,Index (2020 = 1),Price|Forestry|Semi-Finished|Plywood [Index]
25,0.9245,0.9411,0.9578,0.9771,0.9964,0.9624,0.9284,0.9205,0.9277,1.0492,1.0734,1.0734,weu_security,AFR,SSP2_MEACON,Index (2020 = 1),Price|Forestry|Semi-Finished|Sawnwood [Index]
26,0.0,1.133273094658844,2.932086520099406,1.869344821826621,4.032597641606035,2.26663205994399,1.888557326161818,2.563385767502881,0.4086710751596522,1.454088102698697,1.936866387931659,2.834205003055343,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Primary Energy w carbon price|Biomass
27,0.0,1.4818783937481,1.720220020827059,1.609949047681354,0.5724024368151037,1.230662144390125,2.018215237299376,2.666005203582726,2.031590081437682,2.094611438180973,2.182753768458691,2.432924648306125,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Primary Energy w carbon price|Coal
28,2.769977534651547,2.101945113971727,2.349917111811334,2.364180610602906,2.56659193771597,2.400351619946774,2.720295710316321,2.566654989078933,2.755633119507217,3.416193264927488,3.573502972752203,3.566605738144926,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Primary Energy w carbon price|Gas
29,16.44786500986271,4.920199950671121,4.633976559415012,4.456679327251914,4.740351609615305,4.290625734226753,5.038516891274229,4.525294586243188,4.209498240774424,4.841263666898811,5.002169741077561,5.705477053203084,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Primary Energy w carbon price|Oil
30,0.0,1.133273094658844,2.932086520099406,1.869344821826621,4.032597641606035,2.26663205994399,1.888557326161818,2.563385767502881,0.4086710751596522,1.454088102698697,1.936866387931659,2.834205003055343,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Primary Energy|Biomass
31,0.0,1.4818783937481,1.720220020827059,1.609949047681354,0.5724024368151037,1.230662144390125,2.018215237299376,2.666005203582726,2.031590081437682,2.094611438180973,2.182753768458691,2.432924648306125,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Primary Energy|Coal
32,2.769977534651547,2.101945113971727,2.349917111811334,2.364180610602906,2.56659193771597,2.400351619946774,2.720295710316321,2.566654989078933,2.755633119507217,3.416193264927488,3.573502972752203,3.566605738144926,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Primary Energy|Gas
33,16.44786500986271,4.920199950671121,4.633976559415012,4.456679327251914,4.740351609615305,4.290625734226753,5.038516891274229,4.525294586243188,4.209498240774424,4.841263666898811,5.002169741077561,5.705477053203084,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Primary Energy|Oil
34,0.924046754178197,3.899679983547633,5.874792779528337,5.910451526507265,6.416479844289927,6.000879049866934,6.800739275790801,6.416637472697334,6.88908279876804,8.136842096618645,7.663507814519993,8.265711146297683,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Secondary Energy w carbon price|Electricity
35,4.302816412533294,4.978175061063641,6.550800413317215,5.146123775039892,4.033601652211432,3.836898934255687,4.732791477217343,5.463796569908133,4.065755007336763,4.901796394503392,5.660286217074397,5.416007281329965,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Secondary Energy w carbon price|Hydrogen
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Secondary Energy w carbon price|Liquids
37,22.39288021643893,9.112037126262381,10.95975840278047,10.60149347869191,12.0045143255026,14.91597525037607,12.92078268805204,9.456835418975722,10.7653004798873,10.76799402145573,11.07261908990931,13.92067628474592,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Secondary Energy w carbon price|Liquids|Biomass
38,20.66385385055773,6.808495623836776,6.452853381684592,6.178655914820714,6.353605002787664,6.150896676586593,7.089101180732361,6.306932760206655,5.742154564784733,6.574409729749384,6.810883159596091,7.630532694468965,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Secondary Energy w carbon price|Liquids|Oil
39,0.924046754178197,3.899679983547633,5.874792779528337,5.910451526507265,6.416479844289927,6.000879049866934,6.800739275790801,6.416637472697334,6.88908279876804,8.136842096618645,7.663507814519993,8.265711146297683,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Secondary Energy|Electricity
40,4.302816412533294,4.978175061063641,6.550800413317215,5.146123775039892,4.033601652211432,3.836898934255687,4.732791477217343,5.463796569908133,4.065755007336763,4.901796394503392,5.660286217074397,5.416007281329965,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Secondary Energy|Hydrogen
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Secondary Energy|Liquids
42,22.39288021643893,9.112037126262381,10.95975840278047,10.60149347869191,12.0045143255026,14.91597525037607,12.92078268805204,9.456835418975722,10.7653004798873,10.76799402145573,11.07261908990931,13.92067628474592,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Secondary Energy|Liquids|Biomass
43,20.66385385055773,6.808495623836776,6.452853381684592,6.178655914820714,6.353605002787664,6.150896676586593,7.089101180732361,6.306932760206655,5.742154564784733,6.574409729749384,6.810883159596091,7.630532694468965,weu_security,AFR,SSP2_MEACON,US$2010/GJ,Price|Secondary Energy|Liquids|Oil
44,3.6014,3.5873,3.5732,3.5528,3.5323,3.5628,3.5933,3.5582,3.5558,3.589,3.5802,3.5802,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Agriculture|Energy Crops
45,0.8336,0.8299,0.8262,0.8136,0.8011,0.7704,0.7397,0.7234,0.7045,0.6801,0.6682,0.6682,weu_security,CHN,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products [Index]
46,0.88,0.857,0.834,0.831,0.8279,0.8245,0.8212,0.8109,0.7832,0.747,0.7288,0.7288,weu_security,CHN,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products|Crops [Index]
47,0.7648,0.7488,0.7328,0.7313,0.7297,0.7277,0.7257,0.7211,0.7169,0.6939,0.6829,0.6829,weu_security,CHN,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products|Crops|Maize [Index]
48,0.9168,0.908,0.8993,0.8982,0.8971,0.8905,0.884,0.8697,0.8582,0.8414,0.8254,0.8254,weu_security,CHN,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products|Crops|Rice [Index]
49,0.8727,0.8528,0.833,0.8276,0.8222,0.8177,0.8132,0.8006,0.7917,0.7855,0.7805,0.7805,weu_security,CHN,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products|Crops|Soybean [Index]
50,0.8614,0.8327,0.8039,0.7978,0.7917,0.7858,0.78,0.7595,0.7418,0.6725,0.6377,0.6377,weu_security,CHN,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products|Crops|Wheat [Index]
51,0.8021,0.8111,0.8201,0.8015,0.783,0.7351,0.6872,0.6678,0.6549,0.6376,0.6288,0.6288,weu_security,CHN,SSP2_MEACON,Index (2020 = 1),Price|Agriculture|Food Products|Livestock [Index]
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weu_security,CHN,SSP2_MEACON,US$2010/t CO2,Price|Carbon
53,12.18922926180625,12.40930499101285,15.42339277121716,15.25912732025579,15.90213944095706,17.71159091597675,18.02868535282874,13.63453088828204,15.27164723673318,14.26902894160825,13.18410712770391,13.91026713028607,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Final Energy wo carbon price|Residential|Electricity
54,6.399267341538939,4.255193080661368,4.894494951005298,4.690348698412106,4.956842635081613,5.330487110663604,5.901618309311425,5.559307544569116,5.85662006192068,5.227794673259102,5.215855700573669,5.194991621205975,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Final Energy wo carbon price|Residential|Gases|Natural Gas
55,24.88931805606419,9.358633650299687,11.37844265536539,10.48881198709813,10.91443687540063,14.11630274537699,13.02188932188059,11.39986281979163,12.79694309476981,13.03492407640592,12.95941203701374,14.0968670524921,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Final Energy wo carbon price|Residential|Liquids|Biomass
56,24.55487664791722,7.285801131765576,7.82014328131239,6.640021720148825,7.309214664315927,6.722742286293375,7.581611267072179,6.543457869262974,6.916036654268713,7.479528628721491,7.746871243530264,8.634824065093213,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Final Energy wo carbon price|Residential|Liquids|Oil
57,7.016883517040534,1.986251003244256,3.463496755792618,2.557612006845765,3.382934600199269,2.937833912180339,3.150761810400048,3.715274927332942,4.008298455084588,3.884029480887377,3.407568796542547,3.7458632547881,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Final Energy wo carbon price|Residential|Solids|Biomass
58,2.505041424277682,2.605563250286161,2.749390333881096,2.738995154621691,2.907634063776882,2.853818547599924,2.996809266351329,3.149609454516678,3.287635012821287,3.423303176198753,3.555706739759516,3.708714948664837,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Final Energy wo carbon price|Residential|Solids|Coal
59,12.18922926180625,12.40930499101285,15.42339277121716,15.25912732025579,15.90213944095706,17.71159091597675,18.02868535282874,13.63453088828204,15.27164723673318,14.26902894160825,13.18410712770391,13.91026713028607,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Final Energy|Residential|Electricity
60,6.399267341538939,4.255193080661368,4.894494951005298,4.690348698412106,4.956842635081613,5.330487110663604,5.901618309311425,5.559307544569116,5.85662006192068,5.227794673259102,5.215855700573669,5.194991621205975,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Final Energy|Residential|Gases|Natural Gas
61,24.88931805606419,9.358633650299687,11.37844265536539,10.48881198709813,10.91443687540063,14.11630274537699,13.02188932188059,11.39986281979163,12.79694309476981,13.03492407640592,12.95941203701374,14.0968670524921,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Final Energy|Residential|Liquids|Biomass
62,24.55487664791722,7.285801131765576,7.82014328131239,6.640021720148825,7.309214664315927,6.722742286293375,7.581611267072179,6.543457869262974,6.916036654268713,7.479528628721491,7.746871243530264,8.634824065093213,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Final Energy|Residential|Liquids|Oil
63,7.016883517040534,1.986251003244256,3.463496755792618,2.557612006845765,3.382934600199269,2.937833912180339,3.150761810400048,3.715274927332942,4.008298455084588,3.884029480887377,3.407568796542547,3.7458632547881,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Final Energy|Residential|Solids|Biomass
64,2.505041424277682,2.605563250286161,2.749390333881096,2.738995154621691,2.907634063776882,2.853818547599924,2.996809266351329,3.149609454516678,3.287635012821287,3.423303176198753,3.555706739759516,3.708714948664837,weu_security,CHN,SSP2_MEACON,US$2010/GJ,Price|Final Energy|Residential|Solids|Coal
65,0.6947,0.6947,0.6947,0.6921,0.6895,0.6774,0.6653,0.6135,0.5716,0.5642,0.5642,0.5642,weu_security,CHN,SSP2_MEACON,Index (2020 = 1),Price|Forestry|Semi-Finished|Chemical Pulp [Index]
66,1.0995,1.0995,1.0995,1.0995,1.0995,1.0944,1.0893,1.0434,0.9578,0.9373,0.9372,0.9372,weu_security,CHN,SSP2_MEACON,Index (2020 = 1),Price|Forestry|Semi-Finished|Fiberboard [Index]
67,0.9131,0.8856,0.8581,0.8317,0.8054,0.8052,0.805,0.8053,0.8054,0.8053,0.8052,0.8052,weu_security,CHN,SSP2_MEACON,Index (2020 = 1),Price|Forestry|Semi-Finished|Mechanical Pulp [Index]
68,1.1308,1.1484,1.166,1.1866,1.2071,1.1758,1.1444,1.0444,0.9591,0.8667,0.8572,0.8572,weu_security,CHN,SSP2_MEACON,Index (2020 = 1),Price|Forestry|Semi-Finished|Plywood [Index]
69,0.6765,0.6908,0.7051,0.6864,0.6678,0.6391,0.6105,0.5291,0.4986,0.4827,0.4794,0.4794,weu_security,CHN,SSP2_MEACON,Index (2020 = 1),Price|Forestry|Semi-Finished|Sawnwood [Index]
