node_loc,technology,year_vtg,year_act,value,unit
R12_AFR,coal_shipped_exp_rcpa,broadcast,broadcast,,USD/GWa
R12_AFR,coal_shipped_exp_chn,broadcast,broadcast,,USD/GWa
R12_AFR,coal_shipped_exp_eeu,broadcast,broadcast,,USD/GWa
R12_AFR,coal_shipped_exp_fsu,broadcast,broadcast,,USD/GWa
R12_AFR,coal_shipped_exp_lam,broadcast,broadcast,,USD/GWa
R12_AFR,coal_shipped_exp_mea,broadcast,broadcast,,USD/GWa
R12_AFR,coal_shipped_exp_nam,broadcast,broadcast,,USD/GWa
R12_AFR,coal_shipped_exp_pao,broadcast,broadcast,,USD/GWa
R12_AFR,coal_shipped_exp_pas,broadcast,broadcast,,USD/GWa
R12_AFR,coal_shipped_exp_sas,broadcast,broadcast,,USD/GWa
R12_AFR,coal_shipped_exp_weu,broadcast,broadcast,,USD/GWa
R12_RCPA,coal_shipped_exp_afr,broadcast,broadcast,,USD/GWa
R12_RCPA,coal_shipped_exp_chn,broadcast,broadcast,,USD/GWa
R12_RCPA,coal_shipped_exp_eeu,broadcast,broadcast,,USD/GWa
R12_RCPA,coal_shipped_exp_fsu,broadcast,broadcast,,USD/GWa
R12_RCPA,coal_shipped_exp_lam,broadcast,broadcast,,USD/GWa
R12_RCPA,coal_shipped_exp_mea,broadcast,broadcast,,USD/GWa
R12_RCPA,coal_shipped_exp_nam,broadcast,broadcast,,USD/GWa
R12_RCPA,coal_shipped_exp_pao,broadcast,broadcast,,USD/GWa
R12_RCPA,coal_shipped_exp_pas,broadcast,broadcast,,USD/GWa
R12_RCPA,coal_shipped_exp_sas,broadcast,broadcast,,USD/GWa
R12_RCPA,coal_shipped_exp_weu,broadcast,broadcast,,USD/GWa
R12_CHN,coal_shipped_exp_afr,broadcast,broadcast,,USD/GWa
R12_CHN,coal_shipped_exp_rcpa,broadcast,broadcast,,USD/GWa
R12_CHN,coal_shipped_exp_eeu,broadcast,broadcast,,USD/GWa
R12_CHN,coal_shipped_exp_fsu,broadcast,broadcast,,USD/GWa
R12_CHN,coal_shipped_exp_lam,broadcast,broadcast,,USD/GWa
R12_CHN,coal_shipped_exp_mea,broadcast,broadcast,,USD/GWa
R12_CHN,coal_shipped_exp_nam,broadcast,broadcast,,USD/GWa
R12_CHN,coal_shipped_exp_pao,broadcast,broadcast,,USD/GWa
R12_CHN,coal_shipped_exp_pas,broadcast,broadcast,,USD/GWa
R12_CHN,coal_shipped_exp_sas,broadcast,broadcast,,USD/GWa
R12_CHN,coal_shipped_exp_weu,broadcast,broadcast,,USD/GWa
