technology,parameter,region,mode,commodity,level,units,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100,2110
bof_steel,level_cost_activity_soft_up,R12_MEA,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
bof_steel,level_cost_activity_soft_up,R12_NAM,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
bof_steel,level_cost_activity_soft_up,R12_PAO,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
bof_steel,level_cost_activity_soft_up,R12_PAS,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
bof_steel,level_cost_activity_soft_up,R12_SAS,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
bof_steel,level_cost_activity_soft_up,R12_WEU,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
bof_steel,level_cost_activity_soft_up,R12_RCPA,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
bof_steel,level_cost_activity_soft_up,R12_CHN,,,,,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
dri_h2_steel,bound_activity_up,R12_CHN,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_h2_steel,bound_activity_up,R12_AFR,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_h2_steel,bound_activity_up,R12_EEU,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_h2_steel,bound_activity_up,R12_FSU,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_h2_steel,bound_activity_up,R12_LAM,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_h2_steel,bound_activity_up,R12_MEA,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_h2_steel,bound_activity_up,R12_NAM,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_h2_steel,bound_activity_up,R12_PAO,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_h2_steel,bound_activity_up,R12_PAS,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_h2_steel,bound_activity_up,R12_SAS,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_h2_steel,bound_activity_up,R12_WEU,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_h2_steel,bound_activity_up,R12_RCPA,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_gas_ccs_steel,bound_activity_up,R12_CHN,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_gas_ccs_steel,bound_activity_up,R12_AFR,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_gas_ccs_steel,bound_activity_up,R12_EEU,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_gas_ccs_steel,bound_activity_up,R12_FSU,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_gas_ccs_steel,bound_activity_up,R12_LAM,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_gas_ccs_steel,bound_activity_up,R12_NAM,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_gas_ccs_steel,bound_activity_up,R12_PAO,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_gas_ccs_steel,bound_activity_up,R12_PAS,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_gas_ccs_steel,bound_activity_up,R12_SAS,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_gas_ccs_steel,bound_activity_up,R12_WEU,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_gas_ccs_steel,bound_activity_up,R12_RCPA,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
dri_gas_ccs_steel,bound_activity_up,R12_MEA,M1,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_ccs_steel,bound_activity_up,R12_CHN,M2,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_ccs_steel,bound_activity_up,R12_AFR,M2,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_ccs_steel,bound_activity_up,R12_EEU,M2,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_ccs_steel,bound_activity_up,R12_FSU,M2,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_ccs_steel,bound_activity_up,R12_LAM,M2,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_ccs_steel,bound_activity_up,R12_MEA,M2,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_ccs_steel,bound_activity_up,R12_NAM,M2,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_ccs_steel,bound_activity_up,R12_PAO,M2,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_ccs_steel,bound_activity_up,R12_PAS,M2,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_ccs_steel,bound_activity_up,R12_SAS,M2,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_ccs_steel,bound_activity_up,R12_WEU,M2,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_ccs_steel,bound_activity_up,R12_RCPA,M2,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_biomass_steel,historical_new_capacity,R12_LAM,M1,,,,,,0.48,0.08,3.68,0.48,,,,,,,,,,,,,,
bf_biomass_steel,historical_activity,R12_LAM,M1,,,,,,2.4,2.8,21.2,23.6,,,,,,,,,,,,,,
bf_biomass_steel,bound_activity_up,R12_AFR,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_biomass_steel,bound_activity_up,R12_CHN,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_biomass_steel,bound_activity_up,R12_EEU,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_biomass_steel,bound_activity_up,R12_FSU,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_biomass_steel,bound_activity_up,R12_MEA,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_biomass_steel,bound_activity_up,R12_NAM,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_biomass_steel,bound_activity_up,R12_PAO,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_biomass_steel,bound_activity_up,R12_PAS,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_biomass_steel,bound_activity_up,R12_RCPA,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_biomass_steel,bound_activity_up,R12_SAS,M1,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
bf_biomass_steel,bound_activity_up,R12_WEU,M1,,,,,,,,,,0.0,0.07,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_AFR,M3,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_CHN,M3,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_EEU,M3,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_FSU,M3,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_MEA,M3,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_NAM,M3,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_PAO,M3,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_PAS,M3,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_RCPA,M3,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_SAS,M3,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_WEU,M3,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_AFR,M4,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_CHN,M4,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_EEU,M4,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_FSU,M4,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_MEA,M4,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_NAM,M4,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_PAO,M4,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_PAS,M4,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_RCPA,M4,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_SAS,M4,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_activity_up,R12_WEU,M4,,,,,,,,,,0.0,,,,,,,,,,,,,
bf_steel,bound_new_capacity_up,R12_WEU,,,,,,,,,,,,0,,,,,,,,,,,,
bf_steel,bound_new_capacity_up,R12_EEU,,,,,,,,,,,,0,,,,,,,,,,,,
bf_steel,bound_new_capacity_up,R12_NAM,,,,,,,,,,,,0,,,,,,,,,,,,
bf_steel,bound_new_capacity_up,R12_LAM,,,,,,,,,,,,0,,,,,,,,,,,,
bf_steel,bound_new_capacity_up,R12_PAO,,,,,,,,,,,,0,,,,,,,,,,,,
bf_biomass_steel,growth_activity_up,R12_AFR,,,,,,,,,,,,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
bf_biomass_steel,growth_activity_up,R12_EEU,,,,,,,,,,,,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
bf_biomass_steel,growth_activity_up,R12_FSU,,,,,,,,,,,,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
bf_biomass_steel,growth_activity_up,R12_LAM,,,,,,,,,,,,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
bf_biomass_steel,growth_activity_up,R12_MEA,,,,,,,,,,,,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
bf_biomass_steel,growth_activity_up,R12_NAM,,,,,,,,,,,,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
bf_biomass_steel,growth_activity_up,R12_PAO,,,,,,,,,,,,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
bf_biomass_steel,growth_activity_up,R12_PAS,,,,,,,,,,,,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
bf_biomass_steel,growth_activity_up,R12_SAS,,,,,,,,,,,,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
bf_biomass_steel,growth_activity_up,R12_WEU,,,,,,,,,,,,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
bf_biomass_steel,growth_activity_up,R12_RCPA,,,,,,,,,,,,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
bf_biomass_steel,growth_activity_up,R12_CHN,,,,,,,,,,,,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
bf_biomass_steel,initial_activity_up,R12_AFR,,,,Mt,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
bf_biomass_steel,initial_activity_up,R12_EEU,,,,Mt,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
bf_biomass_steel,initial_activity_up,R12_FSU,,,,Mt,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
bf_biomass_steel,initial_activity_up,R12_LAM,,,,Mt,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
bf_biomass_steel,initial_activity_up,R12_MEA,,,,Mt,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
bf_biomass_steel,initial_activity_up,R12_NAM,,,,Mt,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
bf_biomass_steel,initial_activity_up,R12_PAO,,,,Mt,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
bf_biomass_steel,initial_activity_up,R12_PAS,,,,Mt,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
bf_biomass_steel,initial_activity_up,R12_SAS,,,,Mt,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
bf_biomass_steel,initial_activity_up,R12_WEU,,,,Mt,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
bf_biomass_steel,initial_activity_up,R12_RCPA,,,,Mt,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
bf_biomass_steel,initial_activity_up,R12_CHN,,,,Mt,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
DUMMY_limestone_supply_steel,var_cost,R12_RCPA,M1,,,MUSD/Mt,,,,,,100.0,105.0,110.25,115.7625,121.55062500000001,127.62815625000002,134.00956406250003,140.71004226562505,147.74554437890632,155.13282159785163,162.8894626777442,171.03393581163144,179.58563260221302,188.56491423232367,197.99315994393987
dri_h2_steel,growth_activity_up,R12_AFR,,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_h2_steel,growth_activity_up,R12_EEU,,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_h2_steel,growth_activity_up,R12_FSU,,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_h2_steel,growth_activity_up,R12_LAM,,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_h2_steel,growth_activity_up,R12_MEA,,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_h2_steel,growth_activity_up,R12_NAM,,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_h2_steel,growth_activity_up,R12_PAO,,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_h2_steel,growth_activity_up,R12_PAS,,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_h2_steel,growth_activity_up,R12_SAS,,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_h2_steel,growth_activity_up,R12_WEU,,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_h2_steel,growth_activity_up,R12_RCPA,,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_h2_steel,growth_activity_up,R12_CHN,,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_gas_steel,growth_activity_up,R12_AFR,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_gas_steel,growth_activity_up,R12_EEU,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_gas_steel,growth_activity_up,R12_FSU,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_gas_steel,growth_activity_up,R12_LAM,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_gas_steel,growth_activity_up,R12_MEA,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_gas_steel,growth_activity_up,R12_NAM,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_gas_steel,growth_activity_up,R12_PAO,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_gas_steel,growth_activity_up,R12_PAS,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_gas_steel,growth_activity_up,R12_SAS,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_gas_steel,growth_activity_up,R12_WEU,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_gas_steel,growth_activity_up,R12_RCPA,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_gas_steel,growth_activity_up,R12_CHN,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_steel,growth_activity_up,R12_AFR,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_steel,growth_activity_up,R12_EEU,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_steel,growth_activity_up,R12_FSU,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_steel,growth_activity_up,R12_LAM,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_steel,growth_activity_up,R12_MEA,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_steel,growth_activity_up,R12_NAM,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_steel,growth_activity_up,R12_PAO,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_steel,growth_activity_up,R12_PAS,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_steel,growth_activity_up,R12_SAS,,,,,,,,,,,0.5,0.25,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_steel,growth_activity_up,R12_WEU,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_steel,growth_activity_up,R12_RCPA,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
dri_steel,growth_activity_up,R12_CHN,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
export_steel,growth_activity_up,R12_AFR,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
export_steel,growth_activity_up,R12_EEU,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
export_steel,growth_activity_up,R12_FSU,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
export_steel,growth_activity_up,R12_LAM,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
export_steel,growth_activity_up,R12_MEA,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
export_steel,growth_activity_up,R12_NAM,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
export_steel,growth_activity_up,R12_PAO,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
export_steel,growth_activity_up,R12_PAS,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
export_steel,growth_activity_up,R12_SAS,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
export_steel,growth_activity_up,R12_WEU,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
export_steel,growth_activity_up,R12_RCPA,,,,,,,,,,,,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
export_steel,growth_activity_up,R12_CHN,,,,,,,,,,,,0.7,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
export_steel,initial_activity_up,R12_AFR,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
export_steel,initial_activity_up,R12_EEU,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
export_steel,initial_activity_up,R12_FSU,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
export_steel,initial_activity_up,R12_LAM,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
export_steel,initial_activity_up,R12_MEA,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
export_steel,initial_activity_up,R12_NAM,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
export_steel,initial_activity_up,R12_PAO,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
export_steel,initial_activity_up,R12_PAS,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
export_steel,initial_activity_up,R12_SAS,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
export_steel,initial_activity_up,R12_WEU,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
export_steel,initial_activity_up,R12_RCPA,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
export_steel,initial_activity_up,R12_CHN,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_h2_steel,initial_activity_up,R12_AFR,,,,Mt,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_h2_steel,initial_activity_up,R12_EEU,,,,Mt,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_h2_steel,initial_activity_up,R12_FSU,,,,Mt,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_h2_steel,initial_activity_up,R12_LAM,,,,Mt,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_h2_steel,initial_activity_up,R12_MEA,,,,Mt,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_h2_steel,initial_activity_up,R12_NAM,,,,Mt,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_h2_steel,initial_activity_up,R12_PAO,,,,Mt,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_h2_steel,initial_activity_up,R12_PAS,,,,Mt,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_h2_steel,initial_activity_up,R12_SAS,,,,Mt,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_h2_steel,initial_activity_up,R12_WEU,,,,Mt,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_h2_steel,initial_activity_up,R12_RCPA,,,,Mt,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_h2_steel,initial_activity_up,R12_CHN,,,,Mt,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_gas_steel,initial_activity_up,R12_AFR,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_gas_steel,initial_activity_up,R12_EEU,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
dri_gas_steel,initial_activity_up,R12_FSU,,,,Mt,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
