technology,parameter,region,mode,commodity,level,units,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100,2110
sinter_steel,historical_new_capacity,R12_RCPA,,,,Mt,1.666666666666667,1.75,1.8333333333333333,1.9166666666666665,2.0,0.0,,,,,,,,,,,,,,
bf_steel,historical_activity,R12_CHN,M1,,,Mt,450.0,472.5,495.0,517.5,540.0,0.0,,,,,,,,,,,,,,
bof_steel,historical_activity,R12_CHN,M1,,,Mt,450.0,472.5,495.0,517.5,540.0,723.6,,,,,,,,,,,,,,
cokeoven_steel,historical_activity,R12_CHN,M1,,,Mt,450.0,472.5,495.0,517.5,540.0,723.6,,,,,,,,,,,,,,
eaf_steel,historical_activity,R12_CHN,M2,,,Mt,2.7,3.15,3.6,5.750000000000001,6.000000000000001,40,,,,,,,,,,,,,,
eaf_steel,historical_activity,R12_CHN,M1,,,Mt,36.0,38.25,40.5,51.75,54.00000000000001,10,,,,,,,,,,,,,,
finishing_steel,historical_activity,R12_CHN,M1,,,Mt,450.0,472.5,495.0,517.5,540.0,723.6,,,,,,,,,,,,,,
manuf_steel,historical_activity,R12_CHN,M1,,,Mt,450.0,472.5,495.0,517.5,540.0,723.6,,,,,,,,,,,,,,
pellet_steel,historical_activity,R12_CHN,M1,,,Mt,450.0,472.5,495.0,517.5,540.0,723.6,,,,,,,,,,,,,,
sinter_steel,historical_activity,R12_CHN,M1,,,Mt,450.0,472.5,495.0,517.5,540.0,723.6,,,,,,,,,,,,,,
cokeoven_steel,historical_new_capacity,R12_CHN,,,,Mt,15.0,15.75,16.5,17.25,18.0,0.0,,,,,,,,,,,,,,
finishing_steel,historical_new_capacity,R12_CHN,,,,Mt,15.0,15.75,16.5,75.54347999999999,83.57922,81.28998,,,,,,,,,,,,,,
manuf_steel,historical_new_capacity,R12_CHN,,,,Mt,15.0,15.75,16.5,17.25,18.0,0.0,,,,,,,,,,,,,,
pellet_steel,historical_new_capacity,R12_CHN,,,,Mt,15.0,15.75,16.5,17.25,18.0,0.0,,,,,,,,,,,,,,
sinter_steel,historical_new_capacity,R12_CHN,,,,Mt,15.0,15.75,16.5,17.25,18.0,0.0,,,,,,,,,,,,,,
finishing_steel,historical_activity,R12_MEA,M1,,,Mt,,,13.4862,15.800400000000002,26.413800000000002,45.24660000000001,,,,,,,,,,,,,,
finishing_steel,historical_new_capacity,R12_MEA,,,,Mt,,,3.38,0.5800000000000004,2.66,4.720000000000001,,,,,,,,,,,,,,
bof_steel,growth_activity_up,R12_AFR,,,,,,,,,,,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
bof_steel,growth_activity_up,R12_EEU,,,,,,,,,,,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
bof_steel,growth_activity_up,R12_FSU,,,,,,,,,,,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
bof_steel,growth_activity_up,R12_LAM,,,,,,,,,,,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
bof_steel,growth_activity_up,R12_MEA,,,,,,,,,,,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
bof_steel,growth_activity_up,R12_NAM,,,,,,,,,,,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
bof_steel,growth_activity_up,R12_PAO,,,,,,,,,,,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
bof_steel,growth_activity_up,R12_PAS,,,,,,,,,,,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
bof_steel,growth_activity_up,R12_SAS,,,,,,,,,,,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
bof_steel,growth_activity_up,R12_WEU,,,,,,,,,,,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
bof_steel,growth_activity_up,R12_RCPA,,,,,,,,,,,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
bof_steel,growth_activity_up,R12_CHN,,,,,,,,,,,0.5,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
eaf_steel,growth_activity_up,R12_AFR,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
eaf_steel,growth_activity_up,R12_EEU,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
eaf_steel,growth_activity_up,R12_FSU,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
eaf_steel,growth_activity_up,R12_LAM,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
eaf_steel,growth_activity_up,R12_MEA,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
eaf_steel,growth_activity_up,R12_NAM,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
eaf_steel,growth_activity_up,R12_PAO,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
eaf_steel,growth_activity_up,R12_PAS,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
eaf_steel,growth_activity_up,R12_SAS,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
eaf_steel,growth_activity_up,R12_WEU,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
eaf_steel,growth_activity_up,R12_RCPA,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
eaf_steel,growth_activity_up,R12_CHN,,,,,,,,,,,0.5,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075
eaf_steel,initial_activity_up,R12_MEA,,,,Mt,,,,,,2.9,10,,,,,,,,,,,,,
eaf_steel,initial_activity_up,R12_AFR,,,,Mt,,,,,,0.2,3,,,,,,,,,,,,,
