relation,node_rel,year_rel,value,unit
bof_bound_2020,R12_AFR,2020,2.039,???
bof_bound_2020,R12_CHN,2020,966.808,???
bof_bound_2020,R12_EEU,2020,16.695,???
bof_bound_2020,R12_FSU,2020,66.564,???
bof_bound_2020,R12_LAM,2020,29.34,???
bof_bound_2020,R12_MEA,2020,3.16,???
bof_bound_2020,R12_NAM,2020,27.32,???
bof_bound_2020,R12_PAO,2020,66.697,???
bof_bound_2020,R12_PAS,2020,72.578,???
bof_bound_2020,R12_RCPA,2020,12.784,???
bof_bound_2020,R12_SAS,2020,44.636,???
bof_bound_2020,R12_WEU,2020,76.518,???
