# Technical lifetime (maximum age) of vehicles
#
# Sources
# - scenario=*: see https://github.com/iiasa/message-ix-models/pull/213
# - scenario=LED: SharePoint ECE.prog > Documents > Transport > LED Scenario >
#   input files > lifetime-ldv-LED.xlsx as of 2025-03-18.
#
# Units: year
#
scenario, technology, node_loc, year_vtg, value
CircEUlar-N,        LDV,        R12_CHN,  2050,     14
CircEUlar-N,        LDV,        R12_CHN,  2110,     12
CircEUlar-N,        LDV,        R12_EEU,  1990,     22
CircEUlar-N,        LDV,        R12_EEU,  2020,     22
CircEUlar-N,        LDV,        R12_EEU,  2050,     14
CircEUlar-N,        LDV,        R12_EEU,  2110,     12
CircEUlar-N,        LDV,        R12_FSU,  1990,     15
CircEUlar-N,        LDV,        R12_FSU,  2020,     15
CircEUlar-N,        LDV,        R12_FSU,  2050,     14
CircEUlar-N,        LDV,        R12_FSU,  2110,     12
CircEUlar-N,        LDV,        R12_LAM,  1990,     25
CircEUlar-N,        LDV,        R12_LAM,  2020,     25
CircEUlar-N,        LDV,        R12_LAM,  2050,     14
CircEUlar-N,        LDV,        R12_LAM,  2110,     12
CircEUlar-N,        LDV,        R12_MEA,  1990,     15
CircEUlar-N,        LDV,        R12_MEA,  2020,     15
CircEUlar-N,        LDV,        R12_MEA,  2050,     14
CircEUlar-N,        LDV,        R12_MEA,  2110,     12
CircEUlar-N,        LDV,        R12_NAM,  1990,     18
CircEUlar-N,        LDV,        R12_NAM,  2020,     18
CircEUlar-N,        LDV,        R12_NAM,  2050,     14
CircEUlar-N,        LDV,        R12_NAM,  2110,     12
CircEUlar-N,        LDV,        R12_PAO,  1990,     15
CircEUlar-N,        LDV,        R12_PAO,  2020,     15
CircEUlar-N,        LDV,        R12_PAO,  2050,     14
CircEUlar-N,        LDV,        R12_PAO,  2110,     12
CircEUlar-N,        LDV,        R12_PAS,  1990,     15
CircEUlar-N,        LDV,        R12_PAS,  2020,     15
CircEUlar-N,        LDV,        R12_PAS,  2050,     14
CircEUlar-N,        LDV,        R12_PAS,  2110,     12
CircEUlar-N,        LDV,        R12_RCPA, 1990,     15
CircEUlar-N,        LDV,        R12_RCPA, 2020,     15
CircEUlar-N,        LDV,        R12_RCPA, 2050,     14
CircEUlar-N,        LDV,        R12_RCPA, 2110,     12
CircEUlar-N,        LDV,        R12_SAS,  1990,     25
CircEUlar-N,        LDV,        R12_SAS,  2020,     25
CircEUlar-N,        LDV,        R12_SAS,  2050,     14
CircEUlar-N,        LDV,        R12_SAS,  2110,     12
CircEUlar-N,        LDV,        R12_WEU,  1990,     20
CircEUlar-N,        LDV,        R12_WEU,  2020,     20
CircEUlar-N,        LDV,        R12_WEU,  2050,     14
CircEUlar-N,        LDV,        R12_WEU,  2110,     12

CircEUlar-A,        LDV,        R12_AFR,  1990,     25
CircEUlar-A,        LDV,        R12_AFR,  2020,     20
CircEUlar-A,        LDV,        R12_AFR,  2050,     18
CircEUlar-A,        LDV,        R12_AFR,  2110,     16
CircEUlar-A,        LDV,        R12_CHN,  1990,     18
CircEUlar-A,        LDV,        R12_CHN,  2020,     18
CircEUlar-A,        LDV,        R12_CHN,  2050,     18
CircEUlar-A,        LDV,        R12_CHN,  2110,     16
CircEUlar-A,        LDV,        R12_EEU,  1990,     22
CircEUlar-A,        LDV,        R12_EEU,  2020,     22
CircEUlar-A,        LDV,        R12_EEU,  2050,     18
CircEUlar-A,        LDV,        R12_EEU,  2110,     16
CircEUlar-A,        LDV,        R12_FSU,  1990,     15
CircEUlar-A,        LDV,        R12_FSU,  2020,     15
CircEUlar-A,        LDV,        R12_FSU,  2050,     18
CircEUlar-A,        LDV,        R12_FSU,  2110,     16
CircEUlar-A,        LDV,        R12_LAM,  1990,     25
CircEUlar-A,        LDV,        R12_LAM,  2020,     18
CircEUlar-A,        LDV,        R12_LAM,  2050,     18
CircEUlar-A,        LDV,        R12_LAM,  2110,     16
CircEUlar-A,        LDV,        R12_MEA,  1990,     15
CircEUlar-A,        LDV,        R12_MEA,  2020,     15
CircEUlar-A,        LDV,        R12_MEA,  2050,     16
CircEUlar-A,        LDV,        R12_MEA,  2110,     16
CircEUlar-A,        LDV,        R12_NAM,  1990,     18
CircEUlar-A,        LDV,        R12_NAM,  2020,     18
CircEUlar-A,        LDV,        R12_NAM,  2050,     16
CircEUlar-A,        LDV,        R12_NAM,  2110,     16
CircEUlar-A,        LDV,        R12_PAO,  1990,     15
CircEUlar-A,        LDV,        R12_PAO,  2020,     15
CircEUlar-A,        LDV,        R12_PAO,  2050,     18
CircEUlar-A,        LDV,        R12_PAO,  2110,     16
CircEUlar-A,        LDV,        R12_PAS,  1990,     15
CircEUlar-A,        LDV,        R12_PAS,  2020,     15
CircEUlar-A,        LDV,        R12_PAS,  2050,     18
CircEUlar-A,        LDV,        R12_PAS,  2110,     16
CircEUlar-A,        LDV,        R12_RCPA, 1990,     15
CircEUlar-A,        LDV,        R12_RCPA, 2020,     15
CircEUlar-A,        LDV,        R12_RCPA, 2050,     18
CircEUlar-A,        LDV,        R12_RCPA, 2110,     16
CircEUlar-A,        LDV,        R12_SAS,  1990,     25
CircEUlar-A,        LDV,        R12_SAS,  2020,     25
CircEUlar-A,        LDV,        R12_SAS,  2050,     18
CircEUlar-A,        LDV,        R12_SAS,  2110,     16
CircEUlar-A,        LDV,        R12_WEU,  1990,     20
CircEUlar-A,        LDV,        R12_WEU,  2020,     20
CircEUlar-A,        LDV,        R12_WEU,  2050,     18
CircEUlar-A,        LDV,        R12_WEU,  2110,     16

*,        2W,         *,        1990,     10
*,        2W,         *,        2110,     10
*,        AIR,        *,        1990,     25
*,        AIR,        *,        2110,     25
*,        BUS,        *,        1990,     15
*,        BUS,        *,        2110,     15
*,        F RAIL,     *,        1990,     25
*,        F RAIL,     *,        2110,     30
*,        F ROAD,     *,        1990,     15
*,        F ROAD,     *,        2110,     15
*,        RAIL,     *,        1990,     30
*,        RAIL,     *,        2110,     30

CircEUlar-S,        2W,         *,        1990,     10
CircEUlar-S,        2W,         *,        2110,     15
CircEUlar-S,        AIR,        *,        1990,     25
CircEUlar-S,        AIR,        *,        2110,     30
CircEUlar-S,        BUS,        *,        1990,     15
CircEUlar-S,        BUS,        *,        2050,     22
CircEUlar-S,        BUS,        *,        2110,     30
CircEUlar-S,        F RAIL,     *,        1990,     25
CircEUlar-S,        F RAIL,     *,        2110,     40
CircEUlar-S,        F ROAD,     *,        1990,     15
CircEUlar-S,        F ROAD,     *,        2050,     20
CircEUlar-S,        F ROAD,     *,        2110,     20
CircEUlar-S,        RAIL,     *,        1990,     25
