# Activity (driving distance) per light-duty vehicle
#
# Sources:
#
# - Values commented "TH 2024-04-11": calculation by T. Hara, shared at
#   https://iiasa-ece.slack.com/archives/CCFHDNA6P/p1712831476181449
# - R12_AFR, R12_FSU, R12_NAM, R12_PAO, R12_PAS, R12_SAS: see the documentation
#   at https://docs.messageix.org/projects/models/en/latest/transport/input.html
# - All others:
#
#   - Duplicate of R11/ldv-activity.csv; see comments there.
#   - R11_CPA value repeated for R12_RCPA and R12_CHN.
# - scenario=LED: SharePoint ECE.prog > Documents > Transport > LED Scenario >
#   input files > ldv-act per veh-LDV.xlsx as of 2025-03-18.
#
# Unit: kilometre / year
#
scenario, technology, node,     year, value
CircEUlar-A,        LDV,        R12_NAM,  2020, 18400
CircEUlar-A,        LDV,        R12_NAM,  2050, 25000
CircEUlar-A,        LDV,        R12_NAM,  2110, 30000
CircEUlar-A,        LDV,        R12_PAO,  2020,  9000
CircEUlar-A,        LDV,        R12_PAO,  2050, 20000
CircEUlar-A,        LDV,        R12_PAO,  2110, 30000
CircEUlar-A,        LDV,        R12_PAS,  1990, 13000
CircEUlar-A,        LDV,        R12_PAS,  2020, 13000
CircEUlar-A,        LDV,        R12_PAS,  2050, 22000
CircEUlar-A,        LDV,        R12_PAS,  2110, 30000
CircEUlar-A,        LDV,        R12_RCPA, 1990, 12000
CircEUlar-A,        LDV,        R12_RCPA, 2020, 12000
CircEUlar-A,        LDV,        R12_RCPA, 2050, 22000
CircEUlar-A,        LDV,        R12_RCPA, 2110, 30000
CircEUlar-A,        LDV,        R12_SAS,  1990, 12000
CircEUlar-A,        LDV,        R12_SAS,  2020, 12000
CircEUlar-A,        LDV,        R12_SAS,  2050, 22000
CircEUlar-A,        LDV,        R12_SAS,  2110, 30000
CircEUlar-A,        LDV,        R12_WEU,  1990, 11700
CircEUlar-A,        LDV,        R12_WEU,  2020, 11700
CircEUlar-A,        LDV,        R12_WEU,  2050, 22000
CircEUlar-A,        LDV,        R12_WEU,  2110, 30000
