# Fixed operation & maintenance cost of LDVs
#
# Source: Duplicated from corresponding R11 file.
#
# Unit: USD_2010 / vehicle
#
scenario,    node,     technology, year, value
*,           R12_CHN,  ELC_100,    2045, 24216
*,           R12_CHN,  ELC_100,    2050, 23609
*,           R12_CHN,  ELC_100,    2055, 23001
*,           R12_CHN,  ELC_100,    2060, 22393
*,           R12_CHN,  HFC_ptrp,   2010, 70274.96339
*,           R12_CHN,  HFC_ptrp,   2015, 36105.59915
*,           R12_CHN,  HFC_ptrp,   2025, 30124.69242
*,           R12_CHN,  HFC_ptrp,   2035, 28024.48738
*,           R12_CHN,  HFC_ptrp,   2045, 27505.0584
*,           R12_CHN,  IAHe_ptrp,  2010, 27660.22258
*,           R12_CHN,  IAHe_ptrp,  2015, 26197.9072
*,           R12_CHN,  IAHe_ptrp,  2025, 24365.67564
*,           R12_CHN,  IAHe_ptrp,  2035, 24714.90539
*,           R12_CHN,  IAHe_ptrp,  2045, 23954.06518
*,           R12_CHN,  IAHm_ptrp,  2010, 27660.22258
*,           R12_CHN,  IAHm_ptrp,  2015, 26197.9072
*,           R12_CHN,  IAHm_ptrp,  2020, 26197.9072
*,           R12_CHN,  IAHm_ptrp,  2025, 24365.67564
*,           R12_CHN,  IAHm_ptrp,  2030, 24365.67564
*,           R12_CHN,  IAHm_ptrp,  2035, 24714.90539
*,           R12_CHN,  IAHm_ptrp,  2040, 24714.90539
*,           R12_CHN,  IAHm_ptrp,  2045, 23954.06518
*,           R12_CHN,  IAHm_ptrp,  2050, 23954.06518
*,           R12_CHN,  ICAe_ffv,   2010, 20738.47069
*,           R12_CHN,  ICAe_ffv,   2015, 21014.75829
*,           R12_CHN,  ICAe_ffv,   2020, 21014.75829
*,           R12_CHN,  ICAe_ffv,   2025, 21373.9761
*,           R12_CHN,  ICAe_ffv,   2030, 21373.9761
*,           R12_CHN,  ICAe_ffv,   2035, 21337.3673
*,           R12_CHN,  ICAe_ffv,   2040, 21337.3673
*,           R12_CHN,  ICAe_ffv,   2045, 22392.89534
*,           R12_CHN,  ICAe_ffv,   2050, 22392.89534
*,           R12_CHN,  ICAm_ptrp,  2010, 20738.47069
*,           R12_CHN,  ICAm_ptrp,  2015, 21014.75829
*,           R12_CHN,  ICAm_ptrp,  2020, 21014.75829
*,           R12_CHN,  ICAm_ptrp,  2025, 21373.9761
*,           R12_CHN,  ICAm_ptrp,  2030, 21373.9761
*,           R12_CHN,  ICAm_ptrp,  2035, 21337.3673
*,           R12_CHN,  ICAm_ptrp,  2040, 21337.3673
*,           R12_CHN,  ICAm_ptrp,  2045, 22392.89534
*,           R12_CHN,  ICAm_ptrp,  2050, 22392.89534
*,           R12_CHN,  ICE_conv,   2010, 20738.47069
*,           R12_CHN,  ICE_conv,   2015, 21014.75829
*,           R12_CHN,  ICE_conv,   2025, 21373.9761
*,           R12_CHN,  ICE_conv,   2035, 21337.3673
*,           R12_CHN,  ICE_conv,   2045, 22392.89534
*,           R12_CHN,  ICE_L_ptrp, 2010, 20738.47069
*,           R12_CHN,  ICE_nga,    2010, 23856.12004
*,           R12_CHN,  ICE_nga,    2015, 25805.23578
*,           R12_CHN,  ICE_nga,    2025, 25550.59498
*,           R12_CHN,  ICE_nga,    2035, 23359.10414
*,           R12_CHN,  ICE_nga,    2045, 25045.58118
*,           R12_CHN,  ICH_chyb,   2010, 27660.22258
*,           R12_CHN,  ICH_chyb,   2015, 26197.9072
*,           R12_CHN,  ICH_chyb,   2020, 26197.9072
*,           R12_CHN,  ICH_chyb,   2025, 24365.67564
