# historical_new_capacity and bound_new_capacity_{lo,up} values for LDVs
#
# Source: these were prepared by VK using some R/IPython scripts shared
# in the IIASA ECE #transport Slack channel on 2024-01-11
# https://iiasa-ece.slack.com/archives/CCFHDNA6P/p1704965143599229 and
# updated on 2024-02-23
#
# They are derived from (1) an IEA EV data set and (2) data from the OICA
# website.
#
# Units: Mvehicle
#
# - The following are from iea_ev_bound_new_capacity_ev.csv.
# - There are no values for R12_RCPA in the original file.
#
node_loc, technology, year_vtg, value
R12_AFR,  ELC_100,    2015,     3.36e-05
R12_AFR,  ELC_100,    2020,     9.72e-05
R12_AFR,  ELC_100,    2025,     0.000144
R12_AFR,  PHEV_ptrp,  2015,     2.42e-05
R12_AFR,  PHEV_ptrp,  2020,     0.0001428
R12_AFR,  PHEV_ptrp,  2025,     3.42e-05
R12_CHN,  ELC_100,    2010,     0.000244
R12_CHN,  ELC_100,    2015,     0.04909
R12_CHN,  ELC_100,    2020,     0.6972
R12_CHN,  ELC_100,    2025,     1.4576
R12_CHN,  PHEV_bus,   2015,     0.008566
R12_CHN,  PHEV_bus,   2020,     0.004816
R12_CHN,  PHEV_bus,   2025,     8e-04
R12_CHN,  PHEV_ptrp,  2010,     6.8e-05
R12_CHN,  PHEV_ptrp,  2015,     0.017262
R12_CHN,  PHEV_ptrp,  2020,     0.1818056
R12_CHN,  PHEV_ptrp,  2025,     0.410332
R12_EEU,  ELC_100,    2010,     7.8e-06
R12_EEU,  ELC_100,    2015,     0.0008358
R12_EEU,  ELC_100,    2020,     0.0104692
R12_EEU,  ELC_100,    2025,     0.022768
R12_EEU,  PHEV_bus,   2020,     2.9e-05
R12_EEU,  PHEV_bus,   2025,     2.36e-05
R12_EEU,  PHEV_ptrp,  2010,     2e-07
R12_EEU,  PHEV_ptrp,  2015,     7.38e-05
R12_EEU,  PHEV_ptrp,  2020,     0.0060324
R12_EEU,  PHEV_ptrp,  2025,     0.0140394
R12_LAM,  ELC_100,    2015,     0.0001198
R12_LAM,  ELC_100,    2020,     0.0009634
R12_LAM,  ELC_100,    2025,     0.004446
R12_LAM,  PHEV_ptrp,  2015,     2.46e-05
R12_LAM,  PHEV_ptrp,  2020,     0.0021136
R12_LAM,  PHEV_ptrp,  2025,     0.005884
R12_MEA,  ELC_100,    2015,     0.0002144
R12_MEA,  ELC_100,    2020,     0.000532
R12_MEA,  ELC_100,    2025,     0.0076326
R12_MEA,  PHEV_ptrp,  2015,     2.7e-05
R12_MEA,  PHEV_ptrp,  2020,     0.0028926
R12_MEA,  PHEV_ptrp,  2025,     0.005804
R12_NAM,  ELC_100,    2010,     0.00024
R12_NAM,  ELC_100,    2015,     0.0432882
R12_NAM,  ELC_100,    2020,     0.2009
R12_NAM,  ELC_100,    2025,     0.28472
R12_NAM,  PHEV_ptrp,  2015,     0.040361
R12_NAM,  PHEV_ptrp,  2020,     0.10116
R12_NAM,  PHEV_ptrp,  2025,     0.08254
R12_PAO,  ELC_100,    2010,     0.000482
R12_PAO,  ELC_100,    2015,     0.0152588
R12_PAO,  ELC_100,    2020,     0.0263916
R12_PAO,  ELC_100,    2025,     0.037656
R12_PAO,  PHEV_bus,   2025,     2e-07
R12_PAO,  PHEV_ptrp,  2015,     0.0115136
R12_PAO,  PHEV_ptrp,  2020,     0.0229562
R12_PAO,  PHEV_ptrp,  2025,     0.0172144
R12_PAS,  ELC_100,    2010,     1.22e-05
R12_PAS,  ELC_100,    2015,     0.0011596
R12_PAS,  ELC_100,    2020,     0.0309028
R12_PAS,  ELC_100,    2025,     0.0514
R12_PAS,  PHEV_ptrp,  2015,     5e-05
R12_PAS,  PHEV_ptrp,  2020,     0.00336
R12_PAS,  PHEV_ptrp,  2025,     0.006
R12_SAS,  ELC_100,    2010,     9e-05
R12_SAS,  ELC_100,    2015,     0.00069
R12_SAS,  ELC_100,    2020,     0.002204
R12_SAS,  ELC_100,    2025,     0.012442
R12_SAS,  PHEV_ptrp,  2020,     1e-05
R12_SAS,  PHEV_ptrp,  2025,     1.46e-05
R12_WEU,  ELC_100,    2010,     0.0006884
R12_WEU,  ELC_100,    2015,     0.048377
R12_WEU,  ELC_100,    2020,     0.3203518
R12_WEU,  ELC_100,    2025,     0.572605
R12_WEU,  PHEV_bus,   2015,     1.4e-06
R12_WEU,  PHEV_bus,   2020,     0.000107
R12_WEU,  PHEV_bus,   2025,     1.88e-05
R12_WEU,  PHEV_ptrp,  2010,     5.8e-06
R12_WEU,  PHEV_ptrp,  2015,     0.0336334
R12_WEU,  PHEV_ptrp,  2020,     0.2521448
R12_WEU,  PHEV_ptrp,  2025,     0.4020514
# PNK: commented: there is no model region R12_XXX, so these would cause errors
# R12_XXX,  ELC_100,    2015,     0.0007806
# R12_XXX,  ELC_100,    2020,     0.0028742
# R12_XXX,  ELC_100,    2025,     0.008024
# R12_XXX,  PHEV_bus,   2020,     8.8e-06
# R12_XXX,  PHEV_bus,   2025,     2e-07
# R12_XXX,  PHEV_ptrp,  2015,     0.0002778
# R12_XXX,  PHEV_ptrp,  2020,     0.00173
# R12_XXX,  PHEV_ptrp,  2025,     0.00214
#
# - The following are from oica_ice_bound_new_capacity_ice.csv
# - TH comments that these values are for only "passenger car" sales according
#   to OICA; but should include some portion of "commercial vehicle" sales.
#
R12_AFR,  ICE_conv,   2005,     0.504355
R12_AFR,  ICE_conv,   2010,     0.4591278
R12_AFR,  ICE_conv,   2015,     0.5486596
R12_AFR,  ICE_conv,   2020,     0.4254732
R12_CHN,  ICE_conv,   2005,     3.971101
R12_CHN,  ICE_conv,   2010,     8.4633314
R12_CHN,  ICE_conv,   2015,     17.6963284
R12_CHN,  ICE_conv,   2020,     21.57345364
R12_EEU,  ICE_conv,   2005,     1.073804
R12_EEU,  ICE_conv,   2010,     1.1220846
R12_EEU,  ICE_conv,   2015,     0.8920238
R12_EEU,  ICE_conv,   2020,     1.346424224
R12_FSU,  ICE_conv,   2005,     1.89872
R12_FSU,  ICE_conv,   2010,     2.6371742
R12_FSU,  ICE_conv,   2015,     2.7071796
R12_FSU,  ICE_conv,   2020,     1.675368296
R12_LAM,  ICE_conv,   2005,     3.015425
R12_LAM,  ICE_conv,   2010,     4.0860284
R12_LAM,  ICE_conv,   2015,     5.0652378
R12_LAM,  ICE_conv,   2020,     4.20394276
R12_MEA,  ICE_conv,   2005,     2.012852
R12_MEA,  ICE_conv,   2010,     2.5947266
R12_MEA,  ICE_conv,   2015,     3.1085048
R12_MEA,  ICE_conv,   2020,     2.569833648
R12_NAM,  ICE_conv,   2005,     8.603419
R12_NAM,  ICE_conv,   2010,     7.4953316
R12_NAM,  ICE_conv,   2015,     7.9270812
R12_NAM,  ICE_conv,   2020,     5.71890652
R12_PAO,  ICE_conv,   2005,     5.615403
R12_PAO,  ICE_conv,   2010,     5.1048088
R12_PAO,  ICE_conv,   2015,     5.2454674
R12_PAO,  ICE_conv,   2020,     5.057919592
R12_PAS,  ICE_conv,   2005,     2.340128
R12_PAS,  ICE_conv,   2010,     2.5077206
R12_PAS,  ICE_conv,   2015,     3.5354078
R12_PAS,  ICE_conv,   2020,     3.7892756
R12_RCPA, ICE_conv,   2005,     0.027388
R12_RCPA, ICE_conv,   2010,     0.0527654
R12_RCPA, ICE_conv,   2015,     0.0827384
R12_RCPA, ICE_conv,   2020,     0.195187376
R12_SAS,  ICE_conv,   2005,     1.269789
R12_SAS,  ICE_conv,   2010,     1.878095
R12_SAS,  ICE_conv,   2015,     2.833356
R12_SAS,  ICE_conv,   2020,     3.235079568
R12_WEU,  ICE_conv,   2005,     12.910489
R12_WEU,  ICE_conv,   2010,     12.2301818
R12_WEU,  ICE_conv,   2015,     10.9489012
R12_WEU,  ICE_conv,   2020,     11.6740978
