# LDV expected fuel economy
#
# Source: Computed by T. Hara
#
# Units: GWa / (Gvehicle km)
#
node_loc, mode, value
R12_AFR,  lo,   0.125744656021464
R12_AFR,  hi,   0.0727995376966373
R12_CHN,  lo,   0.0775688562283952
R12_CHN,  hi,   0.0491269422779836
R12_EEU,  lo,   0.0998618626515072
R12_EEU,  hi,   0.0898756763863565
R12_FSU,  lo,   0.0977256439189192
R12_FSU,  hi,   0.0716654722072074
R12_LAM,  lo,   0.0930612779213775
R12_LAM,  hi,   0.0806531075318605
R12_MEA,  lo,   0.149576843960371
R12_MEA,  hi,   0.121531185717801
R12_NAM,  lo,   0.104325704234919
R12_NAM,  hi,   0.087853224618879
R12_PAO,  lo,   0.0762929455023739
R12_PAO,  hi,   0.0686636509521365
R12_PAS,  lo,   0.0931097077634145
R12_PAS,  hi,   0.0787851373382738
R12_RCPA, lo,   0.092130427376863
R12_RCPA, hi,   0.0844528917621245
R12_SAS,  lo,   0.0945451176994366
R12_SAS,  hi,   0.0756360941595493
R12_WEU,  lo,   0.0759972640276514
R12_WEU,  hi,   0.0696641586920137
