node_loc,technology,year_act,value,unit,time
R12_AFR,gas_exp_eeu,broadcast,-0.1,GWa,year
R12_AFR,gas_exp_weu,broadcast,-0.1,GWa,year
R12_MEA,gas_exp_afr,broadcast,-0.1,GWa,year
R12_MEA,gas_exp_sas,broadcast,-0.1,GWa,year
R12_MEA,gas_exp_rcpa,broadcast,-0.1,GWa,year
R12_MEA,gas_exp_chn,broadcast,-0.1,GWa,year
R12_MEA,gas_exp_eeu,broadcast,-0.1,GWa,year
R12_MEA,gas_exp_weu,broadcast,-0.1,GWa,year
R12_LAM,gas_exp_nam,broadcast,-0.1,GWa,year
R12_FSU,gas_exp_sas,broadcast,-0.1,GWa,year
R12_FSU,gas_exp_rcpa,broadcast,-0.1,GWa,year
R12_FSU,gas_exp_chn,broadcast,-0.1,GWa,year
R12_FSU,gas_exp_pao,broadcast,-0.1,GWa,year
R12_FSU,gas_exp_eeu,broadcast,-0.1,GWa,year
R12_FSU,gas_exp_weu,broadcast,-0.1,GWa,year
R12_EEU,gas_imp,broadcast,-0.1,GWa,year
R12_WEU,gas_imp,broadcast,-0.1,GWa,year
R12_AFR,gas_imp,broadcast,-0.1,GWa,year
R12_SAS,gas_imp,broadcast,-0.1,GWa,year
R12_RCPA,gas_imp,broadcast,-0.1,GWa,year
R12_CHN,gas_imp,broadcast,-0.1,GWa,year
R12_NAM,gas_imp,broadcast,-0.1,GWa,year
R12_PAO,gas_imp,broadcast,-0.1,GWa,year
