node_loc,technology,year_vtg,year_act,value,unit,emission,mode
R12_AFR,gas_exp_eeu,broadcast,broadcast,1.3,kg CH4/kWyr/yr,CH4_GAS_TRANS&STORE,M1
R12_AFR,gas_exp_weu,broadcast,broadcast,1.3,kg CH4/kWyr/yr,CH4_GAS_TRANS&STORE,M1
R12_MEA,gas_exp_afr,broadcast,broadcast,1.3,kg CH4/kWyr/yr,CH4_GAS_TRANS&STORE,M1
R12_MEA,gas_exp_sas,broadcast,broadcast,1.3,kg CH4/kWyr/yr,CH4_GAS_TRANS&STORE,M1
R12_MEA,gas_exp_rcpa,broadcast,broadcast,1.3,kg CH4/kWyr/yr,CH4_GAS_TRANS&STORE,M1
R12_MEA,gas_exp_chn,broadcast,broadcast,1.3,kg CH4/kWyr/yr,CH4_GAS_TRANS&STORE,M1
R12_MEA,gas_exp_eeu,broadcast,broadcast,1.3,kg CH4/kWyr/yr,CH4_GAS_TRANS&STORE,M1
R12_MEA,gas_exp_weu,broadcast,broadcast,1.3,kg CH4/kWyr/yr,CH4_GAS_TRANS&STORE,M1
R12_LAM,gas_exp_nam,broadcast,broadcast,1.3,kg CH4/kWyr/yr,CH4_GAS_TRANS&STORE,M1
R12_FSU,gas_exp_sas,broadcast,broadcast,1.3,kg CH4/kWyr/yr,CH4_GAS_TRANS&STORE,M1
R12_FSU,gas_exp_rcpa,broadcast,broadcast,1.3,kg CH4/kWyr/yr,CH4_GAS_TRANS&STORE,M1
R12_FSU,gas_exp_chn,broadcast,broadcast,1.3,kg CH4/kWyr/yr,CH4_GAS_TRANS&STORE,M1
R12_FSU,gas_exp_pao,broadcast,broadcast,1.3,kg CH4/kWyr/yr,CH4_GAS_TRANS&STORE,M1
R12_FSU,gas_exp_eeu,broadcast,broadcast,1.3,kg CH4/kWyr/yr,CH4_GAS_TRANS&STORE,M1
R12_FSU,gas_exp_weu,broadcast,broadcast,1.3,kg CH4/kWyr/yr,CH4_GAS_TRANS&STORE,M1
R12_EEU,gas_imp,broadcast,broadcast,,,CH4_GAS_TRANS&STORE,M1
R12_WEU,gas_imp,broadcast,broadcast,,,CH4_GAS_TRANS&STORE,M1
R12_AFR,gas_imp,broadcast,broadcast,,,CH4_GAS_TRANS&STORE,M1
R12_SAS,gas_imp,broadcast,broadcast,,,CH4_GAS_TRANS&STORE,M1
R12_RCPA,gas_imp,broadcast,broadcast,,,CH4_GAS_TRANS&STORE,M1
R12_CHN,gas_imp,broadcast,broadcast,,,CH4_GAS_TRANS&STORE,M1
R12_NAM,gas_imp,broadcast,broadcast,,,CH4_GAS_TRANS&STORE,M1
R12_PAO,gas_imp,broadcast,broadcast,,,CH4_GAS_TRANS&STORE,M1
R12_AFR,gas_exp_eeu,broadcast,broadcast,0.01,t C/GWyr/yr,TCE,M1
R12_AFR,gas_exp_weu,broadcast,broadcast,0.01,t C/GWyr/yr,TCE,M1
R12_MEA,gas_exp_afr,broadcast,broadcast,0.01,t C/GWyr/yr,TCE,M1
R12_MEA,gas_exp_sas,broadcast,broadcast,0.01,t C/GWyr/yr,TCE,M1
R12_MEA,gas_exp_rcpa,broadcast,broadcast,0.01,t C/GWyr/yr,TCE,M1
R12_MEA,gas_exp_chn,broadcast,broadcast,0.01,t C/GWyr/yr,TCE,M1
R12_MEA,gas_exp_eeu,broadcast,broadcast,0.01,t C/GWyr/yr,TCE,M1
R12_MEA,gas_exp_weu,broadcast,broadcast,0.01,t C/GWyr/yr,TCE,M1
R12_LAM,gas_exp_nam,broadcast,broadcast,0.01,t C/GWyr/yr,TCE,M1
R12_FSU,gas_exp_sas,broadcast,broadcast,0.01,t C/GWyr/yr,TCE,M1
R12_FSU,gas_exp_rcpa,broadcast,broadcast,0.01,t C/GWyr/yr,TCE,M1
R12_FSU,gas_exp_chn,broadcast,broadcast,0.01,t C/GWyr/yr,TCE,M1
R12_FSU,gas_exp_pao,broadcast,broadcast,0.01,t C/GWyr/yr,TCE,M1
R12_FSU,gas_exp_eeu,broadcast,broadcast,0.01,t C/GWyr/yr,TCE,M1
R12_FSU,gas_exp_weu,broadcast,broadcast,0.01,t C/GWyr/yr,TCE,M1
R12_EEU,gas_imp,broadcast,broadcast,,,TCE,M1
R12_WEU,gas_imp,broadcast,broadcast,,,TCE,M1
R12_AFR,gas_imp,broadcast,broadcast,,,TCE,M1
R12_SAS,gas_imp,broadcast,broadcast,,,TCE,M1
R12_RCPA,gas_imp,broadcast,broadcast,,,TCE,M1
R12_CHN,gas_imp,broadcast,broadcast,,,TCE,M1
R12_NAM,gas_imp,broadcast,broadcast,,,TCE,M1
R12_PAO,gas_imp,broadcast,broadcast,,,TCE,M1
R12_AFR,gas_exp_eeu,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_non-CO2,M1
R12_AFR,gas_exp_weu,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_non-CO2,M1
R12_MEA,gas_exp_afr,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_non-CO2,M1
R12_MEA,gas_exp_sas,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_non-CO2,M1
R12_MEA,gas_exp_rcpa,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_non-CO2,M1
R12_MEA,gas_exp_chn,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_non-CO2,M1
R12_MEA,gas_exp_eeu,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_non-CO2,M1
R12_MEA,gas_exp_weu,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_non-CO2,M1
R12_LAM,gas_exp_nam,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_non-CO2,M1
R12_FSU,gas_exp_sas,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_non-CO2,M1
R12_FSU,gas_exp_rcpa,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_non-CO2,M1
R12_FSU,gas_exp_chn,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_non-CO2,M1
R12_FSU,gas_exp_pao,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_non-CO2,M1
R12_FSU,gas_exp_eeu,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_non-CO2,M1
R12_FSU,gas_exp_weu,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_non-CO2,M1
R12_EEU,gas_imp,broadcast,broadcast,,,TCE_non-CO2,M1
R12_WEU,gas_imp,broadcast,broadcast,,,TCE_non-CO2,M1
R12_AFR,gas_imp,broadcast,broadcast,,,TCE_non-CO2,M1
R12_SAS,gas_imp,broadcast,broadcast,,,TCE_non-CO2,M1
R12_RCPA,gas_imp,broadcast,broadcast,,,TCE_non-CO2,M1
R12_CHN,gas_imp,broadcast,broadcast,,,TCE_non-CO2,M1
R12_NAM,gas_imp,broadcast,broadcast,,,TCE_non-CO2,M1
R12_PAO,gas_imp,broadcast,broadcast,,,TCE_non-CO2,M1
R12_AFR,gas_exp_eeu,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_other,M1
R12_AFR,gas_exp_weu,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_other,M1
R12_MEA,gas_exp_afr,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_other,M1
R12_MEA,gas_exp_sas,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_other,M1
R12_MEA,gas_exp_rcpa,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_other,M1
R12_MEA,gas_exp_chn,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_other,M1
R12_MEA,gas_exp_eeu,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_other,M1
R12_MEA,gas_exp_weu,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_other,M1
R12_LAM,gas_exp_nam,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_other,M1
R12_FSU,gas_exp_sas,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_other,M1
R12_FSU,gas_exp_rcpa,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_other,M1
R12_FSU,gas_exp_chn,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_other,M1
R12_FSU,gas_exp_pao,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_other,M1
R12_FSU,gas_exp_eeu,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_other,M1
R12_FSU,gas_exp_weu,broadcast,broadcast,0.01,t C/GWyr/yr,TCE_other,M1
R12_EEU,gas_imp,broadcast,broadcast,,,TCE_other,M1
R12_WEU,gas_imp,broadcast,broadcast,,,TCE_other,M1
R12_AFR,gas_imp,broadcast,broadcast,,,TCE_other,M1
R12_SAS,gas_imp,broadcast,broadcast,,,TCE_other,M1
R12_RCPA,gas_imp,broadcast,broadcast,,,TCE_other,M1
R12_CHN,gas_imp,broadcast,broadcast,,,TCE_other,M1
R12_NAM,gas_imp,broadcast,broadcast,,,TCE_other,M1
R12_PAO,gas_imp,broadcast,broadcast,,,TCE_other,M1
