relation,parameter,technology,Region,value,Units
max_regional_recycling_cement,relation_activity,recycling_cement,R12_RCPA,1.0,
max_regional_recycling_cement,relation_activity,total_EOL_cement,R12_RCPA,-0.35,maxium recycling rate after 2020
max_regional_recycling_cement,relation_upper,,R12_RCPA,0.0,
max_regional_recycling_cement,relation_activity,recycling_cement,R12_CHN,1.0,
max_regional_recycling_cement,relation_activity,total_EOL_cement,R12_CHN,-0.35,maxium recycling rate after 2020
max_regional_recycling_cement,relation_upper,,R12_CHN,0.0,
max_regional_recycling_cement,relation_activity,recycling_cement,R12_EEU,1.0,
max_regional_recycling_cement,relation_activity,total_EOL_cement,R12_EEU,-0.35,maxium recycling rate after 2020
max_regional_recycling_cement,relation_upper,,R12_EEU,0.0,
max_regional_recycling_cement,relation_activity,recycling_cement,R12_WEU,1.0,
max_regional_recycling_cement,relation_activity,total_EOL_cement,R12_WEU,-0.35,maxium recycling rate after 2020
max_regional_recycling_cement,relation_upper,,R12_WEU,0.0,
max_regional_recycling_cement,relation_activity,recycling_cement,R12_FSU,1.0,
max_regional_recycling_cement,relation_activity,total_EOL_cement,R12_FSU,-0.35,maxium recycling rate after 2020
max_regional_recycling_cement,relation_upper,,R12_FSU,0.0,
max_regional_recycling_cement,relation_activity,recycling_cement,R12_LAM,1.0,
max_regional_recycling_cement,relation_activity,total_EOL_cement,R12_LAM,-0.35,maxium recycling rate after 2020
max_regional_recycling_cement,relation_upper,,R12_LAM,0.0,
max_regional_recycling_cement,relation_activity,recycling_cement,R12_MEA,1.0,
max_regional_recycling_cement,relation_activity,total_EOL_cement,R12_MEA,-0.35,maxium recycling rate after 2020
max_regional_recycling_cement,relation_upper,,R12_MEA,0.0,
max_regional_recycling_cement,relation_activity,recycling_cement,R12_SAS,1.0,
max_regional_recycling_cement,relation_activity,total_EOL_cement,R12_SAS,-0.35,maxium recycling rate after 2020
max_regional_recycling_cement,relation_upper,,R12_SAS,0.0,
max_regional_recycling_cement,relation_activity,recycling_cement,R12_PAS,1.0,
max_regional_recycling_cement,relation_activity,total_EOL_cement,R12_PAS,-0.35,maxium recycling rate after 2020
max_regional_recycling_cement,relation_upper,,R12_PAS,0.0,
max_regional_recycling_cement,relation_activity,recycling_cement,R12_NAM,1.0,
max_regional_recycling_cement,relation_activity,total_EOL_cement,R12_NAM,-0.35,maxium recycling rate after 2020
max_regional_recycling_cement,relation_upper,,R12_NAM,0.0,
max_regional_recycling_cement,relation_activity,recycling_cement,R12_PAO,1.0,
max_regional_recycling_cement,relation_activity,total_EOL_cement,R12_PAO,-0.35,maxium recycling rate after 2020
max_regional_recycling_cement,relation_upper,,R12_PAO,0.0,
max_regional_recycling_cement,relation_activity,recycling_cement,R12_AFR,1.0,
max_regional_recycling_cement,relation_activity,total_EOL_cement,R12_AFR,-0.35,maxium recycling rate after 2020
max_regional_recycling_cement,relation_upper,,R12_AFR,0.0,
