node_loc,technology,year_vtg,year_act,mode,node_origin,commodity,level,time,time_origin,value,unit
R12_AFR,gas_pipe_mea,broadcast,broadcast,M1,R12_AFR,gas,,year,year,,GWa
R12_AFR,gas_pipe_weu,broadcast,broadcast,M1,R12_AFR,gas,,year,year,,GWa
R12_CHN,gas_pipe_fsu,broadcast,broadcast,M1,R12_CHN,gas,,year,year,,GWa
R12_EEU,gas_pipe_fsu,broadcast,broadcast,M1,R12_EEU,gas,,year,year,,GWa
R12_EEU,gas_pipe_weu,broadcast,broadcast,M1,R12_EEU,gas,,year,year,,GWa
R12_FSU,gas_pipe_rcpa,broadcast,broadcast,M1,R12_FSU,gas,,year,year,,GWa
R12_FSU,gas_pipe_chn,broadcast,broadcast,M1,R12_FSU,gas,,year,year,,GWa
R12_FSU,gas_pipe_eeu,broadcast,broadcast,M1,R12_FSU,gas,,year,year,,GWa
R12_FSU,gas_pipe_mea,broadcast,broadcast,M1,R12_FSU,gas,,year,year,,GWa
R12_FSU,gas_pipe_pao,broadcast,broadcast,M1,R12_FSU,gas,,year,year,,GWa
R12_FSU,gas_pipe_pas,broadcast,broadcast,M1,R12_FSU,gas,,year,year,,GWa
R12_FSU,gas_pipe_sas,broadcast,broadcast,M1,R12_FSU,gas,,year,year,,GWa
R12_FSU,gas_pipe_weu,broadcast,broadcast,M1,R12_FSU,gas,,year,year,,GWa
R12_LAM,gas_pipe_nam,broadcast,broadcast,M1,R12_LAM,gas,,year,year,,GWa
R12_MEA,gas_pipe_afr,broadcast,broadcast,M1,R12_MEA,gas,,year,year,,GWa
R12_MEA,gas_pipe_eeu,broadcast,broadcast,M1,R12_MEA,gas,,year,year,,GWa
R12_MEA,gas_pipe_fsu,broadcast,broadcast,M1,R12_MEA,gas,,year,year,,GWa
R12_MEA,gas_pipe_sas,broadcast,broadcast,M1,R12_MEA,gas,,year,year,,GWa
R12_MEA,gas_pipe_weu,broadcast,broadcast,M1,R12_MEA,gas,,year,year,,GWa
R12_NAM,gas_pipe_lam,broadcast,broadcast,M1,R12_NAM,gas,,year,year,,GWa
R12_PAO,gas_pipe_fsu,broadcast,broadcast,M1,R12_PAO,gas,,year,year,,GWa
R12_PAS,gas_pipe_rcpa,broadcast,broadcast,M1,R12_PAS,gas,,year,year,,GWa
R12_PAS,gas_pipe_chn,broadcast,broadcast,M1,R12_PAS,gas,,year,year,,GWa
R12_PAS,gas_pipe_fsu,broadcast,broadcast,M1,R12_PAS,gas,,year,year,,GWa
R12_PAS,gas_pipe_pao,broadcast,broadcast,M1,R12_PAS,gas,,year,year,,GWa
R12_SAS,gas_pipe_fsu,broadcast,broadcast,M1,R12_SAS,gas,,year,year,,GWa
R12_SAS,gas_pipe_mea,broadcast,broadcast,M1,R12_SAS,gas,,year,year,,GWa
R12_SAS,gas_pipe_pas,broadcast,broadcast,M1,R12_SAS,gas,,year,year,,GWa
R12_WEU,gas_pipe_afr,broadcast,broadcast,M1,R12_WEU,gas,,year,year,,GWa
R12_WEU,gas_pipe_eeu,broadcast,broadcast,M1,R12_WEU,gas,,year,year,,GWa
R12_WEU,gas_pipe_fsu,broadcast,broadcast,M1,R12_WEU,gas,,year,year,,GWa
R12_WEU,gas_pipe_mea,broadcast,broadcast,M1,R12_WEU,gas,,year,year,,GWa
