node_loc,technology,year_vtg,year_act,value,unit
R12_AFR,gas_pipe_mea,broadcast,broadcast,,USD/km
R12_AFR,gas_pipe_weu,broadcast,broadcast,,USD/km
R12_CHN,gas_pipe_fsu,broadcast,broadcast,,USD/km
R12_EEU,gas_pipe_fsu,broadcast,broadcast,,USD/km
R12_EEU,gas_pipe_weu,broadcast,broadcast,,USD/km
R12_FSU,gas_pipe_rcpa,broadcast,broadcast,,USD/km
R12_FSU,gas_pipe_chn,broadcast,broadcast,,USD/km
R12_FSU,gas_pipe_eeu,broadcast,broadcast,,USD/km
R12_FSU,gas_pipe_mea,broadcast,broadcast,,USD/km
R12_FSU,gas_pipe_pao,broadcast,broadcast,,USD/km
R12_FSU,gas_pipe_pas,broadcast,broadcast,,USD/km
R12_FSU,gas_pipe_sas,broadcast,broadcast,,USD/km
R12_FSU,gas_pipe_weu,broadcast,broadcast,,USD/km
R12_LAM,gas_pipe_nam,broadcast,broadcast,,USD/km
R12_MEA,gas_pipe_afr,broadcast,broadcast,,USD/km
R12_MEA,gas_pipe_eeu,broadcast,broadcast,,USD/km
R12_MEA,gas_pipe_fsu,broadcast,broadcast,,USD/km
R12_MEA,gas_pipe_sas,broadcast,broadcast,,USD/km
R12_MEA,gas_pipe_weu,broadcast,broadcast,,USD/km
R12_NAM,gas_pipe_lam,broadcast,broadcast,,USD/km
R12_PAO,gas_pipe_fsu,broadcast,broadcast,,USD/km
R12_PAS,gas_pipe_rcpa,broadcast,broadcast,,USD/km
R12_PAS,gas_pipe_chn,broadcast,broadcast,,USD/km
R12_PAS,gas_pipe_fsu,broadcast,broadcast,,USD/km
R12_PAS,gas_pipe_pao,broadcast,broadcast,,USD/km
R12_SAS,gas_pipe_fsu,broadcast,broadcast,,USD/km
R12_SAS,gas_pipe_mea,broadcast,broadcast,,USD/km
R12_SAS,gas_pipe_pas,broadcast,broadcast,,USD/km
R12_WEU,gas_pipe_afr,broadcast,broadcast,,USD/km
R12_WEU,gas_pipe_eeu,broadcast,broadcast,,USD/km
R12_WEU,gas_pipe_fsu,broadcast,broadcast,,USD/km
R12_WEU,gas_pipe_mea,broadcast,broadcast,,USD/km
