MODEL,SCENARIO,YEAR,IMPORTER,MESSAGETEC,LEVEL,UNITS,COMMODITY,PULL DATE
NP_SSP2_6.2,PGLNG-C-CRSCRP,2030,R12_MEA,coal_shipped_imp,11.1,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2035,R12_MEA,coal_shipped_imp,5.6,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2040,R12_MEA,coal_shipped_imp,5.1,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2045,R12_MEA,coal_shipped_imp,4.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2050,R12_MEA,coal_shipped_imp,5.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2055,R12_MEA,coal_shipped_imp,6.6,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2060,R12_MEA,coal_shipped_imp,9.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2070,R12_MEA,coal_shipped_imp,15.9,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2080,R12_MEA,coal_shipped_imp,27.3,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2090,R12_MEA,coal_shipped_imp,42.5,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2100,R12_MEA,coal_shipped_imp,47.2,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2110,R12_MEA,coal_shipped_imp,53.7,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2030,R12_NAM,coal_shipped_imp,11.1,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2035,R12_NAM,coal_shipped_imp,25.2,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2040,R12_NAM,coal_shipped_imp,43.2,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2045,R12_NAM,coal_shipped_imp,32.6,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2050,R12_NAM,coal_shipped_imp,34.7,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2055,R12_NAM,coal_shipped_imp,17.8,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2060,R12_NAM,coal_shipped_imp,20.8,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2070,R12_NAM,coal_shipped_imp,25.3,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2080,R12_NAM,coal_shipped_imp,20.6,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2090,R12_NAM,coal_shipped_imp,18.6,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2100,R12_NAM,coal_shipped_imp,18.7,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2110,R12_NAM,coal_shipped_imp,23.7,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2030,R12_PAO,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2035,R12_PAO,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2040,R12_PAO,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
NP_SSP2_6.2,PGLNG-C-CRSCRP,2045,R12_PAO,coal_shipped_imp,0.0,GWa,Coal (GWa),2025-10-02
