MODEL,SCENARIO,YEAR,IMPORTER,MESSAGETEC,LEVEL,UNITS,COMMODITY,PULL DATE
NP_SSP2_6.2,base_scenario,2100,R12_LAM,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2110,R12_LAM,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2020,R12_LAM,meth_imp,0.3,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2025,R12_LAM,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2030,R12_LAM,meth_imp,0.9,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2035,R12_LAM,meth_imp,1.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2040,R12_LAM,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2045,R12_LAM,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2050,R12_LAM,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2055,R12_LAM,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2060,R12_LAM,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2070,R12_LAM,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2080,R12_LAM,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2090,R12_LAM,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2100,R12_LAM,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2110,R12_LAM,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2030,R12_MEA,eth_imp,0.9,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2035,R12_MEA,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2040,R12_MEA,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2045,R12_MEA,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2050,R12_MEA,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2055,R12_MEA,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2060,R12_MEA,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2070,R12_MEA,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2080,R12_MEA,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2090,R12_MEA,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2100,R12_MEA,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2110,R12_MEA,eth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2020,R12_MEA,meth_imp,0.7,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2025,R12_MEA,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2030,R12_MEA,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2035,R12_MEA,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2040,R12_MEA,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2045,R12_MEA,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2050,R12_MEA,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2055,R12_MEA,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2060,R12_MEA,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2070,R12_MEA,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2080,R12_MEA,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2090,R12_MEA,meth_imp,0.0,GWa,Ethanol (GWa),2025-10-13
NP_SSP2_6.2,base_scenario,2100,R12_MEA,meth_imp,0.3,GWa,Ethanol (GWa),2025-10-13
