MODEL,SCENARIO,YEAR,IMPORTER,MESSAGETEC,LEVEL,UNITS,COMMODITY,PULL DATE
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2070,R12_FSU,gas_piped_imp,0.3,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2080,R12_FSU,gas_piped_imp,0.2,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2090,R12_FSU,gas_piped_imp,0.1,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2100,R12_FSU,gas_piped_imp,0.1,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2110,R12_FSU,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2030,R12_LAM,gas_piped_imp,45.2,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2035,R12_LAM,gas_piped_imp,35.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2040,R12_LAM,gas_piped_imp,27.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2045,R12_LAM,gas_piped_imp,20.9,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2050,R12_LAM,gas_piped_imp,16.2,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2055,R12_LAM,gas_piped_imp,12.5,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2060,R12_LAM,gas_piped_imp,9.7,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2070,R12_LAM,gas_piped_imp,5.8,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2080,R12_LAM,gas_piped_imp,3.5,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2090,R12_LAM,gas_piped_imp,2.1,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2100,R12_LAM,gas_piped_imp,1.2,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2110,R12_LAM,gas_piped_imp,0.7,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2030,R12_MEA,gas_piped_imp,0.5,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2035,R12_MEA,gas_piped_imp,0.4,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2040,R12_MEA,gas_piped_imp,0.3,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2045,R12_MEA,gas_piped_imp,0.2,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2050,R12_MEA,gas_piped_imp,0.2,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2055,R12_MEA,gas_piped_imp,0.2,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2060,R12_MEA,gas_piped_imp,0.2,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2070,R12_MEA,gas_piped_imp,0.4,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2080,R12_MEA,gas_piped_imp,0.6,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2090,R12_MEA,gas_piped_imp,1.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2100,R12_MEA,gas_piped_imp,1.6,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2110,R12_MEA,gas_piped_imp,2.6,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2030,R12_NAM,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2035,R12_NAM,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2040,R12_NAM,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2045,R12_NAM,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2050,R12_NAM,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2055,R12_NAM,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2060,R12_NAM,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2070,R12_NAM,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2080,R12_NAM,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2090,R12_NAM,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2100,R12_NAM,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2110,R12_NAM,gas_piped_imp,0.0,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2030,R12_PAO,gas_piped_imp,1.2,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2035,R12_PAO,gas_piped_imp,1.2,GWa,gas (GWa),2025-10-10
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBs,2040,R12_PAO,gas_piped_imp,1.2,GWa,gas (GWa),2025-10-10
