MODEL,SCENARIO,VARIABLETYPE,YEAR,EXPORTER,IMPORTER,MESSAGETEC,COMMODITY,LEVEL,UNITS,PAIR,PULL DATE
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2025,R12_AFR,R12_LH2,lh2_tanker_lh2,lh2,836.4,GWa,R12_AFR-R12_LH2,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2030,R12_AFR,R12_LH2,lh2_tanker_lh2,lh2,0.0,GWa,R12_AFR-R12_LH2,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2035,R12_AFR,R12_LH2,lh2_tanker_lh2,lh2,0.0,GWa,R12_AFR-R12_LH2,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2040,R12_AFR,R12_LH2,lh2_tanker_lh2,lh2,0.0,GWa,R12_AFR-R12_LH2,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2045,R12_AFR,R12_LH2,lh2_tanker_lh2,lh2,0.0,GWa,R12_AFR-R12_LH2,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2050,R12_AFR,R12_LH2,lh2_tanker_lh2,lh2,0.0,GWa,R12_AFR-R12_LH2,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2055,R12_AFR,R12_LH2,lh2_tanker_lh2,lh2,0.0,GWa,R12_AFR-R12_LH2,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2060,R12_AFR,R12_LH2,lh2_tanker_lh2,lh2,0.0,GWa,R12_AFR-R12_LH2,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2070,R12_AFR,R12_LH2,lh2_tanker_lh2,lh2,0.0,GWa,R12_AFR-R12_LH2,2025-10-13
NP_SSP2_6.2,GpLNGsCsCRspEsFspLspBsHs,Fuel Input,2080,R12_AFR,R12_LH2,lh2_tanker_lh2,lh2,0.0,GWa,R12_AFR-R12_LH2,2025-10-13
