relation,parameter,technology,Region,value,Units
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_RCPA,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_RCPA,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_RCPA,1.0,
minimum_recycling_aluminum,relation_activity,total_EOL_aluminum,R12_RCPA,-0.77,minimum recycling rate
minimum_recycling_aluminum,relation_lower,,R12_RCPA,0.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_EEU,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_EEU,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_EEU,1.0,
minimum_recycling_aluminum,relation_activity,total_EOL_aluminum,R12_EEU,-0.79,
minimum_recycling_aluminum,relation_lower,,R12_EEU,0.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_WEU,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_WEU,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_WEU,1.0,
minimum_recycling_aluminum,relation_activity,total_EOL_aluminum,R12_WEU,-0.79,
minimum_recycling_aluminum,relation_lower,,R12_WEU,0.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_PAO,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_PAO,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_PAO,1.0,
minimum_recycling_aluminum,relation_activity,total_EOL_aluminum,R12_PAO,-0.8,
minimum_recycling_aluminum,relation_lower,,R12_PAO,0.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_MEA,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_MEA,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_MEA,1.0,
minimum_recycling_aluminum,relation_activity,total_EOL_aluminum,R12_MEA,-0.75,
minimum_recycling_aluminum,relation_lower,,R12_MEA,0.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_NAM,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_NAM,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_NAM,1.0,
minimum_recycling_aluminum,relation_activity,total_EOL_aluminum,R12_NAM,-0.7,
minimum_recycling_aluminum,relation_lower,,R12_NAM,0.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_PAS,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_PAS,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_PAS,1.0,
minimum_recycling_aluminum,relation_activity,total_EOL_aluminum,R12_PAS,-0.65,
minimum_recycling_aluminum,relation_lower,,R12_PAS,0.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_LAM,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_LAM,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_LAM,1.0,
minimum_recycling_aluminum,relation_activity,total_EOL_aluminum,R12_LAM,-0.8,
minimum_recycling_aluminum,relation_lower,,R12_LAM,0.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_FSU,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_FSU,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_FSU,1.0,
minimum_recycling_aluminum,relation_activity,total_EOL_aluminum,R12_FSU,-0.65,
minimum_recycling_aluminum,relation_lower,,R12_FSU,0.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_AFR,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_AFR,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_AFR,1.0,
minimum_recycling_aluminum,relation_activity,total_EOL_aluminum,R12_AFR,-0.65,
minimum_recycling_aluminum,relation_lower,,R12_AFR,0.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_SAS,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_SAS,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_SAS,1.0,
minimum_recycling_aluminum,relation_activity,total_EOL_aluminum,R12_SAS,-0.65,
minimum_recycling_aluminum,relation_lower,,R12_SAS,0.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_CHN,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_CHN,1.0,
minimum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_CHN,1.0,
minimum_recycling_aluminum,relation_activity,total_EOL_aluminum,R12_CHN,-0.77,
minimum_recycling_aluminum,relation_lower,,R12_CHN,0.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_RCPA,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_RCPA,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_RCPA,1.0,
maximum_recycling_aluminum,relation_upper,,R12_RCPA,0.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_EEU,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_EEU,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_EEU,1.0,
maximum_recycling_aluminum,relation_upper,,R12_EEU,0.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_WEU,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_WEU,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_WEU,1.0,
maximum_recycling_aluminum,relation_upper,,R12_WEU,0.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_PAO,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_PAO,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_3,R12_PAO,1.0,
maximum_recycling_aluminum,relation_upper,,R12_PAO,0.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_1,R12_MEA,1.0,
maximum_recycling_aluminum,relation_activity,scrap_recovery_aluminum_2,R12_MEA,1.0,
