region,technology,parameter,Unit,value,availability,Description,Source
R12_LAM,prebake_aluminum,input|alumina|secondary_material,Mton/MtonAl,1.915,1985,,IEA ETSAP - Technology Brief I10 – March 2012 - www.etsap.org
R12_MEA,prebake_aluminum,input|alumina|secondary_material,Mton/MtonAl,1.915,1985,,IEA ETSAP - Technology Brief I10 – March 2012 - www.etsap.org
R12_EEU,prebake_aluminum,input|alumina|secondary_material,Mton/MtonAl,1.915,1985,,IEA ETSAP - Technology Brief I10 – March 2012 - www.etsap.org
R12_AFR,prebake_aluminum,input|alumina|secondary_material,Mton/MtonAl,1.915,1985,,IEA ETSAP - Technology Brief I10 – March 2012 - www.etsap.org
R12_FSU,prebake_aluminum,input|alumina|secondary_material,Mton/MtonAl,1.915,1985,,IEA ETSAP - Technology Brief I10 – March 2012 - www.etsap.org
R12_NAM,prebake_aluminum,input|alumina|secondary_material,Mton/MtonAl,1.915,1985,,IEA ETSAP - Technology Brief I10 – March 2012 - www.etsap.org
R12_PAO,prebake_aluminum,input|alumina|secondary_material,Mton/MtonAl,1.915,1985,,IEA ETSAP - Technology Brief I10 – March 2012 - www.etsap.org
R12_WEU,prebake_aluminum,input|alumina|secondary_material,Mton/MtonAl,1.915,1985,,IEA ETSAP - Technology Brief I10 – March 2012 - www.etsap.org
R12_RCPA,prebake_aluminum,output|aluminum|final_material,MtonAl,1.0,1985,,
R12_CHN,prebake_aluminum,output|aluminum|final_material,MtonAl,1.0,1985,,
R12_SAS,prebake_aluminum,output|aluminum|final_material,MtonAl,1.0,1985,,
R12_PAS,prebake_aluminum,output|aluminum|final_material,MtonAl,1.0,1985,,
R12_LAM,prebake_aluminum,output|aluminum|final_material,MtonAl,1.0,1985,,
R12_MEA,prebake_aluminum,output|aluminum|final_material,MtonAl,1.0,1985,,
R12_EEU,prebake_aluminum,output|aluminum|final_material,MtonAl,1.0,1985,,
R12_AFR,prebake_aluminum,output|aluminum|final_material,MtonAl,1.0,1985,,
R12_FSU,prebake_aluminum,output|aluminum|final_material,MtonAl,1.0,1985,,
R12_NAM,prebake_aluminum,output|aluminum|final_material,MtonAl,1.0,1985,,
R12_PAO,prebake_aluminum,output|aluminum|final_material,MtonAl,1.0,1985,,
R12_WEU,prebake_aluminum,output|aluminum|final_material,MtonAl,1.0,1985,,
R12_RCPA,secondary_aluminum,input|ht_heat|useful_aluminum,GWyr/MtonAl,0.088787414,1985,Converted from 2.8 GJ/t,https://publications.jrc.ec.europa.eu/repository/handle/JRC96680
R12_RCPA,secondary_aluminum,input|aluminum|new_scrap,Mton/MtonAl,1.0,1985,,
R12_RCPA,secondary_aluminum,output|aluminum|final_material,MtonAl,0.9,1985,,
R12_RCPA,prep_secondary_aluminum_1,input|aluminum|old_scrap_1,Mton/MtonAl,1.0,1985,Treats the cheapest level of scrap,
R12_RCPA,prep_secondary_aluminum_1,output|aluminum|new_scrap,MtonAl,1.0,1985,,
R12_RCPA,prep_secondary_aluminum_2,input|aluminum|old_scrap_2,Mton/MtonAl,1.0,1985,treats medium price level of scrap,
R12_RCPA,prep_secondary_aluminum_2,output|aluminum|new_scrap,MtonAl,1.0,1985,,
R12_RCPA,prep_secondary_aluminum_3,input|aluminum|old_scrap_3,Mton/MtonAl,1.0,1985,treats highest price level of scrap,
R12_RCPA,prep_secondary_aluminum_3,output|aluminum|new_scrap,MtonAl,1.0,1985,,
R12_RCPA,finishing_aluminum,input|aluminum|final_material,Mton/MtonAl,1.0,1985,,
R12_RCPA,finishing_aluminum,output|aluminum|useful_material,MtonAl,0.971,1985,,"IAI - Global cycle 2018, https://alucycle.world-aluminium.org/public-access/"
R12_CHN,manuf_aluminum,input|aluminum|useful_material,,1.0,1985,,
R12_CHN,manuf_aluminum,output|aluminum|product,,0.866,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_CHN,manuf_aluminum,output|aluminum|new_scrap,,0.134,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_RCPA,manuf_aluminum,input|aluminum|useful_material,,1.0,1985,,
R12_RCPA,manuf_aluminum,output|aluminum|product,,0.866,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_RCPA,manuf_aluminum,output|aluminum|new_scrap,,0.134,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_EEU,manuf_aluminum,input|aluminum|useful_material,,1.0,1985,,
R12_EEU,manuf_aluminum,output|aluminum|product,,0.868,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_EEU,manuf_aluminum,output|aluminum|new_scrap,,0.132,1985,,"IAI - Global cycle 2017, https://alucycle.world-aluminium.org/public-access/"
R12_WEU,manuf_aluminum,input|aluminum|useful_material,,1.0,1985,,
