technology,parameter,region,mode,commodity,level,units,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100,2110
DUMMY_bauxite_supply,var_cost,R12_RCPA,M1,,,2005MUSD/Mt,,,,,,,,,333.94,350.637,368.16885,386.57729250000006,405.90615712500005,426.20146498125007,447.51153823031257,469.8871151418282,493.38147089891964,518.0505444438656,543.9530716660589,571.1507252493619,599.7082615118301,629.6936745874216
DUMMY_bauxite_supply,var_cost,R12_CHN,M1,,,2005MUSD/Mt,,,,,,,,,333.94,350.637,368.16885,386.57729250000006,405.90615712500005,426.20146498125007,447.51153823031257,469.8871151418282,493.38147089891964,518.0505444438656,543.9530716660589,571.1507252493619,599.7082615118301,629.6936745874216
secondary_aluminum,bound_activity_up,R12_AFR,M1,,,Mt/yr,,,,,,,,,0.888888888888889,,,,,,,,,,,,,
secondary_aluminum,bound_activity_up,R12_CHN,M1,,,Mt/yr,,,,,,,,,13.333333333333332,,,,,,,,,,,,,
secondary_aluminum,bound_activity_up,R12_EEU,M1,,,Mt/yr,,,,,,,,,2.7777777777777777,,,,,,,,,,,,,
secondary_aluminum,bound_activity_up,R12_FSU,M1,,,Mt/yr,,,,,,,,,1.9444444444444444,,,,,,,,,,,,,
secondary_aluminum,bound_activity_up,R12_LAM,M1,,,Mt/yr,,,,,,,,,2.0,,,,,,,,,,,,,
secondary_aluminum,bound_activity_up,R12_MEA,M1,,,Mt/yr,,,,,,,,,0.7,,,,,,,,,,,,,
secondary_aluminum,bound_activity_up,R12_NAM,M1,,,Mt/yr,,,,,,,,,5.444444444444445,,,,,,,,,,,,,
secondary_aluminum,bound_activity_up,R12_PAO,M1,,,Mt/yr,,,,,,,,,1.3333333333333333,,,,,,,,,,,,,
secondary_aluminum,bound_activity_up,R12_PAS,M1,,,Mt/yr,,,,,,,,,2.944444444444444,,,,,,,,,,,,,
secondary_aluminum,bound_activity_up,R12_RCPA,M1,,,Mt/yr,,,,,,,,,1.3333333333333335,,,,,,,,,,,,,
secondary_aluminum,bound_activity_up,R12_SAS,M1,,,Mt/yr,,,,,,,,,1.5,,,,,,,,,,,,,
secondary_aluminum,bound_activity_up,R12_WEU,M1,,,Mt/yr,,,,,,,,,3.333333333333333,,,,,,,,,,,,,
secondary_aluminum,bound_activity_lo,R12_AFR,M1,,,Mt/yr,,,,,,,,,0.888888888888889,,,,,,,,,,,,,
secondary_aluminum,bound_activity_lo,R12_CHN,M1,,,Mt/yr,,,,,,,,,13.222222222222221,,,,,,,,,,,,,
secondary_aluminum,bound_activity_lo,R12_EEU,M1,,,Mt/yr,,,,,,,,,2.2222222222222223,,,,,,,,,,,,,
secondary_aluminum,bound_activity_lo,R12_FSU,M1,,,Mt/yr,,,,,,,,,1.777777777777778,,,,,,,,,,,,,
secondary_aluminum,bound_activity_lo,R12_LAM,M1,,,Mt/yr,,,,,,,,,1.8888888888888888,,,,,,,,,,,,,
secondary_aluminum,bound_activity_lo,R12_MEA,M1,,,Mt/yr,,,,,,,,,0.5555555555555556,,,,,,,,,,,,,
secondary_aluminum,bound_activity_lo,R12_NAM,M1,,,Mt/yr,,,,,,,,,5.333333333333333,,,,,,,,,,,,,
secondary_aluminum,bound_activity_lo,R12_PAO,M1,,,Mt/yr,,,,,,,,,1.2222222222222223,,,,,,,,,,,,,
secondary_aluminum,bound_activity_lo,R12_PAS,M1,,,Mt/yr,,,,,,,,,2.944444444444444,,,,,,,,,,,,,
secondary_aluminum,bound_activity_lo,R12_RCPA,M1,,,Mt/yr,,,,,,,,,1.2,,,,,,,,,,,,,
secondary_aluminum,bound_activity_lo,R12_SAS,M1,,,Mt/yr,,,,,,,,,1.3333333333333335,,,,,,,,,,,,,
secondary_aluminum,bound_activity_lo,R12_WEU,M1,,,Mt/yr,,,,,,,,,2.7777777777777777,,,,,,,,,,,,,
finishing_aluminum,bound_activity_up,R12_CHN,M1,,,Mt/yr,,,,,,,,,,,,,,,,,,,,,,
finishing_aluminum,bound_activity_lo,R12_CHN,M1,,,Mt/yr,,,,,,,,,37.0,42.0,,,,,,,,,,,,
