BCU,urb_rur,mean_dist,w.mean_dist,cost_usd_kW_km,fix_cost_usd_kW,tot_cost_usd2010_kW
1,_rur,4.625652525252526,2.708379456568712,212,1770,1953.4803706604725
1,_urb,4.625652525252526,2.708379456568712,212,1770,1953.4803706604725
2,_rur,9.414510807993837,7.8695825841418285,212,1770,2865.29292319839
2,_urb,9.414510807993837,7.8695825841418285,212,1770,2865.29292319839
3,_rur,25.260481058877225,28.30958445943482,212,1770,6476.359921166818
3,_urb,25.260481058877225,28.30958445943482,212,1770,6476.359921166818
4,_rur,14.466365829737152,12.478454844556191,212,1770,3679.527022538261
4,_urb,14.466365829737152,12.478454844556191,212,1770,3679.527022538261
5,_rur,6.794882196538065,4.257283581494919,212,1770,2227.120099397436
5,_urb,6.794882196538065,4.257283581494919,212,1770,2227.120099397436
6,_rur,5.83409678388939,6.064093956909877,212,1770,2546.3232657207454
6,_urb,5.83409678388939,6.064093956909877,212,1770,2546.3232657207454
7,_rur,10.561228673196794,7.9583723899797105,212,1770,2880.979122229749
7,_urb,10.561228673196794,7.9583723899797105,212,1770,2880.979122229749
8,_rur,12.842219338309011,9.263891021434093,212,1770,3111.620747120023
8,_urb,12.842219338309011,9.263891021434093,212,1770,3111.620747120023
9,_rur,5.324393427230047,3.362347980044155,212,1770,2069.0148098078007
9,_urb,5.324393427230047,3.362347980044155,212,1770,2069.0148098078007
10,_rur,5.598747344885411,2.9168273124986466,212,1770,1990.3061585414275
10,_urb,5.598747344885411,2.9168273124986466,212,1770,1990.3061585414275
11,_rur,3.5173704242928454,1.6630507873545486,212,1770,1768.8056390993038
11,_urb,3.5173704242928454,1.6630507873545486,212,1770,1768.8056390993038
12,_rur,7.910649769585254,4.655575867439426,212,1770,2297.4850699142985
12,_urb,7.910649769585254,4.655575867439426,212,1770,2297.4850699142985
13,_rur,16.049207039106147,15.066697465149085,212,1770,4136.783218843006
13,_urb,16.049207039106147,15.066697465149085,212,1770,4136.783218843006
14,_rur,46.62461590005679,44.14423971464283,25,2831,3278.8383273883924
14,_urb,46.62461590005679,44.14423971464283,25,2831,3278.8383273883924
15,_rur,16.57120610687023,11.60444225766316,212,1770,3525.118132187158
15,_urb,16.57120610687023,11.60444225766316,212,1770,3525.118132187158
16,_rur,21.47657219622118,15.92651626242963,212,1770,4288.684539695902
16,_urb,1.0244285714285715,0.649614406816128,212,1770,1589.7652118708493
17,_rur,18.542180785123968,18.061966813873564,212,1770,4665.947470450997
17,_urb,1.397,0.40385335317358506,212,1770,1546.3474257273333
18,_rur,17.72955980668546,14.606984520950093,212,1770,4055.5672653678494
18,_urb,17.72955980668546,14.606984520950093,212,1770,4055.5672653678494
19,_rur,15.348706300813008,14.808446424504668,212,1770,4091.1588683291575
19,_urb,15.348706300813008,14.808446424504668,212,1770,4091.1588683291575
20,_rur,12.777478760839513,10.272271129823086,212,1770,3289.7678996020786
20,_urb,12.777478760839513,10.272271129823086,212,1770,3289.7678996020786
21,_rur,29.74594683421943,26.934748846811072,212,1770,6233.472296269956
21,_urb,29.74594683421943,26.934748846811072,212,1770,6233.472296269956
22,_rur,13.367535115566694,10.20269832002559,212,1770,3277.476703204521
22,_urb,13.367535115566694,10.20269832002559,212,1770,3277.476703204521
23,_rur,27.017418683274023,24.683945607885285,212,1770,5835.8303907264
23,_urb,27.017418683274023,24.683945607885285,212,1770,5835.8303907264
24,_rur,46.267328015016425,42.77301233426467,25,2831,3250.2710902971808
24,_urb,46.267328015016425,42.77301233426467,25,2831,3250.2710902971808
0,_rur,27.73839641434263,17.68600840570029,212,1770,4599.528151673718
0,_urb,27.73839641434263,17.68600840570029,212,1770,4599.528151673718
