BCU,urb_rur,mean_dist,w.mean_dist,cost_usd_kW_km,fix_cost_usd_kW,tot_cost_usd2010_kW
1,_rur,4.973524731745616,4.621119091694185,212,1770,2291.3977061993064
1,_urb,2.26654,0.7543092721087301,212,1770,1608.261304739209
2,_rur,9.55652217415164,9.080941430664478,212,1770,3079.2996527507244
2,_urb,7.839310626702997,1.8971715162131675,212,1770,1810.1669678643264
3,_rur,23.3269306125551,24.598716072032936,212,1770,5820.773172725819
3,_urb,33.63517786561265,23.707226964938602,212,1770,5663.276763805819
4,_rur,15.38506987340525,14.39688118217184,212,1770,4018.449008850359
4,_urb,11.793435852372584,8.482887188893741,212,1770,2973.643403371228
5,_rur,6.718076702982282,6.247321961235886,212,1770,2578.6935464850067
5,_urb,3.764888307155323,0.4146309254201761,212,1770,1548.2514634908978
6,_rur,6.107860546194073,5.802888871336607,212,1770,2500.1770339361337
6,_urb,6.127243515850144,5.836295349755402,212,1770,2506.0788451234544
7,_rur,11.54530883294023,10.264717898118425,212,1770,3288.433495334255
7,_urb,8.765904778393352,5.598737002086263,212,1770,2464.110203701907
8,_rur,12.34072314962563,10.21843988797383,212,1770,3280.2577135420433
8,_urb,12.304018607856651,5.332356692618429,212,1770,2417.0496823625895
9,_rur,6.324903563129357,5.05846139712313,212,1770,2368.661513491753
9,_urb,3.4951810584958216,0.08121347226958453,212,1770,1489.3477134342934
10,_rur,6.0888821693907875,5.509297819811152,212,1770,2448.3092814999704
10,_urb,3.669456375838926,1.4173208843062204,212,1770,1725.3933562274324
11,_rur,4.35968078363584,2.021465067379349,212,1770,1832.1254952370184
11,_urb,2.6330487804878047,0.9557581383333392,212,1770,1643.85060443889
12,_rur,6.13566006097561,6.129484541278141,212,1770,2557.8756022924717
12,_urb,8.135428571428571,1.7175112303139342,212,1770,1778.4269840221282
13,_rur,16.74176991627553,16.750748626701103,212,1770,4434.2989240505285
13,_urb,15.037524973432518,7.333615635598758,212,1770,2770.6054289557806
14,_rur,44.36753633411321,45.22660600382322,25,1770,2417.2209584129837
14,_urb,47.425075977653634,39.94268374438931,25,1770,2307.1392446747777
15,_rur,15.996613893151068,14.541192833627534,212,1770,4043.9440672741985
15,_urb,13.7221861575179,3.4669133750692276,212,1770,2087.4880295955636
16,_rur,21.94951888514074,17.420920282508103,212,1770,4552.695916576431
16,_urb,20.693494037478704,12.380833308581053,212,1770,3662.2805511826527
17,_rur,18.85209085595877,18.6646273479504,212,1770,4772.417498137905
17,_urb,18.75786036611324,12.740200451966263,212,1770,3725.7687465140402
18,_rur,20.90160447761194,17.339966497543234,212,1770,4538.394081232638
18,_urb,16.640087576374746,8.880296768548769,212,1770,3043.8524291102826
19,_rur,17.886442175134032,16.874918233231423,212,1770,4456.235554537551
19,_urb,15.357008510638298,14.060058254714615,212,1770,3958.943624999582
20,_rur,12.854540700336432,12.209335544493838,212,1770,3631.982612860578
20,_urb,10.047096450617284,4.987445739756272,212,1770,2356.1154140236085
21,_rur,29.3191260638954,29.204340489134136,212,1770,6634.433486413698
21,_urb,24.054555555555556,19.140875870446553,212,1770,4856.554737112225
22,_rur,13.324332330150824,12.949590548086821,212,1770,3762.7609968286715
22,_urb,8.827807926829268,3.451240577634799,212,1770,2084.7191687154814
23,_rur,25.320342937182655,26.020487046203524,212,1770,6071.952711495956
23,_urb,27.48395584045584,16.926782727671196,212,1770,4465.398281888578
24,_rur,48.0674995215311,46.830875476247776,25,1770,2450.6432390884956
24,_urb,45.0123342776204,38.57173198310105,25,1770,2278.5777496479386
