BCU,tec,urb_rur,year,scenario,unit,value
8,grid_new,urban,2020,baseline,GWh,0.0
8,sa_pv,rural,2020,baseline,GWh,0.0
8,sa_pv,urban,2020,baseline,GWh,0.0
8,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
8,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
8,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
8,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
8,mg_hydro,rural,2020,baseline,GWh,0.0
8,mg_hydro,urban,2020,baseline,GWh,0.0
8,unelectrified,rural,2020,baseline,GWh,125.4
8,unelectrified,urban,2020,baseline,GWh,0.0
9,grid_existing,rural,2020,baseline,GWh,48.39
9,grid_existing,urban,2020,baseline,GWh,97.64
9,grid_new,rural,2020,baseline,GWh,0.0
9,grid_new,urban,2020,baseline,GWh,0.0
9,sa_pv,rural,2020,baseline,GWh,0.0
9,sa_pv,urban,2020,baseline,GWh,0.0
9,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
9,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
9,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
9,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
9,mg_hydro,rural,2020,baseline,GWh,0.0
9,mg_hydro,urban,2020,baseline,GWh,0.0
9,unelectrified,rural,2020,baseline,GWh,157.97
9,unelectrified,urban,2020,baseline,GWh,0.0
10,grid_existing,rural,2020,baseline,GWh,2.17
10,grid_existing,urban,2020,baseline,GWh,0.0
10,grid_new,rural,2020,baseline,GWh,0.0
10,grid_new,urban,2020,baseline,GWh,0.0
10,sa_pv,rural,2020,baseline,GWh,0.0
10,sa_pv,urban,2020,baseline,GWh,0.0
10,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
10,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
10,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
10,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
10,mg_hydro,rural,2020,baseline,GWh,0.0
10,mg_hydro,urban,2020,baseline,GWh,0.0
10,unelectrified,rural,2020,baseline,GWh,6.95
10,unelectrified,urban,2020,baseline,GWh,0.0
11,grid_existing,rural,2020,baseline,GWh,56.14
11,grid_existing,urban,2020,baseline,GWh,1292.6
11,grid_new,rural,2020,baseline,GWh,0.0
11,grid_new,urban,2020,baseline,GWh,0.0
11,sa_pv,rural,2020,baseline,GWh,0.0
11,sa_pv,urban,2020,baseline,GWh,0.0
11,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
11,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
11,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
11,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
11,mg_hydro,rural,2020,baseline,GWh,0.0
11,mg_hydro,urban,2020,baseline,GWh,0.0
11,unelectrified,rural,2020,baseline,GWh,240.56
11,unelectrified,urban,2020,baseline,GWh,0.0
12,grid_existing,rural,2020,baseline,GWh,0.01
12,grid_existing,urban,2020,baseline,GWh,5.42
12,grid_new,rural,2020,baseline,GWh,0.0
12,grid_new,urban,2020,baseline,GWh,0.0
12,sa_pv,rural,2020,baseline,GWh,0.0
12,sa_pv,urban,2020,baseline,GWh,0.0
12,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
12,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
12,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
12,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
12,mg_hydro,rural,2020,baseline,GWh,0.0
12,mg_hydro,urban,2020,baseline,GWh,0.0
12,unelectrified,rural,2020,baseline,GWh,4.16
12,unelectrified,urban,2020,baseline,GWh,0.0
13,grid_existing,rural,2020,baseline,GWh,14.74
13,grid_existing,urban,2020,baseline,GWh,65.97
13,grid_new,rural,2020,baseline,GWh,0.0
13,grid_new,urban,2020,baseline,GWh,0.0
13,sa_pv,rural,2020,baseline,GWh,0.0
13,sa_pv,urban,2020,baseline,GWh,0.0
13,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
13,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
13,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
13,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
13,mg_hydro,rural,2020,baseline,GWh,0.0
13,mg_hydro,urban,2020,baseline,GWh,0.0
13,unelectrified,rural,2020,baseline,GWh,39.19
13,unelectrified,urban,2020,baseline,GWh,0.0
14,grid_existing,rural,2020,baseline,GWh,0.0
14,grid_existing,urban,2020,baseline,GWh,5.44
14,grid_new,rural,2020,baseline,GWh,0.0
14,grid_new,urban,2020,baseline,GWh,0.0
14,sa_pv,rural,2020,baseline,GWh,0.0
14,sa_pv,urban,2020,baseline,GWh,0.0
14,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
14,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
14,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
14,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
14,mg_hydro,rural,2020,baseline,GWh,0.0
14,mg_hydro,urban,2020,baseline,GWh,0.0
14,unelectrified,rural,2020,baseline,GWh,19.35
14,unelectrified,urban,2020,baseline,GWh,0.0
15,grid_existing,rural,2020,baseline,GWh,144.36
15,grid_existing,urban,2020,baseline,GWh,218.42
15,grid_new,rural,2020,baseline,GWh,0.0
15,grid_new,urban,2020,baseline,GWh,0.0
15,sa_pv,rural,2020,baseline,GWh,0.0
15,sa_pv,urban,2020,baseline,GWh,0.0
15,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
15,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
15,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
15,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
15,mg_hydro,rural,2020,baseline,GWh,0.0
15,mg_hydro,urban,2020,baseline,GWh,0.0
15,unelectrified,rural,2020,baseline,GWh,3269.08
15,unelectrified,urban,2020,baseline,GWh,0.0
16,grid_existing,rural,2020,baseline,GWh,70.65
16,grid_existing,urban,2020,baseline,GWh,112.26
16,grid_new,rural,2020,baseline,GWh,0.0
16,grid_new,urban,2020,baseline,GWh,0.0
16,sa_pv,rural,2020,baseline,GWh,0.0
16,sa_pv,urban,2020,baseline,GWh,0.0
16,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
16,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
16,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
16,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
16,mg_hydro,rural,2020,baseline,GWh,0.0
16,mg_hydro,urban,2020,baseline,GWh,0.0
16,unelectrified,rural,2020,baseline,GWh,2816.24
16,unelectrified,urban,2020,baseline,GWh,2.55
17,grid_existing,rural,2020,baseline,GWh,21.82
17,grid_existing,urban,2020,baseline,GWh,83.81
17,grid_new,rural,2020,baseline,GWh,0.0
17,grid_new,urban,2020,baseline,GWh,0.0
17,sa_pv,rural,2020,baseline,GWh,0.0
17,sa_pv,urban,2020,baseline,GWh,0.0
17,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
17,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
17,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
17,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
17,mg_hydro,rural,2020,baseline,GWh,0.0
17,mg_hydro,urban,2020,baseline,GWh,0.0
17,unelectrified,rural,2020,baseline,GWh,149.08
17,unelectrified,urban,2020,baseline,GWh,2.8
18,grid_existing,rural,2020,baseline,GWh,2.13
18,grid_existing,urban,2020,baseline,GWh,26.22
18,grid_new,rural,2020,baseline,GWh,0.0
18,grid_new,urban,2020,baseline,GWh,0.0
18,sa_pv,rural,2020,baseline,GWh,0.0
18,sa_pv,urban,2020,baseline,GWh,0.0
18,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
18,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
18,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
18,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
18,mg_hydro,rural,2020,baseline,GWh,0.0
18,mg_hydro,urban,2020,baseline,GWh,0.0
18,unelectrified,rural,2020,baseline,GWh,24.58
18,unelectrified,urban,2020,baseline,GWh,0.0
19,grid_existing,rural,2020,baseline,GWh,0.44
19,grid_existing,urban,2020,baseline,GWh,0.0
19,grid_new,rural,2020,baseline,GWh,0.0
19,grid_new,urban,2020,baseline,GWh,0.0
19,sa_pv,rural,2020,baseline,GWh,0.0
19,sa_pv,urban,2020,baseline,GWh,0.0
19,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
19,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
19,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
19,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
19,mg_hydro,rural,2020,baseline,GWh,0.0
19,mg_hydro,urban,2020,baseline,GWh,0.0
19,unelectrified,rural,2020,baseline,GWh,7.8
19,unelectrified,urban,2020,baseline,GWh,0.0
20,grid_existing,rural,2020,baseline,GWh,13.87
20,grid_existing,urban,2020,baseline,GWh,91.79
20,grid_new,rural,2020,baseline,GWh,0.0
20,grid_new,urban,2020,baseline,GWh,0.0
20,sa_pv,rural,2020,baseline,GWh,0.0
20,sa_pv,urban,2020,baseline,GWh,0.0
20,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
20,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
20,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
20,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
20,mg_hydro,rural,2020,baseline,GWh,0.0
20,mg_hydro,urban,2020,baseline,GWh,0.0
20,unelectrified,rural,2020,baseline,GWh,153.52
20,unelectrified,urban,2020,baseline,GWh,0.0
21,grid_existing,rural,2020,baseline,GWh,0.0
21,grid_existing,urban,2020,baseline,GWh,0.0
21,grid_new,rural,2020,baseline,GWh,0.0
21,grid_new,urban,2020,baseline,GWh,0.0
21,sa_pv,rural,2020,baseline,GWh,0.0
21,sa_pv,urban,2020,baseline,GWh,0.0
21,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
21,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
21,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
21,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
21,mg_hydro,rural,2020,baseline,GWh,0.0
21,mg_hydro,urban,2020,baseline,GWh,0.0
21,unelectrified,rural,2020,baseline,GWh,5.86
21,unelectrified,urban,2020,baseline,GWh,0.0
22,grid_existing,rural,2020,baseline,GWh,50.81
22,grid_existing,urban,2020,baseline,GWh,117.4
22,grid_new,rural,2020,baseline,GWh,0.0
22,grid_new,urban,2020,baseline,GWh,0.0
22,sa_pv,rural,2020,baseline,GWh,0.0
22,sa_pv,urban,2020,baseline,GWh,0.0
22,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
22,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
22,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
22,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
22,mg_hydro,rural,2020,baseline,GWh,0.0
22,mg_hydro,urban,2020,baseline,GWh,0.0
22,unelectrified,rural,2020,baseline,GWh,209.37
22,unelectrified,urban,2020,baseline,GWh,0.0
23,grid_existing,rural,2020,baseline,GWh,27.98
23,grid_existing,urban,2020,baseline,GWh,130.01
23,grid_new,rural,2020,baseline,GWh,0.0
23,grid_new,urban,2020,baseline,GWh,0.0
23,sa_pv,rural,2020,baseline,GWh,0.0
23,sa_pv,urban,2020,baseline,GWh,0.0
23,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
23,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
23,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
23,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
23,mg_hydro,rural,2020,baseline,GWh,0.0
23,mg_hydro,urban,2020,baseline,GWh,0.0
23,unelectrified,rural,2020,baseline,GWh,102.03
23,unelectrified,urban,2020,baseline,GWh,0.0
24,grid_existing,rural,2020,baseline,GWh,1.24
24,grid_existing,urban,2020,baseline,GWh,0.0
24,grid_new,rural,2020,baseline,GWh,0.0
24,grid_new,urban,2020,baseline,GWh,0.0
24,sa_pv,rural,2020,baseline,GWh,0.0
24,sa_pv,urban,2020,baseline,GWh,0.0
24,mg_pv_hybrid,rural,2020,baseline,GWh,0.0
24,mg_pv_hybrid,urban,2020,baseline,GWh,0.0
24,mg_wind_hybrid,rural,2020,baseline,GWh,0.0
24,mg_wind_hybrid,urban,2020,baseline,GWh,0.0
24,mg_hydro,rural,2020,baseline,GWh,0.0
24,mg_hydro,urban,2020,baseline,GWh,0.0
24,unelectrified,rural,2020,baseline,GWh,2.01
24,unelectrified,urban,2020,baseline,GWh,0.0
1,grid_existing,rural,2030,baseline,GWh,2.3
1,grid_existing,urban,2030,baseline,GWh,16.48
1,grid_new,rural,2030,baseline,GWh,36.29
1,grid_new,urban,2030,baseline,GWh,0.0
1,sa_pv,rural,2030,baseline,GWh,0.02
1,sa_pv,urban,2030,baseline,GWh,0.0
1,mg_pv_hybrid,rural,2030,baseline,GWh,0.14
1,mg_pv_hybrid,urban,2030,baseline,GWh,0.0
1,mg_wind_hybrid,rural,2030,baseline,GWh,0.0
