MESSAGE_region,MESSAGE_sector,MESSAGE_fuel,Value,unit
R12_CHN,industry_residual,dheat,29.70875634,GWa
R12_CHN,industry_residual,electr,188.3224985,GWa
R12_CHN,industry_residual,ethanol,0,GWa
R12_CHN,industry_residual,foil,29.80352676,GWa
R12_CHN,industry_residual,gas,51.71192506,GWa
R12_CHN,industry_residual,geothermal,0.411135635,GWa
R12_CHN,industry_residual,hydro,0,GWa
R12_CHN,industry_residual,loil,16.96781742,GWa
R12_CHN,industry_residual,nuclear,0,GWa
R12_CHN,industry_residual,other,0,GWa
R12_CHN,industry_residual,solar_pv,0,GWa
R12_CHN,industry_residual,solar_thermal,0,GWa
R12_CHN,industry_residual,tidal,0,GWa
R12_CHN,industry_residual,total,440.2571959,GWa
R12_CHN,industry_residual,wind,0,GWa
R12_EEU,cement,biogas,0.000701801,GWa
R12_EEU,cement,biomass,0.339961622,GWa
R12_EEU,cement,coal,3.50334389,GWa
R12_EEU,cement,crude,0.027960825,GWa
R12_EEU,cement,dheat,0.061984007,GWa
R12_EEU,cement,electr,1.712026059,GWa
R12_EEU,cement,ethanol,5.82E-05,GWa
R12_EEU,cement,foil,1.243911362,GWa
R12_EEU,cement,gas,3.271089324,GWa
R12_EEU,cement,geothermal,0.000306915,GWa
R12_EEU,cement,hydro,0,GWa
R12_EEU,cement,loil,0.2347564,GWa
R12_EEU,cement,nuclear,0,GWa
R12_EEU,cement,other,0,GWa
R12_EEU,cement,solar_pv,0,GWa
R12_EEU,cement,solar_thermal,0,GWa
R12_EEU,cement,tidal,0,GWa
R12_EEU,cement,total,10.39609984,GWa
R12_EEU,cement,wind,0,GWa
R12_EEU,industry_residual,biogas,0.055172073,GWa
R12_EEU,industry_residual,biomass,5.366515741,GWa
R12_EEU,industry_residual,coal,2.114876204,GWa
R12_EEU,industry_residual,crude,0.00381284,GWa
R12_EEU,industry_residual,dheat,1.645026464,GWa
R12_EEU,industry_residual,electr,11.96599494,GWa
R12_EEU,industry_residual,ethanol,7.93E-06,GWa
R12_EEU,industry_residual,foil,0.423472694,GWa
R12_EEU,industry_residual,gas,8.505989817,GWa
R12_EEU,industry_residual,geothermal,0.001759257,GWa
R12_EEU,industry_residual,hydro,0,GWa
R12_EEU,industry_residual,loil,2.163857283,GWa
R12_EEU,industry_residual,nuclear,0,GWa
R12_EEU,industry_residual,other,0,GWa
R12_EEU,industry_residual,solar_pv,0,GWa
R12_EEU,industry_residual,solar_thermal,0.002168674,GWa
R12_EEU,industry_residual,tidal,0,GWa
R12_EEU,industry_residual,total,32.2486557,GWa
R12_EEU,industry_residual,wind,0,GWa
R12_FSU,cement,biogas,0,GWa
R12_FSU,cement,biomass,0.021024178,GWa
R12_FSU,cement,coal,4.030999503,GWa
R12_FSU,cement,crude,1.17E-05,GWa
R12_FSU,cement,dheat,2.68523877,GWa
R12_FSU,cement,electr,2.504975804,GWa
R12_FSU,cement,ethanol,0,GWa
R12_FSU,cement,foil,0.307656104,GWa
R12_FSU,cement,gas,12.25619743,GWa
R12_FSU,cement,geothermal,0,GWa
R12_FSU,cement,hydro,0,GWa
R12_FSU,cement,loil,0.712282294,GWa
R12_FSU,cement,nuclear,0,GWa
R12_FSU,cement,other,0,GWa
R12_FSU,cement,solar_pv,0,GWa
R12_FSU,cement,solar_thermal,0,GWa
R12_FSU,cement,tidal,0,GWa
R12_FSU,cement,total,22.5183858,GWa
R12_FSU,cement,wind,0,GWa
R12_FSU,industry_residual,biogas,0.000158517,GWa
R12_FSU,industry_residual,biomass,0.415253476,GWa
R12_FSU,industry_residual,coal,3.456436307,GWa
R12_FSU,industry_residual,crude,0.008844825,GWa
R12_FSU,industry_residual,dheat,25.90210659,GWa
R12_FSU,industry_residual,electr,20.48931525,GWa
R12_FSU,industry_residual,ethanol,0,GWa
R12_FSU,industry_residual,foil,4.390489945,GWa
R12_FSU,industry_residual,gas,21.88590387,GWa
R12_FSU,industry_residual,geothermal,0,GWa
R12_FSU,industry_residual,hydro,0,GWa
