node,year,value,unit
R12_AFR,2015,2.927,-
R12_AFR,2020,2.788,-
R12_AFR,2025,2.6845,-
R12_AFR,2030,2.581,-
R12_AFR,2035,2.492,-
R12_AFR,2040,2.403,-
R12_AFR,2045,2.2715,-
R12_AFR,2050,2.14,-
R12_AFR,2055,1.9685,-
R12_AFR,2060,1.797,-
R12_AFR,2070,1.493,-
R12_AFR,2080,1.287,-
R12_AFR,2090,1.156,-
R12_AFR,2100,1.053,-
R12_AFR,2110,1.053,-
R12_RCPA,2015,2.1525,-
R12_RCPA,2020,1.651,-
R12_RCPA,2025,1.475,-
R12_RCPA,2030,1.299,-
R12_RCPA,2035,1.243,-
R12_RCPA,2040,1.187,-
R12_RCPA,2045,1.152,-
R12_RCPA,2050,1.117,-
R12_RCPA,2055,1.089,-
R12_RCPA,2060,1.061,-
R12_RCPA,2070,1.006,-
R12_RCPA,2080,0.951,-
R12_RCPA,2090,0.895,-
R12_RCPA,2100,0.862,-
R12_RCPA,2110,0.862,-
R12_EEU,2015,1.4875,-
R12_EEU,2020,1.387,-
R12_EEU,2025,1.321,-
R12_EEU,2030,1.255,-
R12_EEU,2035,1.2105,-
R12_EEU,2040,1.166,-
R12_EEU,2045,1.133,-
R12_EEU,2050,1.1,-
R12_EEU,2055,1.0685,-
R12_EEU,2060,1.037,-
R12_EEU,2070,0.979,-
R12_EEU,2080,0.93,-
R12_EEU,2090,0.889,-
R12_EEU,2100,0.871,-
R12_EEU,2110,0.871,-
R12_FSU,2015,1.697,-
R12_FSU,2020,1.512,-
R12_FSU,2025,1.417,-
R12_FSU,2030,1.322,-
R12_FSU,2035,1.2715,-
R12_FSU,2040,1.221,-
R12_FSU,2045,1.1915,-
R12_FSU,2050,1.162,-
R12_FSU,2055,1.135,-
R12_FSU,2060,1.108,-
R12_FSU,2070,1.048,-
R12_FSU,2080,0.995,-
R12_FSU,2090,0.941,-
R12_FSU,2100,0.895,-
R12_FSU,2110,0.845,-
R12_LAM,2015,1.8765,-
R12_LAM,2020,1.702,-
R12_LAM,2025,1.594,-
R12_LAM,2030,1.486,-
