node_loc,year_act,technology,relation,node_rel,year_rel,mode,value,unit,value_in,commodity,emi_factor
R12_AFR,2020,biomass_i,BCA_Emission,R12_AFR,2020,M1,0.3845053571428571,???,1.7857142857142856,biomass,0.215323
R12_AFR,2020,biomass_i,CH4_Emission,R12_AFR,2020,M1,1.4285714285714286,???,1.7857142857142856,biomass,0.8
R12_AFR,2020,biomass_i,CO_Emission,R12_AFR,2020,M1,16.894285714285715,???,1.7857142857142856,biomass,9.4608
R12_AFR,2020,biomass_i,N2O_Emission,R12_AFR,2020,M1,0.17857142857142858,???,1.7857142857142856,biomass,0.1
R12_AFR,2020,biomass_i,NH3_Emission,R12_AFR,2020,M1,0.28157142857142853,???,1.7857142857142856,biomass,0.15768
R12_AFR,2020,biomass_i,NOx_Emission,R12_AFR,2020,M1,7.320857142857142,???,1.7857142857142856,biomass,4.09968
R12_AFR,2020,biomass_i,OCA_Emission,R12_AFR,2020,M1,0.56285,???,1.7857142857142856,biomass,0.315196
R12_AFR,2020,biomass_i,SO2_Emission,R12_AFR,2020,M1,1.4078571428571427,???,1.7857142857142856,biomass,0.7884
R12_AFR,2020,biomass_i,VOC_Emission,R12_AFR,2020,M1,3.0829821428571424,???,1.7857142857142856,biomass,1.72647
R12_AFR,2020,coal_i,BCA_Emission,R12_AFR,2020,M1,0.004401851851851852,???,1.8518518518518516,coal,0.002377
R12_AFR,2020,coal_i,CH4_Emission,R12_AFR,2020,M1,0.5,???,1.8518518518518516,coal,0.27
R12_AFR,2020,coal_i,CO_Emission,R12_AFR,2020,M1,0.9307018518518517,???,1.8518518518518516,coal,0.502579
R12_AFR,2020,coal_i,N2O_Emission,R12_AFR,2020,M1,0.0685185185185185,???,1.8518518518518516,coal,0.037
R12_AFR,2020,coal_i,NH3_Emission,R12_AFR,2020,M1,0.00048703703703703696,???,1.8518518518518516,coal,0.000263
R12_AFR,2020,coal_i,NOx_Emission,R12_AFR,2020,M1,9.254777777777777,???,1.8518518518518516,coal,4.99758
R12_AFR,2020,coal_i,OCA_Emission,R12_AFR,2020,M1,0.0026370370370370367,???,1.8518518518518516,coal,0.001424
R12_AFR,2020,coal_i,SO2_Emission,R12_AFR,2020,M1,38.55814814814814,???,1.8518518518518516,coal,20.8214
R12_AFR,2020,coal_i,VOC_Emission,R12_AFR,2020,M1,0.4876814814814815,???,1.8518518518518516,coal,0.263348
R12_AFR,2020,eth_i,BCA_Emission,R12_AFR,2020,M1,1.057420253164557,???,1.2658227848101264,ethanol,0.835362
R12_AFR,2020,eth_i,CO_Emission,R12_AFR,2020,M1,7.395734177215188,???,1.2658227848101264,ethanol,5.84263
R12_AFR,2020,eth_i,NH3_Emission,R12_AFR,2020,M1,0.00861518987341772,???,1.2658227848101264,ethanol,0.006806
R12_AFR,2020,eth_i,NOx_Emission,R12_AFR,2020,M1,22.679746835443037,???,1.2658227848101264,ethanol,17.917
R12_AFR,2020,eth_i,OCA_Emission,R12_AFR,2020,M1,0.4799405063291139,???,1.2658227848101264,ethanol,0.379153
R12_AFR,2020,eth_i,VOC_Emission,R12_AFR,2020,M1,3.4293417721518984,???,1.2658227848101264,ethanol,2.70918
R12_AFR,2020,foil_i,BCA_Emission,R12_AFR,2020,M1,1.3259714285714286,???,1.5873015873015872,fueloil,0.835362
R12_AFR,2020,foil_i,CH4_Emission,R12_AFR,2020,M1,0.8571428571428572,???,1.5873015873015872,fueloil,0.54
R12_AFR,2020,foil_i,CO_Emission,R12_AFR,2020,M1,9.274015873015871,???,1.5873015873015872,fueloil,5.84263
R12_AFR,2020,foil_i,N2O_Emission,R12_AFR,2020,M1,0.019047619047619046,???,1.5873015873015872,fueloil,0.012
R12_AFR,2020,foil_i,NH3_Emission,R12_AFR,2020,M1,0.010803174603174603,???,1.5873015873015872,fueloil,0.006806
R12_AFR,2020,foil_i,NOx_Emission,R12_AFR,2020,M1,28.43968253968254,???,1.5873015873015872,fueloil,17.917
R12_AFR,2020,foil_i,OCA_Emission,R12_AFR,2020,M1,0.6018301587301588,???,1.5873015873015872,fueloil,0.3791530000000001
R12_AFR,2020,foil_i,SO2_Emission,R12_AFR,2020,M1,3.058222222222222,???,1.5873015873015872,fueloil,1.9266800000000002
R12_AFR,2020,foil_i,VOC_Emission,R12_AFR,2020,M1,4.300285714285714,???,1.5873015873015872,fueloil,2.70918
