node_share,value
R12_AFR,0.199
R12_PAS,0.136
R12_SAS,0.187
R12_LAM,0.0613
R12_MEA,0.02
R12_CHN,0.4076
R12_EEU,0.0842
R12_FSU,0.0215
R12_PAO,0.1432
R12_WEU,0.0584
R12_RCPA,0.7242
R12_NAM,0.0415
