SSP,RCP,year,iso3,variable,pop,share_acc,pop_no_acc,pop_acc,unit
SSP1,rcp26,2025,ARM,Improved sanitation services,2730641,0.941367759,163667,2570537,people
SSP1,rcp26,2025,ARM,Improved water services,2730641,1.001126827,486,2733718,people
SSP1,rcp26,2025,AZE,Improved sanitation services,10509710,0.868913993,1410672,9132034,people
SSP1,rcp26,2025,AZE,Improved water services,10572370,0.921901581,844628,9746685,people
SSP1,rcp26,2025,BDI,Improved sanitation services,14362596,0.654057039,4988434,9393957,people
SSP1,rcp26,2025,BDI,Improved water services,14362596,0.881951977,1715271,12667120,people
SSP1,rcp26,2025,BEN,Improved sanitation services,15018400,0.556359327,6689978,8355627,people
SSP1,rcp26,2025,BEN,Improved water services,15018400,0.801169336,3013323,12032282,people
SSP1,rcp26,2025,BFA,Improved sanitation services,25267012,0.680423525,8112203,17192269,people
SSP1,rcp26,2025,BFA,Improved water services,25267012,0.840569977,4065780,21238692,people
SSP1,rcp26,2025,BGD,Improved sanitation services,179653719,0.940138361,11175291,168899353,people
SSP1,rcp26,2025,BGD,Improved water services,179653719,0.996049448,1130656,178943988,people
SSP1,rcp26,2025,BIH,Improved sanitation services,3158874,0.974772109,76736,3079182,people
SSP1,rcp26,2025,BIH,Improved water services,3075574,0.998223399,9001,3070110,people
SSP1,rcp26,2025,BLR,Improved sanitation services,9279791,0.993044073,75972,9215241,people
SSP1,rcp26,2025,BLR,Improved water services,9279791,0.998617554,24251,9266962,people
SSP1,rcp26,2025,BTN,Improved sanitation services,802565,0.822700504,144259,660271,people
SSP1,rcp26,2025,BTN,Improved water services,802565,0.984620401,14308,790222,people
SSP1,rcp26,2025,CAF,Improved sanitation services,6314122,0.338769106,4195924,2139029,people
SSP1,rcp26,2025,CAF,Improved water services,6314122,0.679451727,2044813,4290141,people
SSP1,rcp26,2025,CIV,Improved sanitation services,31144525,0.702883013,9353392,21890958,people
SSP1,rcp26,2025,CIV,Improved water services,31144525,0.891050396,3493008,27751341,people
SSP1,rcp26,2025,CMR,Improved sanitation services,31194757,0.771853722,7179866,24077789,people
SSP1,rcp26,2025,CMR,Improved water services,31194757,0.860321957,4420121,26837534,people
SSP1,rcp26,2025,COD,Improved sanitation services,113807140,0.450558037,62817350,51276722,people
SSP1,rcp26,2025,COD,Improved water services,113807140,0.71116737,33158148,80935924,people
SSP1,rcp26,2025,COG,Improved sanitation services,6500388,0.703739559,1945158,4574580,people
SSP1,rcp26,2025,COG,Improved water services,6500388,0.904346278,641136,5878602,people
SSP1,rcp26,2025,COL,Improved sanitation services,53511426,0.986599694,833289,52794357,people
SSP1,rcp26,2025,COL,Improved water services,53511426,0.974411207,1485512,52142133,people
SSP1,rcp26,2025,CRI,Improved sanitation services,5319623,0.989058142,66362,5261416,people
SSP1,rcp26,2025,CRI,Improved water services,5319623,0.999665697,9934,5317845,people
SSP1,rcp26,2025,DOM,Improved sanitation services,11772926,0.981136929,244369,11550852,people
SSP1,rcp26,2025,DOM,Improved water services,11772926,0.993575667,97928,11697293,people
SSP1,rcp26,2025,DZA,Improved sanitation services,48301909,0.987486777,715408,47697496,people
SSP1,rcp26,2025,DZA,Improved water services,48301909,0.996914339,260039,48152866,people
SSP1,rcp26,2025,EGY,Improved sanitation services,119894216,0.96351653,4573293,115520059,people
SSP1,rcp26,2025,EGY,Improved water services,119894216,1.001576904,10074,120083278,people
SSP1,rcp26,2025,ETH,Improved sanitation services,136861737,0.248806645,103131434,34052110,people
SSP1,rcp26,2025,ETH,Improved water services,136861737,0.731522186,37066147,100117397,people
SSP1,rcp26,2025,GAB,Improved sanitation services,2621400,0.794120675,546472,2081708,people
SSP1,rcp26,2025,GAB,Improved water services,2621400,0.964097409,100895,2527285,people
SSP1,rcp26,2025,GEO,Improved sanitation services,3598548,0.966428453,126912,3477739,people
SSP1,rcp26,2025,GEO,Improved water services,3598548,0.986046054,56317,3548334,people
SSP1,rcp26,2025,GHA,Improved sanitation services,36628719,0.834931768,6142719,30582481,people
SSP1,rcp26,2025,GHA,Improved water services,36628719,0.970037611,1193965,35531235,people
SSP1,rcp26,2025,GIN,Improved sanitation services,15267623,0.669615505,5069917,10223437,people
SSP1,rcp26,2025,GIN,Improved water services,15267623,0.862193267,2129712,13163642,people
SSP1,rcp26,2025,GMB,Improved sanitation services,2982790,0.776196708,675397,2315232,people
SSP1,rcp26,2025,GMB,Improved water services,2982790,0.976929008,76655,2913974,people
SSP1,rcp26,2025,GTM,Improved sanitation services,19067189,0.866118973,2587013,16514454,people
SSP1,rcp26,2025,GTM,Improved water services,19067189,0.990266053,219877,18881590,people
SSP1,rcp26,2025,HND,Improved sanitation services,11149626,0.914684445,970957,10198389,people
SSP1,rcp26,2025,HND,Improved water services,11149626,0.989178817,140373,11028974,people
SSP1,rcp26,2025,HTI,Improved sanitation services,12277548,0.768306131,2893208,9432915,people
SSP1,rcp26,2025,HTI,Improved water services,12277548,0.896080463,1324452,11001671,people
SSP1,rcp26,2025,IDN,Improved sanitation services,284510709,0.956733026,12767500,272200791,people
SSP1,rcp26,2025,IDN,Improved water services,284510709,0.965350926,10315615,274652676,people
SSP1,rcp26,2025,IND,Improved sanitation services,1467307859,0.822303858,263955163,1206572914,people
SSP1,rcp26,2025,IND,Improved water services,1467307859,0.974676024,40378287,1430149790,people
SSP1,rcp26,2025,IRQ,Improved sanitation services,49097050,0.992955379,463110,48751180,people
SSP1,rcp26,2025,IRQ,Improved water services,49097050,1.00108036,64197,49150093,people
SSP1,rcp26,2025,JAM,Improved sanitation services,2842340,0.99607075,15072,2831172,people
SSP1,rcp26,2025,JAM,Improved water services,2842340,0.987394513,39732,2806511,people
SSP1,rcp26,2025,JOR,Improved sanitation services,12307598,1.000993647,5676,12319827,people
SSP1,rcp26,2025,JOR,Improved water services,12307598,1.000342289,13693,12311811,people
SSP1,rcp26,2025,KAZ,Improved sanitation services,20251800,1.000814543,14722,20268296,people
SSP1,rcp26,2025,KAZ,Improved water services,20151035,1.000616029,47971,20163449,people
SSP1,rcp26,2025,KEN,Improved sanitation services,59102647,0.697883829,17962489,41246782,people
SSP1,rcp26,2025,KEN,Improved water services,59102647,0.829043608,10210599,48998672,people
SSP1,rcp26,2025,KHM,Improved sanitation services,17670412,0.760846882,4267154,13444478,people
SSP1,rcp26,2025,KHM,Improved water services,17670412,0.852983178,2639067,15072564,people
SSP1,rcp26,2025,LAO,Improved sanitation services,7977903,0.876263499,1000294,6990745,people
SSP1,rcp26,2025,LAO,Improved water services,7977903,0.926186691,602012,7389028,people
SSP1,rcp26,2025,LSO,Improved sanitation services,2413194,0.852141496,363321,2056383,people
SSP1,rcp26,2025,LSO,Improved water services,2413194,0.924298667,189192,2230512,people
SSP1,rcp26,2025,MDA,Improved sanitation services,3232965,0.863157538,449894,2790558,people
SSP1,rcp26,2025,MDA,Improved water services,3232965,0.91774769,273406,2967046,people
SSP1,rcp26,2025,MEX,Improved sanitation services,131807739,0.994885826,945082,131133651,people
SSP1,rcp26,2025,MEX,Improved water services,131807739,0.997892612,548765,131529969,people
SSP1,rcp26,2025,MKD,Improved sanitation services,2076154,0.984237682,35775,2043429,people
SSP1,rcp26,2025,MKD,Improved water services,2076154,0.996670629,9962,2069242,people
SSP1,rcp26,2025,MLI,Improved sanitation services,25729407,0.750270207,6486332,19304008,people
SSP1,rcp26,2025,MLI,Improved water services,25729407,0.838731702,4210270,21580069,people
SSP1,rcp26,2025,MNG,Improved sanitation services,3621541,0.956049353,164888,3462372,people
SSP1,rcp26,2025,MNG,Improved water services,3621541,0.932086089,251672,3375588,people
SSP1,rcp26,2025,MOZ,Improved sanitation services,36871970,0.574369818,15785451,21178147,people
SSP1,rcp26,2025,MOZ,Improved water services,36871970,0.800391395,7451590,29512008,people
SSP1,rcp26,2025,MRT,Improved sanitation services,5243352,0.647098512,1862528,3392965,people
SSP1,rcp26,2025,MRT,Improved water services,5243352,0.896425969,555216,4700277,people
SSP1,rcp26,2025,MWI,Improved sanitation services,22844894,0.454920132,12514348,10392602,people
SSP1,rcp26,2025,MWI,Improved water services,22844894,0.897594463,2401500,20505450,people
SSP1,rcp26,2025,NAM,Improved sanitation services,2768704,0.699395795,842057,1936420,people
SSP1,rcp26,2025,NAM,Improved water services,2768704,0.935209962,189157,2589320,people
SSP1,rcp26,2025,NER,Improved sanitation services,30517253,0.327436198,20573057,9992453,people
SSP1,rcp26,2025,NER,Improved water services,30517253,0.71915629,8618836,21946674,people
SSP1,rcp26,2025,NGA,Improved sanitation services,242612983,0.715894863,69354512,173685388,people
SSP1,rcp26,2025,NGA,Improved water services,242612983,0.849916382,36839151,206200749,people
SSP1,rcp26,2025,NIC,Improved sanitation services,7160181,0.827747495,1245479,5926822,people
SSP1,rcp26,2025,NIC,Improved water services,7160181,0.899915449,728744,6443557,people
SSP1,rcp26,2025,NPL,Improved sanitation services,31998077,0.97066018,1014264,31059259,people
SSP1,rcp26,2025,NPL,Improved water services,31998077,0.986753943,499295,31574229,people
SSP1,rcp26,2025,PAK,Improved sanitation services,257816442,0.904892642,25119820,233296201,people
SSP1,rcp26,2025,PAK,Improved water services,257816442,0.976957031,6540436,251875586,people
SSP1,rcp26,2025,PAN,Improved sanitation services,4662913,0.96160089,190072,4483861,people
SSP1,rcp26,2025,PAN,Improved water services,4662913,0.996357808,28004,4645930,people
SSP1,rcp26,2025,PER,Improved sanitation services,35380903,0.924982076,2716178,32726701,people
SSP1,rcp26,2025,PER,Improved water services,35380903,0.965695728,1275692,34167187,people
SSP1,rcp26,2025,PHL,Improved sanitation services,123399210,0.979594002,2720448,120881126,people
SSP1,rcp26,2025,PHL,Improved water services,123399210,0.990646735,1356550,122245025,people
SSP1,rcp26,2025,PRY,Improved sanitation services,7174618,0.948767282,381733,6807043,people
SSP1,rcp26,2025,PRY,Improved water services,7174618,0.988061838,99809,7088966,people
SSP1,rcp26,2025,RWA,Improved sanitation services,15266607,0.921893696,1213448,14074189,people
SSP1,rcp26,2025,RWA,Improved water services,15266607,0.871999638,1975161,13312476,people
SSP1,rcp26,2025,SDN,Improved sanitation services,50036705,0.533785465,23446693,26708866,people
SSP1,rcp26,2025,SDN,Improved water services,52470415,0.871194698,6883103,45711947,people
SSP1,rcp26,2025,SEN,Improved sanitation services,19260199,0.898230213,1991368,17300093,people
SSP1,rcp26,2025,SEN,Improved water services,19260199,0.93720175,1240768,18050692,people
SSP1,rcp26,2025,SLV,Improved sanitation services,6402117,0.98864092,88515,6329395,people
SSP1,rcp26,2025,SLV,Improved water services,6402117,0.987515247,95721,6322188,people
SSP1,rcp26,2025,SUR,Improved sanitation services,644565,0.978132742,15802,630470,people
SSP1,rcp26,2025,SUR,Improved water services,644565,0.990953295,7538,638734,people
SSP1,rcp26,2025,SWZ,Improved sanitation services,1255388,0.928880062,92152,1166105,people
SSP1,rcp26,2025,SWZ,Improved water services,1255388,0.888485465,142862,1115394,people
SSP1,rcp26,2025,TCD,Improved sanitation services,20234832,0.280285307,14600293,5671526,people
SSP1,rcp26,2025,TCD,Improved water services,20234832,0.675497262,6603245,13668574,people
SSP1,rcp26,2025,TGO,Improved sanitation services,9770237,0.6328073,3599591,6182677,people
SSP1,rcp26,2025,TGO,Improved water services,9770237,0.844900295,1527392,8254876,people
SSP1,rcp26,2025,THA,Improved sanitation services,72265496,0.999079005,147146,72198940,people
SSP1,rcp26,2025,THA,Improved water services,72265496,0.999284192,132318,72213768,people
SSP1,rcp26,2025,TKM,Improved sanitation services,6638351,0.996802199,36588,6617123,people
SSP1,rcp26,2025,TKM,Improved water services,6638351,1.002206963,709,6653002,people
SSP1,rcp26,2025,TUN,Improved sanitation services,12832783,0.993778602,99016,12752945,people
SSP1,rcp26,2025,TUN,Improved water services,12832783,0.985684849,202881,12649080,people
SSP1,rcp26,2025,TUR,Improved sanitation services,88523702,0.985271217,1473559,87219856,people
SSP1,rcp26,2025,TUR,Improved water services,88523702,0.996647925,466451,88226964,people
SSP1,rcp26,2025,TZA,Improved sanitation services,74349949,0.734531451,19856675,54612376,people
SSP1,rcp26,2025,TZA,Improved water services,74349949,0.745377818,19050248,55418803,people
SSP1,rcp26,2025,UGA,Improved sanitation services,53951351,0.612751074,21029612,33058748,people
SSP1,rcp26,2025,UGA,Improved water services,53951351,0.823553298,9656547,44431813,people
SSP1,rcp26,2025,UKR,Improved sanitation services,32052995,0.993041478,263645,31829954,people
SSP1,rcp26,2025,UKR,Improved water services,32052995,0.996900731,139944,31953654,people
SSP1,rcp26,2025,URY,Improved sanitation services,3398884,0.991903843,32736,3371366,people
SSP1,rcp26,2025,URY,Improved water services,3398884,0.999176603,8017,3396085,people
SSP1,rcp26,2025,VNM,Improved sanitation services,101511811,0.926293489,7722412,94029730,people
SSP1,rcp26,2025,VNM,Improved water services,101511811,0.967914835,3497354,98254788,people
SSP1,rcp26,2025,YEM,Improved sanitation services,30541558,0.718839402,8661163,21954475,people
SSP1,rcp26,2025,YEM,Improved water services,30541558,0.894774978,3287816,27327822,people
SSP1,rcp26,2025,ZAF,Improved sanitation services,62275207,0.938058759,4155537,58417803,people
SSP1,rcp26,2025,ZAF,Improved water services,62275207,0.990035218,918693,61654648,people
SSP1,rcp26,2025,ZMB,Improved sanitation services,22487477,0.710024632,6599584,15966663,people
SSP1,rcp26,2025,ZMB,Improved water services,22487477,0.827443766,3959124,18607123,people
SSP1,rcp26,2025,ZWE,Improved sanitation services,17721945,0.849922639,2706142,15062282,people
SSP1,rcp26,2025,ZWE,Improved water services,17721945,0.873181973,2293942,15474483,people
SSP1,rcp26,2030,ARM,Improved sanitation services,2688658,0.947439809,144827,2547342,people
SSP1,rcp26,2030,ARM,Improved water services,2688658,1.001211046,255,2691914,people
SSP1,rcp26,2030,AZE,Improved sanitation services,10739630,0.879488535,1330731,9445381,people
SSP1,rcp26,2030,AZE,Improved water services,10802290,0.929378842,782250,10039420,people
SSP1,rcp26,2030,BDI,Improved sanitation services,15729595,0.69198094,4866464,10884580,people
SSP1,rcp26,2030,BDI,Improved water services,15729595,0.907187652,1481350,14269694,people
SSP1,rcp26,2030,BEN,Improved sanitation services,16607435,0.604916938,6590729,10046119,people
SSP1,rcp26,2030,BEN,Improved water services,16607435,0.825697991,2924122,13712726,people
SSP1,rcp26,2030,BFA,Improved sanitation services,27712988,0.724608781,7672667,20081074,people
SSP1,rcp26,2030,BFA,Improved water services,27712988,0.865467661,3769047,23984695,people
SSP1,rcp26,2030,BGD,Improved sanitation services,186362613,0.970222356,5978386,180813173,people
SSP1,rcp26,2030,BGD,Improved water services,186362613,0.996923383,1002313,185789247,people
SSP1,rcp26,2030,BIH,Improved sanitation services,3046955,0.976132966,65250,2974233,people
SSP1,rcp26,2030,BIH,Improved water services,2963655,0.998363073,8268,2958804,people
SSP1,rcp26,2030,BLR,Improved sanitation services,9120993,0.993546463,70095,9062130,people
SSP1,rcp26,2030,BLR,Improved water services,9120993,0.998812517,22063,9110162,people
SSP1,rcp26,2030,BTN,Improved sanitation services,822416,0.845222348,129260,695124,people
SSP1,rcp26,2030,BTN,Improved water services,822416,0.986097422,13402,810982,people
SSP1,rcp26,2030,CAF,Improved sanitation services,7073965,0.361928782,4536594,2560272,people
SSP1,rcp26,2030,CAF,Improved water services,7073965,0.706807443,2096934,4999931,people
SSP1,rcp26,2030,CIV,Improved sanitation services,33867999,0.744005797,8775596,25197988,people
SSP1,rcp26,2030,CIV,Improved water services,33867999,0.910891302,3123518,30850066,people
SSP1,rcp26,2030,CMR,Improved sanitation services,34369098,0.797936437,7012667,27424356,people
SSP1,rcp26,2030,CMR,Improved water services,34369098,0.883603991,4068350,30368672,people
SSP1,rcp26,2030,COD,Improved sanitation services,128520035,0.482542869,66821524,62016426,people
SSP1,rcp26,2030,COD,Improved water services,128520035,0.747468781,32773237,96064714,people
