node_loc,technology,year_act,value,unit,mode,time
R12_NAM,oil_tanker_eth,2025,8295.924035099999,Mt-km,NAM-PAO,year
R12_NAM,oil_tanker_eth,2025,222871.61641875,Mt-km,NAM-PAS,year
R12_NAM,oil_tanker_eth,2025,2959898.72871168,Mt-km,NAM-WEU,year
R12_PAO,oil_tanker_eth,2025,221.21257484999998,Mt-km,PAO-AFR,year
R12_PAO,oil_tanker_eth,2025,319024.03285124997,Mt-km,PAO-CHN,year
R12_PAO,oil_tanker_eth,2025,2786.01473241,Mt-km,PAO-FSU,year
R12_PAO,oil_tanker_eth,2025,27929.970091529998,Mt-km,PAO-LAM,year
R12_PAO,oil_tanker_eth,2025,17262.74787507,Mt-km,PAO-MEA,year
R12_PAO,oil_tanker_eth,2025,11088.189930359998,Mt-km,PAO-NAM,year
R12_PAO,oil_tanker_eth,2025,10164863.36867364,Mt-km,PAO-PAS,year
R12_PAO,oil_tanker_eth,2025,6493.47844488,Mt-km,PAO-SAS,year
R12_PAO,oil_tanker_eth,2025,3.0007698,Mt-km,PAO-WEU,year
R12_PAS,oil_tanker_eth,2025,149333.24325042,Mt-km,PAS-AFR,year
R12_PAS,oil_tanker_eth,2025,5730664.5164936995,Mt-km,PAS-CHN,year
R12_PAS,oil_tanker_eth,2025,91166.44010772,Mt-km,PAS-FSU,year
R12_PAS,oil_tanker_eth,2025,39230.862795479996,Mt-km,PAS-LAM,year
R12_PAS,oil_tanker_eth,2025,8218610.7267426,Mt-km,PAS-MEA,year
R12_PAS,oil_tanker_eth,2025,329306.60459294997,Mt-km,PAS-NAM,year
R12_PAS,oil_tanker_eth,2025,10529618.17287126,Mt-km,PAS-PAO,year
R12_PAS,oil_tanker_eth,2025,63612.796255500005,Mt-km,PAS-RCPA,year
R12_PAS,oil_tanker_eth,2025,7073798.0835152995,Mt-km,PAS-SAS,year
R12_PAS,oil_tanker_eth,2025,6479.1775503,Mt-km,PAS-WEU,year
R12_RCPA,oil_tanker_eth,2025,774.140745,Mt-km,RCPA-CHN,year
R12_RCPA,oil_tanker_eth,2025,126.54832614,Mt-km,RCPA-PAO,year
R12_RCPA,oil_tanker_eth,2025,66207.8614824,Mt-km,RCPA-PAS,year
R12_RCPA,oil_tanker_eth,2025,0.8623637099999999,Mt-km,RCPA-SAS,year
R12_SAS,oil_tanker_eth,2025,317447.267568,Mt-km,SAS-AFR,year
R12_SAS,oil_tanker_eth,2025,4424.5776989099995,Mt-km,SAS-CHN,year
R12_SAS,oil_tanker_eth,2025,21.779346599999997,Mt-km,SAS-FSU,year
R12_SAS,oil_tanker_eth,2025,2406.0420301500003,Mt-km,SAS-LAM,year
R12_SAS,oil_tanker_eth,2025,6989314.926975,Mt-km,SAS-MEA,year
R12_SAS,oil_tanker_eth,2025,1179.3478693499999,Mt-km,SAS-NAM,year
R12_SAS,oil_tanker_eth,2025,11283.21234264,Mt-km,SAS-PAO,year
R12_SAS,oil_tanker_eth,2025,2968557.6819455996,Mt-km,SAS-PAS,year
R12_WEU,oil_tanker_eth,2025,3794218.96240464,Mt-km,WEU-AFR,year
R12_WEU,oil_tanker_eth,2025,43.36235208,Mt-km,WEU-CHN,year
R12_WEU,oil_tanker_eth,2025,393937.90848888,Mt-km,WEU-EEU,year
R12_WEU,oil_tanker_eth,2025,2708981.5815673196,Mt-km,WEU-FSU,year
R12_WEU,oil_tanker_eth,2025,919141.87142457,Mt-km,WEU-LAM,year
R12_WEU,oil_tanker_eth,2025,3936121.9354161,Mt-km,WEU-MEA,year
R12_WEU,oil_tanker_eth,2025,3525267.35282709,Mt-km,WEU-NAM,year
R12_WEU,oil_tanker_eth,2025,182.84445036,Mt-km,WEU-PAO,year
R12_WEU,oil_tanker_eth,2025,8397.151540559998,Mt-km,WEU-PAS,year
R12_WEU,oil_tanker_eth,2025,10.19632194,Mt-km,WEU-SAS,year
R12_AFR,oil_tanker_loil,2025,47648.8586286,Mt-km,AFR-CHN,year
R12_AFR,oil_tanker_loil,2025,7335.32238,Mt-km,AFR-EEU,year
R12_AFR,oil_tanker_loil,2025,24412.538864700004,Mt-km,AFR-FSU,year
R12_AFR,oil_tanker_loil,2025,1334772.3141504,Mt-km,AFR-LAM,year
R12_AFR,oil_tanker_loil,2025,136082340.84721503,Mt-km,AFR-MEA,year
R12_AFR,oil_tanker_loil,2025,288206.8832466,Mt-km,AFR-NAM,year
R12_AFR,oil_tanker_loil,2025,7613.828122500001,Mt-km,AFR-PAO,year
R12_AFR,oil_tanker_loil,2025,4119029.2908027,Mt-km,AFR-PAS,year
R12_AFR,oil_tanker_loil,2025,3902466.6810171,Mt-km,AFR-SAS,year
R12_AFR,oil_tanker_loil,2025,87004901.3011488,Mt-km,AFR-WEU,year
R12_CHN,oil_tanker_loil,2025,429.6912165,Mt-km,CHN-AFR,year
R12_CHN,oil_tanker_loil,2025,665559.4220964,Mt-km,CHN-FSU,year
R12_CHN,oil_tanker_loil,2025,114186.0185109,Mt-km,CHN-LAM,year
R12_CHN,oil_tanker_loil,2025,649428.9624719999,Mt-km,CHN-MEA,year
R12_CHN,oil_tanker_loil,2025,177128.3358,Mt-km,CHN-NAM,year
R12_CHN,oil_tanker_loil,2025,10526313.5359605,Mt-km,CHN-PAO,year
R12_CHN,oil_tanker_loil,2025,253462887.85751638,Mt-km,CHN-PAS,year
R12_CHN,oil_tanker_loil,2025,20889.312219,Mt-km,CHN-RCPA,year
R12_CHN,oil_tanker_loil,2025,179949.806685,Mt-km,CHN-SAS,year
R12_CHN,oil_tanker_loil,2025,948.1305015,Mt-km,CHN-WEU,year
R12_EEU,oil_tanker_loil,2025,143704.653624,Mt-km,EEU-AFR,year
R12_EEU,oil_tanker_loil,2025,3977703.041571,Mt-km,EEU-FSU,year
R12_EEU,oil_tanker_loil,2025,6562.1832075,Mt-km,EEU-LAM,year
R12_EEU,oil_tanker_loil,2025,33018.5451789,Mt-km,EEU-MEA,year
R12_EEU,oil_tanker_loil,2025,108672.5416032,Mt-km,EEU-NAM,year
R12_EEU,oil_tanker_loil,2025,4432570.927686,Mt-km,EEU-WEU,year
