,technology,include,technology shares,share basis,input commodity,input level,input basis,input,output commodity,output level,output,IEA flow,IEA product,unit,output or input
2,biomass_i,y,,model,biomass,final,model,1.538461538,i_therm,useful,1,"MINING, CHEMICAL, CONSTRUC, NONFERR, TRANSEQ, MACHINE, FOODPRO, PAPERPRO, WOODPRO, TEXTILES, INONSPEC","PRIMSBIO, CHARCOAL, RENEWNS, MUNWASTER",TJ,input
4,coal_fs,y,,model,coal,final,model,2.2,i_feed,useful,1,NEINTREN,"HARDCOAL, BROWN, ANTCOAL, COKCOAL, BITCOAL, SUBCOAL, LIGNITE, PEAT, PATFUEL, OVENCOKE, GASCOKE, COALTAR, BKB, GASWKSGS, COKEOVGS, BLFURGS, MANGAS, INDWASTE, MUNWASTEN",TJ,input
7,coal_i,y,,model,coal,final,model,1.470588235,i_therm,useful,1,"MINING, CHEMICAL, CONSTRUC, NONFERR, TRANSEQ, MACHINE, FOODPRO, PAPERPRO, WOODPRO, TEXTILES, INONSPEC","HARDCOAL, BROWN, ANTCOAL, COKCOAL, BITCOAL, SUBCOAL, LIGNITE, PEAT, PATFUEL, OVENCOKE, GASCOKE, COALTAR, BKB, GASWKSGS, COKEOVGS, BLFURGS, MANGAS, INDWASTE, MUNWASTEN",TJ,input
12,elec_i,y,,model,electr,final,model,1.369863014,i_therm,useful,1,IRONSTL,ELECTR,TJ,input
16,eth_i,y,,model,ethanol,final,model,1.234567901,i_therm,useful,1,"MINING, CHEMICAL, CONSTRUC, NONFERR, TRANSEQ, MACHINE, FOODPRO, PAPERPRO, WOODPRO, TEXTILES, INONSPEC","BIOGASOL, BIODIESEL, OBIOLIQ, BIOJETKERO",TJ,input
19,ethanol_fs,y,,model,ethanol,final,model,1,i_feed,useful,1,NEINTREN,"BIOGASOL, BIODIESEL, OBIOLIQ, BIOJETKERO",TJ,input
21,foil_fs,y,,model,fueloil,final,model,1,i_feed,useful,1,NEINTREN,"BITUMEN, PARWAX, PETCOKE, RESFUEL",TJ,input
23,foil_i,y,,model,fueloil,final,model,1.369863014,i_therm,useful,1,"MINING, CHEMICAL, CONSTRUC, NONFERR, TRANSEQ, MACHINE, FOODPRO, PAPERPRO, WOODPRO, TEXTILES, INONSPEC","BITUMEN, PARWAX, PETCOKE, RESFUEL",TJ,input
30,gas_fs,y,,model,gas,final,model,1,i_feed,useful,1,NEINTREN,NATGAS,TJ,input
32,gas_i,y,,model,gas,final,model,1.25,i_therm,useful,1,"MINING, CHEMICAL, CONSTRUC, NONFERR, TRANSEQ, MACHINE, FOODPRO, PAPERPRO, WOODPRO, TEXTILES, INONSPEC",NATGAS,TJ,input
36,heat_i,y,,model,d_heat,final,model,1,i_therm,useful,1,"MINING, CHEMICAL, CONSTRUC, NONFERR, TRANSEQ, MACHINE, FOODPRO, PAPERPRO, WOODPRO, TEXTILES, INONSPEC","HEATNS, HEAT",TJ,output
37,hp_el_i,y,,model,electr,final,model,0.333333333,i_therm,useful,1,THEAT,ELECTR,TJ,input
38,hp_gas_i,y,,model,gas,final,model,0.5,i_therm,useful,1,THEAT,NATGAS,TJ,input
44,loil_fs,y,,model,lightoil,final,model,1,i_feed,useful,1,NEINTREN,"OTHKERO, ONONSPEC, REFINGAS, ETHANE, LPG, NONBIOGASO, AVGAS, JETGAS, NONBIOJETK, NONBIODIES, NAPHTHA, WHITESP, LUBRIC",TJ,input
45,loil_i,y,,model,lightoil,final,model,1.369863014,i_therm,useful,1,"MINING, CHEMICAL, CONSTRUC, NONFERR, TRANSEQ, MACHINE, FOODPRO, PAPERPRO, WOODPRO, TEXTILES, INONSPEC","REFINGAS, ETHANE, LPG, AVGAS, JETGAS, NONBIOJETK, NAPHTHA, WHITESP, LUBRIC, ONONSPEC, OTHKERO",TJ,input
58,sp_el_I,y,,model,electr,final,model,1.234567901,i_spec,useful,1,"MINING, CONSTRUC, CHEMICAL, TRANSEQ, MACHINE, FOODPRO, PAPERPRO, WOODPRO, TEXTILES, NONENUSE, INONSPEC",ELECTR,TJ,input
60,sp_liq_I,y,,model,lightoil,final,model,,i_spec,useful,1,"MINING, CHEMICAL, CONSTRUC, NONFERR, TRANSEQ, MACHINE, FOODPRO, PAPERPRO, WOODPRO, TEXTILES, INONSPEC","NONBIOGASO, NONBIODIES",TJ,input
