"","50|MEA","30|MEA","50|SAS","30|SAS","30|FSU","10|FSU","10|SAS","67|SAS","148|CHN","13|AFR","57|AFR","38|AFR","6|AFR","161|AFR","0|EEU","14|MEA","93|LAM","139|LAM","100|LAM","137|LAM","76|LAM","84|LAM","75|LAM","111|LAM","155|LAM","31|FSU","22|PAO","21|PAO","19|PAO","20|PAO","18|PAO","91|PAO","149|PAO","48|WEU","39|WEU","39|EEU","48|EEU","96|AFR","158|AFR","95|AFR","8|AFR","7|AFR","53|SAS","65|SAS","24|SAS","24|PAS","28|LAM","106|EEU","106|FSU","42|FSU","51|FSU","32|LAM","9|LAM","152|LAM","101|LAM","99|LAM","125|LAM","113|LAM","46|LAM","29|LAM","73|PAS","53|CHN","107|AFR","80|AFR","78|AFR","109|NAM","52|NAM","81|NAM","103|NAM","36|NAM","126|NAM","90|NAM","63|NAM","142|NAM","17|NAM","153|NAM","47|WEU","119|WEU","67|CHN","54|CHN","77|CHN","118|CHN","105|CHN","159|CHN","70|CHN","88|CHN","62|CHN","61|CHN","60|CHN","162|CHN","11|CHN","35|CHN","98|CHN","123|CHN","37|LAM","83|LAM","108|LAM","82|AFR","33|LAM","85|WEU","41|WEU","121|AFR","5|AFR","145|WEU","4|MEA","3|MEA","3|AFR","87|MEA","95|MEA","78|MEA","134|LAM","116|LAM","96|MEA","5|MEA","85|MEA","120|MEA","40|MEA","4|WEU","45|WEU","86|WEU","130|AFR","127|WEU","51|WEU","127|FSU","140|PAS","49|WEU","68|WEU","128|WEU","25|FSU","26|FSU","129|AFR","0|WEU","144|PAS","114|PAS","72|PAS","143|PAS","110|PAS","69|PAS","124|SAS","66|SAS","12|SAS","70|PAS","70|SAS","31|MEA","151|MEA","34|MEA","115|MEA","64|WEU","150|WEU","71|PAO","154|FSU","146|FSU","105|FSU","77|FSU","54|FSU","1|AFR","148|FSU","59|PAS","88|PAS","88|RCPA","59|RCPA","156|RCPA","98|PAS","61|RCPA","141|SAS","39|FSU","43|FSU","27|LAM","97|LAM","122|LAM","54|RCPA","105|RCPA","160|RCPA","160|FSU","11|RCPA","11|FSU","2|AFR","135|AFR","4|AFR","92|AFR","94|PAO","115|SAS","15|SAS","117|PAS","112|PAS","133|PAS","28|NAM","132|FSU","157|FSU","44|FSU","23|FSU","74|FSU","131|FSU","79|FSU","123|FSU","71|FSU","26|WEU","151|WEU","31|WEU","147|PAS","104|NAM","27|NAM","55|NAM","97|NAM","33|NAM","122|NAM","56|NAM","58|NAM","136|AFR"
"2010",39.077,388.508,51.761,7.467,302.796,604.082,12.005,2066.231,12.31,84.43,516.885,428.533,50.735,186.11,862.522,2841.416,120.748,21.089,1407.027,353.454,74.739,687.749,9444.281,337.988,3682.073,1437.326,372.417,264.175,13.47,21.392,2471.073,126.55,48.41,7438.365,632.464,2818.63,362.238,329.054,82.533,231.493,536.192,498.46,7081.92,5591.809,450.114,11.628,3292.36,1908.098,272.347,1725.921,612.902,6392.401,955.562,240.049,49.326,261.388,700.293,87.787,1657.673,4594.527,344.464,2.901,461.693,1015.246,272.245,53.322,1046.648,28.38,6.909,729.112,737.799,11189.31,15.314,5694.479,428.47,9702.353,2298.18,2736.439,0,153.668,16.875,0,0.138,8027.687,9.339,4.44,2697.745,4723.977,73.907,3398.393,721.107,7352.742,1109.253,4.663,999.411,2194.662,665.772,203.879,3275.162,1383.631,493.267,144.339,11.141,686.477,667.492,365.377,5.499,1859.643,0,15.894,0,1734.273,2925.373,38.348,1595.662,517.082,635.32,178.757,1523.688,676.619,4.845,614.637,305.02,55.946,9.182,5467.53,461.853,0,956.317,82.161,39.234,1556.799,589.784,2356.185,4271.102,156.41,14.829,19.88,506.036,2205.972,0,295.403,11.235,1431.381,1468.822,2413.744,200.786,67.419,1564.29,9655.718,342.861,1277.594,2397.114,178.731,0.622,300.628,0,876.654,183.735,248.51,271.236,1971.609,6327.574,2008.795,77.421,66.719,397.07,299.641,33.68,1025.837,11.828,0.068,43.093,509.582,3.002,229.398,71.838,804.007,83.613,21.285,394.619,0.169,400.512,2827.189,0.007,0,745.421,73.814,5123.959,1180.627,176.744,24.456,23.598,17.413,98.511,0,1395.667,363.507,3.959,2618.924,43.325,4750.594,389.284,759.695,0.509,172.393,3254.956,7020.928,222.513
"2020",45.322,446.369,84.316,12.787,412.988,845.503,27.375,3161.851,16.233,302.176,1161.822,2618.978,94.309,370.728,958.701,4097.06,143.277,25.69,1655.747,380.602,100.934,757.931,10632.78,422.446,4205.795,1691.844,412.881,305.978,14.983,24.623,2758.259,150.402,59.605,8445.507,734.864,3114.55,399.638,755.17,181.913,548.413,1209.66,1062.272,12242.999,8070.713,767.157,24.905,3192.484,2125.109,297.185,1861.788,647.563,7477.523,1225.132,272.01,62.888,319.5,795.888,103.951,1852.384,5163.868,453.757,3.802,569.219,1309.781,704.207,57.795,1141.705,32.869,8.376,781.585,829.033,12068.102,19.067,6287.73,485.431,10483.948,2450.188,2881.196,0,204.783,22.581,0,0.205,12085.804,12.064,5.738,3832.945,6425.796,109.441,4989.433,995.344,11431.646,1568.97,6.373,1311.252,2921.76,771.425,326.171,3910.987,1649.088,557.346,320.827,41.967,748.753,903.191,489.994,7.302,2310.58,0,31.202,0,2095.19,4282.16,81.573,1943.249,724.808,864.07,197.665,1666.431,708.809,20.312,702.913,324.656,62.268,18.432,6214.049,539.748,0.525,1114.29,101.449,78.46,1889.266,815.241,2965.295,6305.058,224.536,18.664,44.385,720.37,3005.341,0,497.523,16.841,1652.425,2220.179,2747.226,299.664,70.925,1611.412,9992.392,392.786,1694.785,2641.676,239.927,0.986,611.606,0,1098.441,298.451,350.52,338.902,2284.667,6793.092,2820.762,146.903,83.598,452.563,333.965,36.896,1220.459,19.809,0.104,69.71,528.551,4.845,235.241,144.875,1020.411,110.389,25.661,457.013,0.206,486.678,4760.81,0.015,0,661.864,91.379,5436.132,1321.083,187.551,26.219,22.261,20.824,99.875,0,1681.557,448.351,4.47,2855.76,47.328,5123.39,423.398,827.173,0.832,186.974,3416.652,8022.145,270.455
"2030",52.264,512.556,121.338,18.867,513.476,1052.708,85.483,4631.606,18.603,480.222,1893.721,5739.92,137.526,622.162,1048.547,4963.334,149.25,28.632,1830.318,389.817,132.414,749.493,11431.159,495.209,4658.13,1854.274,447.214,332.251,16.674,27.603,3005.324,180.124,66.911,8850.223,785.678,3254.068,421.992,1466.824,329.31,1020.274,1931.382,1800.364,18390.745,10839.144,1018.618,40.322,3341.247,2216.586,316.51,1968.754,664.84,8582.352,1477.513,301.569,75.287,361.317,879.124,117.636,2013.528,5723.95,553.073,4.258,664.797,1563.335,1262.552,60.75,1192.261,37.253,9.201,819.058,905.502,13080.35,21.764,6820.876,544.711,11088.551,2580.074,2937.947,0,225.94,23.367,0,0.296,14228.569,12.857,12.184,4324.48,7922.51,143.113,5820.002,1146.534,13669.392,1929.206,7.306,1549.7,3347.194,885.092,592.626,4537.513,1799.085,568.771,551.096,69.988,783.73,1102.48,631.766,9.633,2744.014,0,49.778,0,2373.613,5979.74,145.586,2298.177,1029.726,1133.964,202.559,1772.639,741.944,40.026,765.403,334.289,67.125,26.831,6414.876,579.77,0.494,1250.081,109.634,130.069,2112.322,1053.494,3467.68,8253.988,283.524,22.275,74.157,927.551,3885.751,0,678.269,22.522,1919.227,2935.343,3094.698,392.21,72.874,1625.707,9897.014,437.381,2183.853,2794.833,250.385,1.226,1040.582,0,1286.567,452.414,478.924,451.99,2720.153,6980.394,3671.031,214.193,89.761,498.663,365.82,39.432,1360.299,28.006,0.173,88.088,517.91,5.837,228.289,233.905,1214.813,139.833,29.578,496.736,0.259,608.077,6375.369,0.021,0,597.264,102.963,5490.848,1468.566,195.282,27.025,20.721,25.842,99.844,0,1892.125,526.343,4.761,2864.569,51.29,5396.63,446.383,873.152,0.854,202.255,3696.348,8686.83,325.788
"2040",59.469,571.062,171.861,39.157,575.544,1194.525,161.647,6439.828,19.422,655.564,2747.534,8871.336,184.812,959.338,1097.615,5685.223,158.912,33.469,1935.185,378.346,151.03,732.708,11799.113,550.776,4960.652,1904.229,492.867,364.095,17.765,34.021,3211.582,203.322,73.67,9217.131,819.616,3256.498,451.225,2488.554,550.653,1753.758,2916.901,2651.163,24738.129,13558.909,1241.738,52.423,3407.36,2232.32,319.227,2008.987,648.518,9494.349,1672.411,316.491,85.645,384.848,925.651,130.959,2115.723,6168.409,651.578,4.552,737.582,1753.992,2062.739,63.401,1243.44,41.124,10.694,855.262,960.563,13682.393,26.306,7196.006,592.012,11432.288,2665.23,2953.669,0,232.621,23.029,0,0.322,15463.047,13.169,13.465,4507.454,8477.295,187.901,6254.269,1266.91,14142.785,2097.864,7.732,1769.85,3722.651,949.584,981.227,5062.901,1947.235,592.085,880.942,109.027,810.048,1276.815,759.796,12.057,3031.632,0,112.457,0,2549.091,7657.055,200.532,2608.261,1416.489,1393.38,204.803,1811.577,775.349,63.105,811.523,328.906,66.356,35.96,6683.641,616.701,0.47,1300.735,111.094,183.321,2223.153,1253.2,3887.923,9765.863,364.075,26.521,108.765,1178.739,4780.798,0,825.022,28.846,2107.325,3615.711,3400.282,471.698,75.056,1616.277,9537.283,470.825,2623.33,2882.63,256.299,1.541,1599.535,0,1406.062,588.312,621.903,554.105,3193.35,6849.342,4132.645,286.248,89.503,523.18,421.07,58.313,1488.774,34.74,0.202,102.841,509.743,6.707,228.785,349.472,1386.88,178.462,32.957,521.93,0.321,754.712,8054.002,0.029,6.919,523.287,102.511,5493.509,1540.189,190.935,27.738,19.039,25.095,98.544,0,2075.013,588.88,6.405,2791.711,53.415,5578.718,466.906,922.141,0.944,218.074,3964.609,8986.711,372.256
"2050",65.417,640.265,259.875,62.236,605.031,1419.581,259.901,8402.857,18.71,869.539,3745.791,11916.74,227.841,1382.279,1120.791,6378.429,155.286,50.552,1984.395,372.967,160.161,700.233,11900.342,567.821,5097.362,1903.929,529.228,385.409,18.769,38.861,3360.269,223.763,75.794,9451.39,837.327,3168.204,464.892,3857.414,810.785,2943.796,4086.754,3596.656,30365.635,16514.018,1427.342,63.921,3428.329,2194.327,308.529,2017.544,630.599,10290.75,1823.983,320.59,105.371,389.859,948.887,135.211,2147.375,6487.114,741.382,4.654,784.298,1821.223,2992.868,64.908,1281.587,43.833,11.31,888.669,1020.586,14188.797,31.405,7517.538,631.287,11585.853,2694.086,2929.885,0,227.533,21.565,0,0.34,15639.119,12.979,14.428,4495.548,8735.199,229.235,6304.601,1306.074,13673.73,2065.702,24.498,1940.696,4016.762,967.196,1484.286,5451.521,2024.848,607.809,1363.707,165.622,847.207,1380.544,908.158,14.339,3238.418,0,186.292,0,2631.848,9166.032,244.269,2900.648,1843.811,1621.078,206.33,1828.94,795.511,89.932,861.847,335.306,66.736,45.002,6944.752,644.994,0.453,1303.364,107.637,250.721,2275.734,1410.366,4150.912,10789.911,434.449,34.434,147.754,1539.348,5568.722,0,940.343,41.571,2238.671,4199.637,3522.791,510.535,78.314,1585.673,9129.029,471.716,2841.759,2891.893,261.449,1.722,2244.241,0,1479.679,699.799,743.98,658.942,3612.766,6497.109,4312.579,355.235,84.104,524.595,444.316,65.624,1584.141,40.876,0.228,110.621,503.419,7.307,229.121,455.116,1572.686,209.381,34.9,527.254,0.387,906.618,9733.161,3.047,15.718,469.247,97.829,5452.197,1577.321,182.834,26.663,17.164,24.078,96.086,0,2271.874,603.836,7.104,2606.116,54.896,5688.666,477.403,955.299,0.941,228.288,4109.428,9142.617,406.274
"2060",69.877,670.274,362.945,82.242,601.86,1609.875,413.333,10447.936,27.903,1122.837,4815.548,14692.445,271.968,1844.94,1119.772,6798.143,151.215,56.637,1972.675,361.437,160.326,673.372,11661.166,560.934,5134.614,1891.084,545.386,414.14,20.505,38.939,3494.033,245.007,81.554,9538.286,842.366,3023.975,461.072,5507.548,1131.116,4349.881,5457.983,4526.842,34307.576,19847.948,1574.183,74.55,3382.625,2112.725,301.689,2022.038,635.108,10685.311,1914.42,321.125,109.408,391.83,948.485,139.286,2182.282,6691.279,810.465,4.603,819.783,1881.757,4061.29,65.519,1300.432,44.264,12.185,914.463,1042.574,14455.498,37.875,7671.289,668.688,11756.296,2688.412,2868.975,0,213.228,19.665,0,0.364,14961.537,12.286,14.36,4279.232,8533.13,243.646,5888.467,1283.888,12777.781,1937.529,24.03,2051.857,4191.112,985.568,2057.476,5691.283,2057.513,624.904,1885.486,236,893.907,1421.868,1039.519,16.719,3334.14,0,228.755,0,2632.159,10423.441,293.87,3129,2266.682,1806.24,203.83,1853.695,797.248,124.703,919.965,350.816,67.484,53.993,7195.829,669.076,0.436,1288.133,100.977,312.122,2280.86,1487.345,4273.97,11330.724,497.589,38.271,187.865,1902.022,6246.772,4.455,1022.625,47.374,2261.659,4672.663,3562.473,535.567,78.503,1552.58,8675.947,464.533,2915.576,2855.237,260.574,1.765,2970.196,0,1509.304,779.825,887.351,769.33,3798.697,6001.968,4274.024,424.719,77.728,509.049,451.883,66.827,1636.071,42.155,0.242,112.613,477.546,12.002,219.711,555.149,1709.111,239.894,36.342,542.388,0.452,1050.592,11291.052,8.608,25.046,411.082,94.792,5412.727,1626.866,181.641,25.305,15.726,22.052,90.457,0,2380.726,606.069,8.014,2378.081,57.577,5764.223,485.499,954.441,0.93,233.681,4325.41,9286.624,407.504
"2070",71.025,658.223,520.519,105.162,579.453,1723.848,584.328,12227.66,25.652,1402.95,5820.886,17004.743,315.004,2297.095,1088.586,6938.917,152.038,57.986,1931.053,345.891,160.927,644.745,11180.203,541.699,5051.722,1849.641,550.332,428.943,21.013,38.557,3564.202,266.582,83.991,9667.294,827.887,2836.393,460.153,7290.877,1441.04,6035.384,6965.69,5415.28,36668.689,22674.254,1658.899,85.872,3291.276,2042.963,294.822,2023.505,625.732,10965.02,1964.367,315.684,116.306,390.935,942.713,139.633,2211.173,6784.703,848.838,4.436,836.723,1898.461,5147.061,66.792,1307.16,45.644,12.915,925.214,1065.241,14553.37,40.768,7808.917,699.279,11674.995,2665.22,2770.178,0,195.571,17.625,0,0.37,13883.826,11.31,13.857,3893.744,8261.734,250.119,5362.247,1175.908,11586.062,1871.475,22.66,2111.777,4229.974,1008.06,2647.95,5772.111,2046.07,655.564,2480.863,345.321,937.933,1415.565,1139.534,27.106,3358.246,0,352.209,0,2589.981,11500.073,327.767,3286.015,2630.957,1935.727,199.164,1849.233,779.373,207.508,964.121,357.952,65.973,60.967,7324.271,683.037,0.421,1238.999,94.023,370.425,2220.019,1551.993,4297.717,11299.719,518.467,40.656,220.674,2496.699,6805.718,5.704,1079.52,48.794,2208.455,5077.5,3566.21,530.115,77.09,1499.521,8110.345,460.313,2923.597,2823.322,254.163,1.757,3769.602,0,1507.169,823.7,998.926,882.841,3816.367,5465.563,4210.894,486.304,72.134,498.365,449.872,67.36,1636.966,44.579,0.242,112.964,460.083,13.216,214.061,655.34,1790.556,269.269,37.612,570.09,0.523,1197.438,12649.401,24.844,31.823,346.682,92.343,5332.609,1628.274,178.967,25.141,14.594,20.969,85.529,0,2413.695,621.451,8.425,2372.655,57.755,5820.815,497.289,975.949,1.036,233.011,4318.688,9300.125,413.517
"2080",69.465,649.056,675.725,154.01,601.506,1786.787,751.223,13756.976,22.593,1663.867,6692.663,18833.383,351.188,2743.806,1037.072,7007.268,158.767,56.108,1859.276,323.5,159.833,605.054,10652.362,513.138,4864.535,1775.149,558.356,420.297,20.842,39.464,3559.992,276.623,85.22,9596.717,822.372,2634.951,447.347,9109.525,1733.478,7899.172,8304.203,6171.318,37978.542,24544.406,1755.482,92.902,3135.291,1926.198,276.983,1964.189,585.346,11050.419,1965.026,310.827,117.74,389.15,898.298,136.712,2225.068,6702.857,868.719,4.467,849.601,1915.844,6190.231,66.495,1316.085,46.932,13.075,917.464,1077.228,14564.47,41.224,7841.526,717.024,11616.648,2650.736,2650.3,0,176.239,15.682,0,0.367,12642.032,10.25,12.624,3578.648,7473.601,266.672,4854.822,1118.721,10415.34,1719.022,21.003,2130.802,4189.978,997.573,3201.27,5797.591,1993.88,641.746,2974.249,463.937,925.586,1394.648,1175.513,46.802,3355.878,0,370.773,0,2523.717,12551.361,353.955,3377.45,2964.78,2026.599,192.926,1812.167,766.578,281.817,984.349,352.852,62.642,64.764,7102.727,671.888,0.407,1201.733,87.02,402.839,2178.663,1562.707,4211.464,11042.907,522.122,40.331,256.491,3161.196,7104.309,5.507,1121.305,48.701,2123.526,5402.363,3422.618,513.765,77.456,1432.884,7570.07,445.942,2854.298,2759.093,245.243,1.735,4642.502,0,1464.676,823.189,1072.638,935.95,3774.315,4889.715,3879.667,533.033,69.357,484.746,437.453,66.637,1612.979,46.523,0.242,111.691,452.694,12.896,204.219,745.999,1809.073,293.167,39.862,561.521,0.603,1326.914,13748.343,35.149,35.222,287.398,88.546,5123.692,1556.288,168.227,24.477,13.431,19.947,82.431,0,2379.207,619.413,24.215,2270.919,58.627,5726.116,493.412,965.123,1.003,221.088,4167.963,9404.448,402.035
"2090",74.79,621.21,863.413,194.063,575.65,1847.7,913.779,14643.468,20.391,1887.624,7413.143,20163.964,375.967,3186.482,975.1,6803.836,145.375,53.021,1768.814,301.356,159.336,563.469,10090.243,478.161,4609.396,1700.451,551.249,406.338,20.663,38.066,3484.218,274.001,84.514,9309.715,797.839,2433.767,420.523,10876.581,2011.798,9744.381,9256.346,6729.049,37630.049,25707.102,1837.14,103.487,2977.296,1783.208,251.257,1854.917,541.781,10951.996,1940.152,298.746,111.53,372.05,840.006,131.47,2247.496,6404.706,860.561,4.311,827.414,1875.677,7204.685,64.913,1286.125,46.904,13.084,894.502,1052.98,14379.259,41.421,7758.283,726.603,11516.138,2627.119,2514.949,0,159.007,13.986,0,0.349,11232.575,9.187,11.542,3278.875,6831.143,256.419,4354.41,1051.682,9174.299,1568.944,18.939,2112.429,4100.993,935.149,3670.9,5757.865,1893.521,608.405,3403.899,584.606,896.536,1363.655,1187.907,61.173,3289.192,0,376.941,0,2441.175,13240.504,384.254,3411.291,3218.942,2065.358,186.104,1759.426,744.59,359.275,986.755,343.169,59.567,68.607,7032.857,655.708,0.389,1150.778,80.59,415.152,2089.044,1520.23,4047.947,10684.331,512.887,37.714,283.715,3763.217,7198.766,5.229,1147.411,47.082,2010.716,5616.719,3264.834,506.377,73.687,1353.298,7015.503,436.37,2783.706,2664.235,234.175,1.636,5345.567,0,1390.695,814.785,1116.733,975.267,3623.12,4376.03,3565.712,571.15,65.233,461.902,425.177,64.541,1600.946,47.395,0.228,109.06,432.564,12.722,196.123,799.332,1799.494,307.38,39.341,552.463,0.671,1455.533,14623.718,43.842,38.142,256.178,84.409,4883.016,1480.631,159.319,22.508,11.653,18.218,78.002,0,2322.044,611.945,29.691,2138.988,57.516,5558.672,481.564,940.286,0.974,217.635,4153.744,9295.209,384.847
"2100",74.469,622.07,993.240999999999,173.922,512.232,2065.767,1097.313,17566.832,18.899,2243.289,8836.9,23941.637,444.112,3653.56,995.028,7361.239,154.507,62.033,1806.187,299.253,162.73,558.864,9737.314,483.994,4803.046,1725.312,565.170000000001,473.352,22.537,37.411,3774.709,331.307,91.3019999999999,10054.318,784.45,2273.647,457.396,12640.864,2370.812,11091.893,11488.811,8080.594,43752.028,31153.172,1913.047,119.838,3017.229,1833.677,274.221,2027.906,597.604,11804.147,2114.208,299.361,137,388.25,925.397,140.674,2297.846,7064.97500000001,963.957,3.935,887.543,1948.573,8404.374,70.6109999999999,1327.344,49.784,15.105,957.467000000001,1133.242,14846.986,49.447,8221.801,791.052,11431.092,2595.644,2473.787,0,142.6,11.505,0,0.388,10650.693,8.38200000000001,12.348,2737.28,7447.546,269.538,3783.58700000001,851.968,8010.90500000002,1673.313,18.55,2291.537,4346.56,1075.536,4419.372,6014.595,2011.741,747.544,4266.994,673.284,1070.011,1396.656,1439.579,58.267,3430.564,0,722.571,0,2463.447,14729.969,429.458,3757.06,3723.782,2324.188,185.166,1835.847,725.748000000001,455.923,1096.589,379.36,61.44,81.889,7709.59699999999,724.92,0.376,1091.597,73.161,545.334,2037.496,1745.937,4368.958,11206.704,581.101,47.811,319.101,4280.73,8482.556,9.45099999999999,1250.205,53.054,2048.843,6292.011,3577.421,513.759000000001,72.8509999999999,1340.344,6413.53900000001,447.653,2947.66,2727.577,234.93,1.733,6167.82,0,1500.764,955.325,1333.651,1223.374,3869.377,3856.34800000001,4021.504,671.059,55.352,466.313,443.839,68.959,1639.651,51.851,0.242,114.017,407.694,16.858,197.111,955.913,2034.891,357.394,41.422,653.196,0.735999999999999,1637.976,16724.448,73.552,52.154,153.482,84.9960000000001,5092.255,1632.498,170.945,24.649,11.198,17.72,70.745,0,2512.602,667.597,9.65799999999997,2356.377,58.289,5990.591,532.659,1040.473,1.354,231.001,4298.522,9340.628,431.556
