"","50|MEA","30|MEA","50|SAS","30|SAS","30|FSU","10|FSU","10|SAS","67|SAS","148|CHN","13|AFR","57|AFR","38|AFR","6|AFR","161|AFR","0|EEU","14|MEA","93|LAM","139|LAM","100|LAM","137|LAM","76|LAM","84|LAM","75|LAM","111|LAM","155|LAM","31|FSU","22|PAO","21|PAO","19|PAO","20|PAO","18|PAO","91|PAO","149|PAO","48|WEU","39|WEU","39|EEU","48|EEU","96|AFR","158|AFR","95|AFR","8|AFR","7|AFR","53|SAS","65|SAS","24|SAS","24|PAS","28|LAM","106|EEU","106|FSU","42|FSU","51|FSU","32|LAM","9|LAM","152|LAM","101|LAM","99|LAM","125|LAM","113|LAM","46|LAM","29|LAM","73|PAS","53|CHN","107|AFR","80|AFR","78|AFR","109|NAM","52|NAM","81|NAM","103|NAM","36|NAM","126|NAM","90|NAM","63|NAM","142|NAM","17|NAM","153|NAM","47|WEU","119|WEU","67|CHN","54|CHN","77|CHN","118|CHN","105|CHN","159|CHN","70|CHN","88|CHN","62|CHN","61|CHN","60|CHN","162|CHN","11|CHN","35|CHN","98|CHN","123|CHN","37|LAM","83|LAM","108|LAM","82|AFR","33|LAM","85|WEU","41|WEU","121|AFR","5|AFR","145|WEU","4|MEA","3|MEA","3|AFR","87|MEA","95|MEA","78|MEA","134|LAM","116|LAM","96|MEA","5|MEA","85|MEA","120|MEA","40|MEA","4|WEU","45|WEU","86|WEU","130|AFR","127|WEU","51|WEU","127|FSU","140|PAS","49|WEU","68|WEU","128|WEU","25|FSU","26|FSU","129|AFR","0|WEU","144|PAS","114|PAS","72|PAS","143|PAS","110|PAS","69|PAS","124|SAS","66|SAS","12|SAS","70|PAS","70|SAS","31|MEA","151|MEA","34|MEA","115|MEA","64|WEU","150|WEU","71|PAO","154|FSU","146|FSU","105|FSU","77|FSU","54|FSU","1|AFR","148|FSU","59|PAS","88|PAS","88|RCPA","59|RCPA","156|RCPA","98|PAS","61|RCPA","141|SAS","39|FSU","43|FSU","27|LAM","97|LAM","122|LAM","54|RCPA","105|RCPA","160|RCPA","160|FSU","11|RCPA","11|FSU","2|AFR","135|AFR","4|AFR","92|AFR","94|PAO","115|SAS","15|SAS","117|PAS","112|PAS","133|PAS","28|NAM","132|FSU","157|FSU","44|FSU","23|FSU","74|FSU","131|FSU","79|FSU","123|FSU","71|FSU","26|WEU","151|WEU","31|WEU","147|PAS","104|NAM","27|NAM","55|NAM","97|NAM","33|NAM","122|NAM","56|NAM","58|NAM","136|AFR"
"2010",38.448,377.841,95.679,15.609,1497.125,1353.314,25.095,1458.796,22.851,161.498,1324.02,505.501,66.469,249.757,2315.012,2722.023,161.547,42.836,2928.267,501.67,130.7,975.54,14269.957,473.713,5955.543,1511.651,385.55,280.939,14.242,23.019,2633.559,142.832,53.071,15810.343,3468.115,4533.561,518.112,481.474,120.267,511.474,625.163,680.178,8796.979,6713.527,706.054,23.285,3243.222,2504.997,354.908,2340.052,705.265,7609.596,1557.788,390.416,104.398,425.087,1138.769,142.773,2695.239,4269.353,435.626,5.404,599.945,1301.063,333.474,77.894,1677.809,51.268,12.338,1065.548,1254.251,14391.468,26.477,8553.412,698.825,12404.572,3122.597,5682.406,0,284.914,31.272,0,0.179,14902.548,17.355,8.243,5007.082,8112.452,137.159,6303.732,1310.604,13609.39,2055.273,8.655,1464.011,2108.912,606.78,503.902,3626.87,1707.067,680.959,388.55,65.343,1602.042,841.031,636.205,5.926,2013.753,0,22.463,0,3428.361,6617.332,73.338,1687.83,495.299,674.153,209.572,2041.473,1294.051,21.478,1575.023,815.954,63.343,15.472,5554.018,841.509,0,1169.085,106.484,44.448,1812.359,594.682,3702.566,4308.476,157.708,14.952,25.806,595.628,2632.078,0,646.33,13.406,1393.257,1586.397,2347.822,195.207,69.136,3202.579,17501.062,379.678,1548.76,2680.175,184.93,0.76,321.911,0,2230.315,495.287,1535.882,1968.095,14379.036,9093.451,14652.829,243.236,105.951,818.388,370.606,47.238,1143.777,14.649,0.084,53.372,582.022,3.718,261.861,68.874,1053.796,82.382,23.005,659.506,0.084,200.377,2906.946,0.011,0,674.013,83.098,5836.574,1397.328,200.978,27.759,26.876,19.855,112.242,0,1738.189,455.327,4.96,3768.734,59.116,6565.705,571.444,1113.774,0.748,239.04,4041.514,8958.419,286.777
"2020",44.726,435.099,137.69,22.744,2760.895,2262.274,48.691,2329.025,28.048,406.17,1860.713,2553.53,115.527,480.858,2705.68,4649.791,197.195,55.331,3673.989,575.412,199.445,1143.273,17098.486,606.598,7300.659,1889.089,446.528,340.199,16.647,27.789,3095.872,180.559,67.813,17317.877,3579.099,5131.561,599.349,985.573,242.118,910.246,1307.621,1360.871,18012.507,11794.627,1225.107,49.534,3299.597,2927.385,422.241,2780.004,808.683,9221.432,2157.791,479.099,142.744,562.555,1401.191,183.067,3259.006,4882.193,589.364,7.121,767.297,1720.926,776.406,87.27,1890.112,61.32,15.31,1194.374,1436.654,16158.714,33.401,9730.073,804.703,13921.718,3444.648,5853.827,0,351.051,38.784,0,0.31,20957.718,21.001,9.976,6624.551,10315.699,187.83,8585.361,1689.87,18968.488,2601.376,10.975,1929.495,2841.544,714.117,717.341,4492.365,2161.146,777.952,752.017,114.928,1857.17,1179.754,855.933,7.837,2571.672,0,42.489,0,4715.386,9933.305,164.315,2171.355,762.331,954.293,243.07,2351.586,1324.962,64.426,1808.549,911.603,75.313,24.518,6531.3,978.051,0.536,1467.612,150.052,93.857,2264.281,847.009,4912.4,6554.226,233.26,19.382,53.062,1024.341,4382.862,0,1059.822,24.565,1613.548,2585.756,2678.346,291.979,75.088,3234.158,17907.008,472.765,2308.556,3276.968,327.326,1.44,620.396,0,2958.959,856.294,2427.148,3186.887,21744.26,10662.991,26869.491,432.466,150.282,1065.624,424.645,53.545,1400.681,29.455,0.154,103.654,666.294,7.202,296.679,136.826,1365.576,109.673,27.798,760.8,0.102,240.005,4814.759,0.02,0,614.307,107.946,6796.543,1680.292,231.628,32.148,27.707,26.071,124.253,0,2214.776,600.607,5.988,4476.576,66.901,7353.886,644.687,1257.885,1.268,271.236,4435.397,10464.21,354.701
"2030",53.012,515.819,187.67,31.308,2805.305,2653.689,141.852,3465.376,31.032,586.984,2618.862,5599.256,165.956,826.379,2971.926,6567.619,211.123,58.765,3910.834,615.785,259.962,1178.937,18864.105,698.073,8306.165,2174.053,502.413,385.304,19.219,32.31,3520.972,224.665,78.853,18185.323,3516.093,5634.459,668.977,1909.017,433.535,1646.437,2090.277,2393.415,28578.098,16763.173,1692.893,81.09,3555.612,3200.875,485.297,3242.772,899.238,11026.544,2597.867,551.891,177.158,660.297,1605.898,215.072,3666.157,5561.759,746.637,8.398,943.194,2134.647,1380.089,94.198,2029.723,70.044,16.896,1291.514,1585.797,17873.959,38.443,10709.84,906.708,15092.795,3772.112,6051.181,0,380.962,41.059,0,0.512,24521.811,22.372,21.169,7416.183,12177.032,229.226,9881.141,1868.609,21746.753,3011.358,12.174,2355.356,3327.936,842.787,1258.338,5436.759,2487.352,818.007,1221.469,197.804,2049.383,1547.048,1178.281,10.727,3272.827,0,69.005,0,5300.218,14916.721,333.898,2767.62,1172.771,1330.59,263.58,2655.696,1385.489,138.96,1937.245,976.213,85.992,34.442,7053.322,1084.963,0.523,1769.663,177.314,156.364,2637.256,1146.018,6022.248,8985.109,307.954,24.096,86.454,1390.793,5996.338,0,1450.657,34.82,1935.121,3534.22,3115.844,394.2,80.078,3301.555,17848.457,567.823,3361.172,3865.551,477.56,2.085,1060.334,0,3722.242,1384.834,3260.138,4446.178,27144.174,11809.316,36795.677,643.559,188.525,1369.79,474.099,58.607,1606.337,48.061,0.299,150.993,727.713,9.964,321.817,222.115,1694.455,140.48,32.831,831.525,0.133,311.563,6508.449,0.025,0,575.716,126.174,7562.096,1987.056,259.605,35.725,27.923,35.673,135.064,0,2630.368,750.575,6.79,4741.968,74.536,7955.793,699.206,1365.819,1.338,299.028,4882.341,11574.321,436.196
"2040",63.541,611.532,266.861,64.47,2519.132,2893.868,266.149,5396.591,32.668,747.835,3579.899,8870.913,222.443,1334.768,2829.708,8406.994,226.917,63.303,3944.232,615.5,275.456,1183.109,19440.452,762.938,8669.366,2313.755,566.076,433.466,21.13,40.769,3886.336,262.174,88.757,19139.29,3474.996,5903.453,753.94,3309.739,736.611,2837.485,3191.384,3719.987,46926.526,26098.914,2153.72,105.581,3736.961,3349.918,521.118,3612.608,940.656,12690.359,2800.534,573.408,182.686,695.012,1669.561,236.61,3783.719,6288.64,925.055,9.686,1094.791,2483.368,2264.227,99.373,2150.554,77.913,19.82,1363.212,1711.008,18910.518,47.003,11489.455,995.785,15750.257,4060.352,6217.423,0,401.218,42.487,0,0.639,27321.344,23.671,24.173,7949.715,13352.831,293.025,10829.235,2067.434,22940.444,3317.676,13.1,2732.507,3865.799,954.449,2141.808,6326.378,2801.938,879.399,1924.617,328.509,2228.939,1945.335,1385.066,14.043,3877.161,0,164.673,0,5179.158,18357.927,432.318,3359.157,1668.609,1747.245,281.024,2898.51,1457.629,244.223,2037.07,1037.988,90.474,46.225,7633.972,1186.799,0.516,1969.055,189.701,227.86,2895.901,1477.816,6963.384,11528.328,424.185,30.38,126.383,2184.428,9194.238,0,1736.499,56.096,2262.336,4501.505,3648.776,503.283,85.764,3348.131,17175.576,642.59,4437.244,4264.443,559.578,3.015,1678.14,0,4168.707,1822.848,4049.933,5337.359,31072.723,12209.302,40868.609,853.077,210.603,1558.817,548.444,82.274,1798.492,67.241,0.404,197.368,772.691,12.625,343.692,336.913,2001.676,182.272,38.404,895.165,0.175,411.66,8329.686,0.033,8.031,526.169,132.338,8109.215,2229.526,271.95,38.385,27.173,37.016,140.826,0,3012.565,880.49,9.581,4810.688,78.317,8314.677,737.089,1446.931,1.484,321.189,5236.285,12159.404,507.135
"2050",73.687,731.021,429.767,107.7,2128.723,3295.63,449.782,7123.896,32.919,973.736,4830.932,12429.863,286.224,2041.522,2627.711,10071.881,225.923,85.092,3934.137,617.973,282.373,1160.045,19435.444,785.925,8644.965,2354.97,617.98,469.346,22.858,46.875,4181.975,297.5,94.006,19992.882,3427.755,5951.057,808.189,5359.202,1124.023,4854.803,4597.226,5411.434,54906.768,29647.603,2581.639,129.446,3877.969,3373.518,525.394,3864,950.029,14228.152,2990.85,568.074,190.458,688.566,1672.316,239.322,3731.704,7022.018,1125.863,10.278,1212.988,2698.339,3366.808,102.194,2233.561,83.583,21.166,1416.034,1823.559,19650.572,56.847,12101.139,1074.092,16058.782,4276.252,6368.365,0,411.778,41.715,0,0.747,28854.89,24.58,27.375,8310.067,14287.822,362.226,11324.003,2171.396,23175.392,3386.652,43.501,2957.388,4437.847,1044.574,3510.349,7125.633,3019.622,932.914,3015.197,605.652,2428.238,2299.948,1437.776,17.674,4418.813,0,294.29,0,5023.097,18044.272,452.295,4001.282,2194.374,2197.863,295.736,3101.107,1514.364,403.069,2144.686,1109.879,92.648,59.463,8216.833,1267.419,0.513,2061.864,188.078,328.194,3086.737,1905.49,7616.612,14550.829,562.542,42.836,181.126,2627.525,9925.607,0,1963.148,76.213,2570.226,5396.394,4051.302,579.611,92.672,3393.889,16416.637,653.861,5038.002,4391.385,571.427,3.717,2440.929,0,4474.654,2192.739,4430.036,5896.73,32670.151,12045.693,40167.977,1053.114,202.586,1403.434,590.192,92.769,1966.242,86.924,0.506,232.407,788.402,14.795,352.062,450.637,2320.519,219.012,45.238,956.383,0.228,533.995,10297.982,3.584,18.659,488.938,130.854,8318.252,2382.183,271.22,38.285,25.294,36.577,141.363,0,3436.652,942.039,11.097,4630.982,80.76,8508.652,755.415,1494.862,1.482,334.112,5434.325,12473.978,563.672
"2060",81.88,810.017,660.085,155.14,1774.633,3336.039,780.069,9866.157,51.193,1277.502,6519.446,16234.624,361.208,2882.41,2453.161,11359.704,222.088,92.216,3857.61,607.292,287.208,1137.877,19130.873,789.356,8524.668,2385.932,650.025,511.126,25.166,48.433,4447.846,332.629,102.624,20588.356,3370.783,5884.475,836.009,8166.285,1658.584,7700.941,6605.502,7441.121,66954.772,38101.523,2946.403,151.724,3931.79,3323.542,531.818,4102.13,971.426,15146.294,3197.008,559.479,190.313,678.151,1641.019,241.91,3673.595,7655.178,1316.114,10.707,1312.756,2897.002,4879.324,103.442,2284.592,86.217,22.937,1454.511,1890.168,20075.487,69.107,12474.763,1142.666,16302.263,4465.558,6492.421,0,399.645,39.202,0,0.855,28528.319,24.14,29.106,8199.254,14226.483,389.899,10966.486,2205.11,22329.516,3281.568,44.219,3092.518,4927.307,1138.96,5436.996,7775.559,3190.547,985.921,4337.131,1054.373,2612.553,2582.969,1554.289,22.265,4901.195,0,396.254,0,4880.927,18383.714,510.088,4662.725,2717.816,2663.86,308.636,3331.683,1559.656,683.593,2296.655,1191.238,94.947,74.831,8775.876,1346.742,0.509,2137.332,181.475,446.806,3223.458,2274.34,8054.085,17111.786,704.022,51.318,283.336,3460.694,11904.496,6.704,2130.102,95.075,2752.282,6211.882,4347.751,641.412,96.604,3456.236,15665.129,655.798,5108.32,4423.911,554.179,4.078,3427.416,0,4671.576,2430.769,4126.869,5081.627,26128.667,11489.988,29793.018,1253.978,194.346,1229.447,612.4,96.391,2100.675,96.106,0.576,254.616,786.059,25.908,352.075,571.63,2582.118,258.835,53.275,1027.988,0.295,688.069,12478.951,12.069,34.592,442.29,130.395,8503.294,2538.61,275.332,37.861,23.768,35.222,138.371,0,3749.998,986.72,13.077,4307.366,84.018,8626.084,767.68,1503.465,1.466,341.215,5667.935,12701.987,588.294
"2070",86.485,838.527,1008.437,216.494,1505.345,3129.502,1207.294,13301.249,48.568,1692.605,8895.702,20078.605,443.006,3610.135,2311.959,12256.618,224.388,93.731,3764.811,592.328,295.832,1108.949,18639.563,773.527,8329.347,2406.258,670.956,539.522,26.316,49.446,4648.638,369.606,107.957,21139.004,3278.897,5774.478,866.94,11640.977,2265.817,11645.67,9764.754,9703.618,72258.43,43539.756,3019.295,172.633,3994.051,3285.225,534.965,4350.883,985.215,15883.665,3377.865,545.689,197.049,666.953,1614.755,240.13,3626.547,8129.684,1454.286,10.846,1387.326,3042.695,7112.622,105.193,2330.382,90.302,24.566,1475.425,1966.498,20300.984,75.187,12844.623,1212.907,16283.296,4627.969,6540.88,0,375.858,36.04,0,0.926,27087.915,22.82,28.388,7671.185,13939.064,403.787,10230.407,2074.822,20727.901,3236.774,42.278,3238.843,5265.399,1226.722,7613.972,8217.27,3296.707,1060.305,5753.783,1703.443,2819.496,2799.49,1722.439,36.201,5332.102,0,644.741,0,4744.241,19668.182,568.981,5251.997,3256.786,3079.449,318.865,3522.559,1582.296,1236.141,2450.473,1273.001,95.739,90.945,9239.255,1415.541,0.507,2181.808,176.875,633.883,3282.041,2588.353,8304.224,18614.246,792.667,58.564,430.598,4433.271,12980.048,8.709,2244.566,100.137,2837.189,7029.096,4595.557,667.021,99.03,3477.995,14797.892,662.661,4951.253,4487.805,547.626,4.353,4915.247,0,4767.341,2543.739,4451.368,5702.627,26494.923,10728.009,28712.553,1435.12,194.261,1200.779,624.676,98.822,2187.979,108.934,0.619,272.243,792.926,30.308,358.508,724.56,2783.187,302.313,60.412,1115.759,0.409,946.644,14904.049,45.229,52.968,386.033,130.803,8687.494,2652.692,279.277,38.521,22.606,34.78,136.444,0,3955.733,1051.028,14.293,4317.345,84.492,8708.077,781.095,1528.787,1.624,342.714,5692.991,12780.047,614.251
"2080",87.054,863.584,1295.055,300.7,1361.537,3045.224,1504.149,16919.041,43.679,2275.104,11434.948,23562.718,535.231,4371.892,2179.299,12882.968,237.283,91.592,3632.053,567.639,301.892,1065.735,18098.992,742.862,8083.347,2376.637,691.153,543.174,26.696,51.322,4749.23,392.511,111.93,21366.104,3190.409,5571.37,880.487,15761.015,2881.422,14801.638,13206.465,11445.363,72566.653,45573.649,3018.649,180.382,4052.811,3172.017,520.089,4444.582,961.188,16630.332,3505.795,540.157,200.348,662.642,1559.456,236.299,3585.652,8383.819,1560.358,11.072,1441.843,3171.011,9798.494,104.832,2363.116,94.405,25.233,1470.542,2020.951,20340.071,77.658,13043.085,1262.054,16205.982,4749.196,6514.597,0,342.814,32.455,0,0.955,24960.43,20.927,26.01,7104.98,12790.02,441.265,9332.644,1989.01,18750.196,2982.018,39.425,3365.852,5496.791,1272.546,7708.1,8621.121,3316.858,1081.727,6423.215,2674.519,2952.672,2966.07,1829.133,60.842,5656.91,0,711.704,0,4598.17,21180.983,615.843,5758.599,3978.48,3439.35,323.968,3635.262,1596.389,1865.514,2575.568,1340.89,93.701,104.838,9349.023,1444.015,0.503,2197.598,170.348,700.046,3323.057,2799.5,8343.694,19491.996,849.348,61.148,570.456,5294.768,13213.75,8.262,2287.51,98.039,2854.896,7865.575,4614.066,673.318,102.876,3459.685,13908.42,655.797,4809.615,4476.218,531.561,4.486,7401.161,0,4769.38,2571.706,4718.605,6082.294,26894.535,9871.851,27656.656,1571.878,196.542,1201.3,625.484,99.765,2245.709,118.958,0.648,280.287,794.594,31.03,353.212,949.2,2954.294,343.61,68.458,1165.475,0.569,1293.505,17138.842,70.895,65.205,332.245,128.338,8619.106,2655.072,272.415,38.222,21.149,33.839,133.912,0,4048.593,1090.102,42.841,4193.04,85.556,8609.426,776.119,1516.959,1.574,332.007,5564.15,12874.654,619.306
"2090",96.709,858.391,1320.055,279.553,1199.091,3046.929,1428.475,19166.845,41.528,2889.457,13862.636,26320.5,621.22,5434.169,2051.558,13083.38,225.46,87.855,3472.273,541.348,310.84,1017.265,17508.965,704.503,7784.317,2336.558,693.651,537.453,27.002,50.683,4746.843,398.874,113.459,21226.288,3058.763,5332.946,871.917,20513.372,3489.109,17233.648,16318.364,12924.36,71274.981,46827.443,3134.727,189.369,4072.43,3016.249,496.082,4442.178,925.502,17248.796,3600.177,524.575,197.328,640.135,1490.8,230.449,3556.748,8380.49,1613.718,11.141,1448.24,3213.831,12675.375,102.971,2343.221,96.322,25.993,1443.949,2022.782,20116.713,79.82,13032.402,1291.872,16033.48,4836.882,6455.24,0,325.362,30.568,0,0.955,23566.004,19.874,25.093,6833.232,12242.514,440.866,8820.005,1963.255,17461.777,2856.908,37.441,3446.949,5646.315,1262.239,5866.878,8974.67,3261.259,1081.091,7218.721,4017.145,3036.786,3082.526,1932.245,79.585,5826.563,0,783.904,0,4438.782,22684.934,688.784,6182.586,4803.239,3722.933,327.196,3712.876,1594.674,2667.877,2662.639,1397.548,91.172,118.525,9556.371,1459.212,0.495,2174.956,163.617,639.76,3294.46,2912.492,8212.78,19975.031,881.087,60.32,685.354,6191.404,13154.246,7.748,2200.152,92.964,2812.549,8695.428,4576.096,689.226,102.6,3418.741,13009.311,651.905,4746.008,4405.901,516.437,4.442,9941.69,0,4631.615,2573.309,4987.576,6567.983,27060.495,9039.856,26633.902,1683.822,193.909,1195.998,623.68,98.82,2309.939,125.339,0.644,281.522,778.732,31.447,347.163,1152.253,3083.209,374.47,72.056,1204.507,0.713,1611.513,19016.676,94.49,75.283,302.559,124.749,8449.383,2620.972,264.888,36.552,19.12,32.104,129.354,0,4090.971,1112.116,54.356,3974.702,84.41,8411.71,761.869,1486.484,1.538,327.721,5537.095,12726.429,612.926
"2100",100.3,924.057,2053.493,400.556,697.481,2509.891,2488.969,23606.525,40.693,2937.914,16024.47,31610.548,688.399999999999,5793.31,1888.353,14947.36,231.288,98.2760000000001,3486.414,547.436,321.704,1022.165,17165.633,726.04,7743.38399999999,2467.236,733.749,624.71,29.766,52.485,5251.014,480.537,123.956,22790.948,3003.239,5444.48700000001,959.733,22065.053,4087.516,23479.857,19242.51,16491.109,88169.4039999999,59854.455,3237.971,235.36,4180.834,3170.274,544.406,5097.14199999999,1026.582,18095.778,3920.436,504.319,217.257,633.359,1535.963,234.79,3485.403,9553.20200000001,1868.802,11.263,1611.036,3479.774,13812.516,110.446,2467.752,102.557,29.453,1538.167,2195.488,20977.475,93.4269999999999,13954.203,1423.63,16226.395,5115.202,6686.257,0,304.497,26.554,0,1.139,22766.703,18.86,26.234,6086.978,13076.807,445.451,8022.17000000001,1683.958,15923.056,3102.392,36.455,3677.818,6279.675,1490.008,14144.9,9542.403,3615.187,1283.457,10003.739,3650.65299999999,3440.325,3449.053,2226.889,78.0089999999999,6624.823,0,1390.202,0,4334.18300000001,23521.586,745.66,7019.813,4873.69599999999,4326.216,349.552,4095.187,1650.216,2893.785,2911.927,1518.29,98.115,139.287,10629.392,1621.938,0.501,2315.236,163.075,1195.114,3457.79,3530.392,9054.641,23121.626,1058.602,80.302,872.383999999999,7351.00199999999,16206.704,14.724,2587.958,115.323,3091.91,9480.738,5338.975,743.848,106.308,3543.272,12196.181,683.25,4480.05199999999,4679.487,527.967,5.178,9378.73999999999,0,5054.636,2882.649,5424.865,7565.627,27593.691,8442.072,25471.158,1978.546,194.006,1114.775,661.504000000001,106.115,2449.891,147.418,0.748,325.124,813.527,43.508,377.807,1183.35,3386.394,432.747,81.823,1379.072,0.750999999999999,1722.369,22179.343,144.709,108.096,217.262,132.027,9240.094,2994.938,291.112,40.501,19.12,33.454,130.663,0,4572.938,1243.952,17.941,4347.282,85.9140000000001,8954.056,821.339999999999,1604.753,2.098,347.211,5768.159,13014.227,692.122
