"","50|MEA","30|MEA","50|SAS","30|SAS","30|FSU","10|FSU","10|SAS","67|SAS","148|CHN","13|AFR","57|AFR","38|AFR","6|AFR","161|AFR","0|EEU","14|MEA","93|LAM","139|LAM","100|LAM","137|LAM","76|LAM","84|LAM","75|LAM","111|LAM","155|LAM","31|FSU","22|PAO","21|PAO","19|PAO","20|PAO","18|PAO","91|PAO","149|PAO","48|WEU","39|WEU","39|EEU","48|EEU","96|AFR","158|AFR","95|AFR","8|AFR","7|AFR","53|SAS","65|SAS","24|SAS","24|PAS","28|LAM","106|EEU","106|FSU","42|FSU","51|FSU","32|LAM","9|LAM","152|LAM","101|LAM","99|LAM","125|LAM","113|LAM","46|LAM","29|LAM","73|PAS","53|CHN","107|AFR","80|AFR","78|AFR","109|NAM","52|NAM","81|NAM","103|NAM","36|NAM","126|NAM","90|NAM","63|NAM","142|NAM","17|NAM","153|NAM","47|WEU","119|WEU","67|CHN","54|CHN","77|CHN","118|CHN","105|CHN","159|CHN","70|CHN","88|CHN","62|CHN","61|CHN","60|CHN","162|CHN","11|CHN","35|CHN","98|CHN","123|CHN","37|LAM","83|LAM","108|LAM","82|AFR","33|LAM","85|WEU","41|WEU","121|AFR","5|AFR","145|WEU","4|MEA","3|MEA","3|AFR","87|MEA","95|MEA","78|MEA","134|LAM","116|LAM","96|MEA","5|MEA","85|MEA","120|MEA","40|MEA","4|WEU","45|WEU","86|WEU","130|AFR","127|WEU","51|WEU","127|FSU","140|PAS","49|WEU","68|WEU","128|WEU","25|FSU","26|FSU","129|AFR","0|WEU","144|PAS","114|PAS","72|PAS","143|PAS","110|PAS","69|PAS","124|SAS","66|SAS","12|SAS","70|PAS","70|SAS","31|MEA","151|MEA","34|MEA","115|MEA","64|WEU","150|WEU","71|PAO","154|FSU","146|FSU","105|FSU","77|FSU","54|FSU","1|AFR","148|FSU","59|PAS","88|PAS","88|RCPA","59|RCPA","156|RCPA","98|PAS","61|RCPA","141|SAS","39|FSU","43|FSU","27|LAM","97|LAM","122|LAM","54|RCPA","105|RCPA","160|RCPA","160|FSU","11|RCPA","11|FSU","2|AFR","135|AFR","4|AFR","92|AFR","94|PAO","115|SAS","15|SAS","117|PAS","112|PAS","133|PAS","28|NAM","132|FSU","157|FSU","44|FSU","23|FSU","74|FSU","131|FSU","79|FSU","123|FSU","71|FSU","26|WEU","151|WEU","31|WEU","147|PAS","104|NAM","27|NAM","55|NAM","97|NAM","33|NAM","122|NAM","56|NAM","58|NAM","136|AFR"
"2010",59.572,125.169,49.533,7.355,204.303,935.377,33.448,1456.15,265.811,29.346,117.006,218.458,50.44,144.944,445.683,410.852,66.034,19.558,82.117,38.915,46.168,45.193,430.008,74.726,206.712,592.55,37.011,20.475,9.611,12.304,153.747,90.013,9.104,1261.249,291.987,1567.096,117.006,774.841,61.947,338.877,95.766,173.787,10901.372,8759.562,336.991,47.843,909.442,869.995,77.43,556.756,84.034,991.943,666.333,103.605,39.19,76.712,119.439,54.714,57.772,547.218,586.379,56.09,202.536,231.462,149.774,18.008,97.365,36.204,12.161,204.471,175.871,2976.923,31.48,958.686,159.191,701.453,334.275,1170.587,4.014,296.933,50.805,3.013,12.728,7865.189,176.132,120.098,2292.303,3318.004,180.857,1562.927,1583.775,2350.628,967.771,40.873,227.141,321.385,180.212,193.462,847.136,228.199,113.458,150.537,32.392,105.03,259.524,487.37,23.04,273.332,0.693,31.61,0.394,118.938,2417.488,212.36,263.612,367.439,221.766,10.994,548.669,243.028,60.764,118.027,39.104,26.513,9.716,1074.043,182.101,1.329,262.119,80.433,86.944,307.233,1305.405,578.45,2360.828,473.951,47.688,91.589,1621.366,1524.477,8.022,182.554,16.06,304.442,657.303,652.566,302.015,4.211,376.347,3996.213,96.388,719.492,497.09,19.362,3.734,277.937,0.83,580.721,736.534,727.763,891.336,2314.024,993.074,1965.473,248.095,53.634,155.609,73.573,13.766,168.87,12.883,0.043,4.947,129.683,4.473,103.159,31.002,445.368,36.221,5.597,45.38,6.338,18.814,2142.4,2.89,0.94,5.188,26.684,885.297,381.23,95.426,2.607,0.036,44.149,9.968,0.682,734.347,252.818,63.482,706.107,21.62,207.632,74.805,132.107,5.641,50.866,465.079,1301.323,11.542
"2020",66.565,127.241,75.82,12.467,228.965,1063.713,53.346,1811.753,370.522,80.019,215.495,503.816,70.066,270.365,396.044,491.042,77.753,25.213,82.328,43.167,47.772,37.66,400.278,66.431,173.894,538.11,38.755,20.433,11.227,13.943,137.843,91.454,9.791,1209.58,276.542,1392.86,107.151,1477.639,165.008,915.827,218.509,413.52,12795.661,11059.324,384.363,82.394,724.542,781.473,71.674,531.617,82.466,991.17,729.549,106.25,40.997,64.307,116.647,54.902,47.281,477.748,735.411,71.51,232.285,234.511,359.654,17.389,79.195,33.927,12.111,190,173.216,2785.292,31.991,846.655,170.531,514.988,299.046,1057.074,4.974,423.255,69.737,3.784,17.835,9315.994,241.781,165.525,2925.675,4455.315,243.106,1755.136,2192.409,2363.272,1392.528,56.703,285.595,347.867,174.269,255.066,824.807,217.935,127.029,359.378,61.851,95.749,270.797,579.575,34.888,267.336,0.956,46.504,0.536,126.399,2750.568,258.09,334.39,406.317,268.009,7.158,487.298,229.849,136.347,105.169,35.013,25.471,13.279,962.926,171.18,1.073,194.034,75.884,116.061,258.946,1661.556,604.144,2507.91,595.924,61.433,155.362,2109.495,1888.163,10.486,355.096,19.612,279.852,745.73,669.317,276.772,2.058,343.246,3430.618,100.218,766.517,484.517,20.56,3.685,558.453,1.021,604.135,810.012,896.518,992.846,2502.565,885.922,1796.318,360.536,44.952,148.834,83.141,15.372,149.156,19.798,0.067,4.544,126.149,6.777,100.524,57.515,511.893,45.959,6.656,43.944,8.845,25.103,2431.514,11.631,3.794,0.753,21.233,809.087,363.802,93.556,2.605,0.019,40.372,9.655,0.688,847.785,274.539,77.67,617.473,21.705,178.53,69.911,124.255,5.21,45.259,432.364,1172.267,14.346
"2030",74.949,127.461,114.788,20.358,240.675,1209.695,73.559,2156.187,400.203,94.242,252.106,835.003,78.867,440.622,354.208,520.888,75.24,26.884,73.58,27.589,39.348,31.644,372.273,54.465,156.628,478.452,34.612,19.361,11.655,14.917,120.611,90.688,10.487,1064.225,241.147,1239.056,95.804,2278.379,264.018,1504.031,314.837,630.153,13723.667,12980.293,453.249,102.729,688.879,683.713,60.005,482.794,75.197,1009.784,744.088,109.25,42.889,58.504,114.056,56.32,40.688,423.676,851.882,74.541,239.247,221.865,519.405,16.025,65.472,32.628,11.851,174.208,161.13,2533.274,31.209,721.908,157.973,389.535,259.372,919.79,5.399,472.362,73.017,3.681,18.9,8267.221,249.711,166.969,2885.037,4564.417,258.757,1472.833,2429.637,2062.434,1606.372,62.014,277.402,331.577,156.924,440.357,802.9,219.766,120.244,572.143,97.792,84.276,296.78,652.693,49.529,230.449,1.038,64.441,0.566,124.077,3057.995,297.065,408.637,522.134,313.585,6.39,430.313,207.901,214.622,94.5,30.414,24.191,15.39,823.671,157.242,0.99,132.993,66.627,151,229.531,1914.964,602.502,2432.348,693.027,72.329,200.763,2596.525,2151.983,12.863,434.626,22.635,231.727,781.585,706.366,262.048,1.563,303.888,2876.419,103.714,762.757,467.677,21.683,3.399,856.861,1.202,631.488,835.114,1006.723,1052.884,2627.223,753.146,1580.507,435.036,39.12,133.406,95.688,17.415,160.764,21.689,0.045,3.378,116.515,8.703,92.046,78.616,536.377,59.844,8.074,40.874,12.154,33.413,2756.126,19.196,6.272,0.441,20.471,713.583,341.764,88.404,2.648,0.02,33.787,8.301,0.725,871.562,256.523,86.703,519.554,19.297,151.584,64.178,114.587,4.974,42.15,400.433,984.881,14.438
"2040",82.596,123.116,168.507,28.844,235.51,1291.176,101.985,2396.837,408.868,101.009,305.721,1633.426,82.214,658.028,319.626,530.717,67.066,26.172,59.144,23.462,34.333,24.358,348.177,41.724,136.236,426.211,31.951,17.795,11.961,11.67,102.287,86.543,11.486,939.073,213.379,1088.146,79.133,3172.783,361.207,2232.07,388.833,834.128,13553.001,14325.108,489.057,115.629,638.619,588.713,49.682,428.974,68.183,1029.969,739.289,111.001,42.42,53.544,111.157,53.376,33.677,361.91,910.035,74.15,236.986,208.378,688.946,14.378,54.223,30.842,10.901,157.791,149.776,2233.098,28.362,577.574,147.981,297.561,228.686,795.781,5.558,474.558,70.185,2.875,18.73,6760.785,239.156,159.298,2644.727,4151.791,255.186,1169.377,2490.753,1690.348,1593.658,62.887,260.332,311.641,146.547,652.062,763.538,196.36,112.333,799.095,149.113,74.425,291.828,703.527,67.537,192.318,1.291,61.538,0.576,113.201,3278.015,339.768,460.695,640.016,350.738,5.778,375.209,182.947,311.731,85.774,25.924,22.251,17.16,730.813,146.794,0.917,94.203,57.326,196.077,209.203,2042.992,562.65,2205.083,729.888,79.177,243.01,2998.615,2291.642,14.857,462.881,23.816,204.371,814.609,700.453,247.119,1.287,272.901,2354.63,104.339,681.482,435.014,22.906,2.845,1179.813,1.337,627.55,810.132,1029.441,1029.781,2480.437,596.418,1351.059,482.469,32.575,114.696,86.735,7.605,174.01,22.148,0.036,1.677,102.967,9.907,82.799,107.038,538.324,68.617,9.314,38.182,16.148,40.896,3009.632,28.187,5.044,0.29,20.125,607.373,283.838,80.988,2.67,0.019,30.062,7.655,0.785,849.992,233.785,91.175,439.978,18.164,131.929,57.583,105.601,4.659,39.43,371.355,800.084,14.8
"2050",88.024,94.749,229.53,40.419,223.878,1239.616,137.199,2581.331,393.712,116.356,357.03,2549.782,89.985,903.035,286.639,519.738,62.985,14.351,45.436,14.78,31.831,18.206,327.745,30.819,125.09,381.017,32.499,18.313,12.922,11.441,80.305,77.498,11.402,810.933,189.179,948.832,65.617,4082.162,471.236,2979.85,501.744,994.92,12657.948,14819.965,507.939,121.552,582.676,504.257,41.137,370.485,57.271,1019.979,712.345,111.314,29.777,50.553,100.591,51.467,28.821,319.721,914.643,72.043,231.085,203.182,930.54,13.014,46.994,29.416,10.384,142.133,144.229,1940.443,24.244,452.241,131.27,227.658,199.456,678.061,5.61,446.925,64.443,2.584,17.594,5395.665,218.656,144.979,2306.262,3549.845,226.864,952.119,2463.717,1331.923,1520.374,44.859,245.668,277.073,143.404,861.453,720.773,193.584,108.829,983.557,209.569,67,277.797,729.006,87.908,162.377,1.353,55.272,0.596,103.614,3418.988,375.95,460.087,734.293,378.88,5.339,324.266,166.23,423.838,79.255,22.482,20.733,18.66,663.033,137.094,0.867,76.522,48.469,236.859,192.248,2049.753,522.696,1919.004,739.273,81.555,277.913,3252.876,2365.749,16.404,462.276,19.048,158.823,838.698,718.766,245.647,1.242,240.497,1918.863,103.218,619.985,398.841,23.306,2.449,1537.76,1.397,596.434,732.085,1009.28,946.856,2214.273,455.723,1137.856,499.77,26.263,97.691,84,3.688,178.804,21.437,0.022,0.876,92.792,11.187,75.524,139.793,516.754,81.931,10.186,35.48,20.54,49.779,3212.213,36.091,2.896,0.204,18.89,500.102,222.036,73.447,2.523,0.019,27.422,6.163,0.794,742.448,236.722,94.01,358.609,16.622,115.498,52.475,97.086,4.395,36.685,323.542,637.103,15.038
"2060",91.008,69.44,297.52,56.043,208.806,1144.975,165.35,2535.157,355.619,136.672,385.698,3370.118,99.103,1139.061,259.913,496.41,60.441,11.364,32.916,13.692,30.558,14.062,293.671,14.968,109.394,339.089,30.352,16.19,13.167,10.834,65.337,68.735,10.335,695.838,155.015,822.578,55.4,4880.935,557.474,3772.265,610.383,1116.854,11771.366,14483.916,507.67,121.646,521.099,428.464,33.546,319.629,53.481,992.598,664.897,108.727,27.771,46.012,94.018,47.564,24.038,286.587,876.345,69.142,224.09,196.178,1157.867,11.821,40.601,27.658,9.531,126.289,134.196,1656.09,18.84,344.643,114.161,166.5,172.629,575.326,5.424,400.301,58.159,2.219,15.935,4241.01,196.658,130.17,1957.052,2961.699,196.576,763.344,2189.664,995.232,1333.746,39.327,228.241,235.508,129.136,1033.896,606.344,167.251,104.792,1146.726,279.087,60.511,257.03,722.732,110.256,146.842,1.443,70.12,0.633,95.698,3509.863,388.957,435.813,800.424,395.643,4.642,278.323,148.6,536.975,74.214,19.731,19.741,19.345,610.148,128.705,0.839,64.531,40.337,277.816,174.557,1956.571,477.482,1638.175,713.856,83.719,299.568,3424.001,2380.671,15.947,443.505,16.949,128.729,860.692,687.485,229.477,1.165,205.507,1558.615,99.573,546.476,361.641,22.888,2.165,1871.178,1.391,552.655,616.789,917.245,823.54,1902.659,335.505,966.492,494.077,20.722,87.048,85.351,2.386,169.883,21.977,0.015,0.69,81.818,8.317,67.877,164.662,487.418,92.771,10.682,33.087,24.861,58.895,3287.971,42.449,1.521,0.15,17.915,411.801,171.448,68.661,2.248,0.018,25.26,5.494,0.731,643.378,230.92,93.734,298.504,14.975,99.713,47.119,89.148,4.113,33.675,289.643,507.241,15.03
"2070",92.597,62.767,352.774,73.004,192.416,1064.834,191.497,2361.399,315.094,145.006,414.847,4063.232,107.824,1358.399,233.562,455.548,55.553,9.604,23.469,11.063,26.58,11.511,262.33,7.541,97.874,310.265,28.07,14.361,13.055,10.283,54.336,55.987,9.298,607.344,132.854,705.033,46.994,5503.166,643.89,4455.209,705.762,1183.344,10724.56,13557.531,510.363,116.644,460.986,371.932,28.765,268.534,49.812,915.823,612.111,105.838,20.573,41.72,83.721,44.262,20.137,248.549,809.608,65.134,213.429,187.421,1394.132,9.158,33.828,26.341,8.868,112.591,124.514,1392.42,16.374,261.491,92.751,122.646,146.448,479.647,5.141,356.051,51.697,1.889,14.267,3325.809,174.589,115.243,1675.591,2439.501,160.952,627.787,1944.201,750.247,1084.69,35.058,205.034,207.165,118.046,1148.414,534.415,141.112,94.858,1216.255,347.542,53.958,234.462,709.513,123.834,127.717,1.57,19.007,0.655,83.426,3489.375,389.222,409.296,847.871,397.943,4.069,238.544,128.969,625.215,69.049,17.16,18.23,19.425,562.038,118.534,0.822,58.405,33.909,308.486,154.655,1777.729,423.461,1398.586,673.874,82.943,311.925,3378.911,2275.297,16.793,415.389,15.934,111.818,868.828,599.166,220.31,1.231,174.193,1252.137,97.048,458.651,332.626,22.181,1.874,2145.867,1.355,498.802,512.622,815.925,697.724,1628.075,241.106,803.876,471.791,16.589,77.046,85.395,1.872,158.645,20.222,0.012,0.604,73.498,7.658,58.48,175.758,452.328,102.589,10.822,31.287,28.99,65.47,3285.767,40.667,1.447,0.108,16.356,330.255,129.932,62.377,1.604,0.018,20.708,4.867,0.657,558.326,202.595,92.202,272.521,13.586,85.531,42.978,81.717,3.815,29.619,247.361,396.777,14.746
"2080",92.647,40.531,406.558,83.318,146.472,980.566,217.609,2165.263,277.416,148.023,425.854,4558.579,116.214,1521.632,208.385,425.432,38.918,8.451,16.145,9.365,22.639,7.611,242.744,5.576,88.164,279.17,25.829,11.705,12.48,10.094,44.432,44.538,7.047,514.126,112.024,606.391,38.483,5870.271,709.578,4986.314,774.618,1205.086,9506.09,12315.364,487.203,113.273,407.959,316.559,24.227,226.537,42.764,832.522,565.771,97.584,18.124,33.902,76.888,40.778,17.811,206.599,721.607,60.051,204.542,178.595,1616.784,8.232,28.983,24.414,8.359,100.056,114.502,1162.05,14.256,194.575,74.579,91.169,126.752,396.112,4.609,314.148,45.488,1.567,12.537,2532.421,153.657,101.611,1400.89,2037.574,93.382,510.38,1671.499,607.423,946.137,30.726,181.108,178.608,108.905,1203.713,470.668,131.645,87.345,1287.212,416.413,47.517,211.097,704.699,126.645,92.15,1.744,20.414,0.647,69.664,3394.076,385.664,393.189,861.525,395.721,3.24,201.732,111.006,716.484,64.159,14.712,16.782,18.496,487.531,105.162,0.788,51.205,28.541,341.481,139.748,1583.349,374.478,1183.92,632.803,83.211,309.293,3238.109,2044.996,18.808,382.155,14.404,79.494,861.568,549.856,205.712,1.133,146.707,1006.918,90.299,395.002,294.65,22.109,1.713,2282.338,1.294,433.246,428.097,716.003,605.795,1335.914,169.466,652.772,435.202,12.956,67.047,84.449,1.297,150.49,17.855,0.007,0.5,68.045,7.528,53.67,173.157,409.186,110.686,9.454,28.867,33.174,73.807,3213.35,42.611,1.469,0.079,15.189,257.645,97.566,56.725,1.587,0.018,19.689,4.515,0.599,479.99,169.341,72.941,240.738,11.716,73.363,38.699,72.758,3.528,25.668,202.364,303.951,14.133
"2090",86.87,29.954,439.559,99.639,131.619,884.167,236.783,1966.905,248.29,144.868,391.214,4817.054,120.486,1591.525,184.904,388.116,32.407,7.343,10.499,8.189,17.014,5.196,216.677,4.355,75.462,252.859,21.415,10.742,12,9.703,35.33,35.752,4.288,425.148,93.442,524.722,30.329,5948.121,733.675,5403.947,807.237,1203.45,8328.647,10797.654,446.022,106.843,362.661,265.464,19.388,185.478,37.599,767.888,515.343,91.956,16.557,30.574,71.482,37.15,14.059,180.094,638.955,54.606,191.524,169.457,1754.067,7.324,25,22.159,7.199,89.655,102.96,956.869,11.611,144.778,57.598,66.707,111.083,325.069,4.039,280.338,39.816,1.368,11.162,1987.137,135.157,89.372,1184.151,1662.512,68.162,419.921,1417.689,472.848,788.992,26.701,156.292,142.765,99.389,1202.89,399.903,121.762,74.762,1311.26,480.547,41.504,191.895,667.549,130.376,81.557,1.578,21.332,0.608,59.561,3167.281,358.886,373.432,847.089,389.055,2.199,169.252,95.828,792.024,59.324,12.459,15.283,18.021,439.843,94.074,0.761,46.381,24.493,370.87,123.592,1404.594,317.867,1003.198,586.833,80.691,296.681,2932.802,1809.741,21.024,353.125,13.554,62.631,832.408,488.059,174.912,1.082,122.84,804.193,81.653,339.14,259.436,21.493,1.582,2427.008,1.224,377.366,350.577,617.128,496.504,1089.949,118.311,545.847,402.759,10.848,56.434,83.361,1.145,136.623,15.954,0.006,0.46,62.163,7.489,48.479,177.015,367.759,117.669,8.679,26.563,37.631,84.327,3093.4,44.279,0.968,0.062,13.994,196.03,75.276,52.435,1.48,0.018,18.111,4.114,0.545,399.132,141.353,63.352,209.017,10.009,60.422,33.339,64.524,3.265,22.462,170.552,228.832,13.12
"2100",97.364,42.7480000000001,518.536,123.887,143.246,824.411000000001,269.938,1840.125,193.519,170.008,502.294,6142.574,133.987,2016.413,154.509,332.962,40.8890000000001,4.32400000000001,0,3.176,14.646,3.858,168.307,0,63.314,223.793,21.224,8.874,12.719,8.63000000000001,21.333,17.743,6.18700000000001,341.862,66.3710000000001,352.398,21.776,7369.859,903.138,6504.041,991.899,1382.814,7584.14200000001,10778.376,518.442,101.638,280.647,202.336,14.422,115.249,38.805,685.498000000001,453.753,97.1709999999999,0,28.844,52.8300000000001,34.356,8.434,134.435,609.397,53.1100000000001,181.446,161.15,2102.927,1.169,13.509,22.39,6.879,71.497,95.468,601.410000000001,8.97600000000001,12.0350000000004,28.521,0,67.9050000000002,192.61,4.292,223.301,32.311,0.899000000000001,9.26299999999999,580.206000000007,108.382,70.4620000000001,831.208000000003,872.907000000002,54.0800000000002,221.116,1207.812,15.2920000000012,337.522000000001,22.251,135.413,122.136,84.776,1491.968,318.628,62.6950000000002,65.0560000000001,1424.842,552.907,34.299,166.758,669.856,164.568,70.342,1.951,0,0.720999999999999,46.6100000000001,3427.911,390.017,329.745,990.212,404.843,2.35,119.207,70.0760000000001,889.934999999999,53.554,9.447,13.697,19.665,417.708000000001,88.0210000000001,0.771,40.027,14.625,400.496,94.9490000000003,1241.203,261.398,679.819000000001,553.928,80.615,348.996,3243.641,1959.175,19.331,331.041,12.889,61.0850000000001,893.236,334.209,192.809,1.429,80.2510000000003,332.703000000001,89.473,195.176000000001,245.581,20.06,1.001,2969.934,1.247,337.243000000001,200.121,511.965000000001,320.276000000001,804.323000000001,0,316.028000000001,404.933,4.19000000000002,47.0400000000002,85.527,0.330000000000002,124.931,14.957,0.00300000000000001,0.346,48.538,5.68100000000001,30.289,209.046,347.058,132.043,11.242,25.887,41.377,85.195,3279.155,35.321,1.225,0,11.679,85.6170000000004,5.38400000000001,43.525,0,0.018,7.05200000000002,2.986,0.435000000000001,303.170000000001,117.62,87.606,194.572,9.41900000000001,42.985,30.555,59.4240000000001,2.921,17.451,120.515,65.3850000000003,13.894
