# Activity (driving distance) per light-duty vehicle
#
# Source: duplicate of R11/ldv-activity.csv; see comments there. The
# value for R11_FSU is repeated for R14_{CAS,RUS,SCS,UBM}.
#
# Unit: kilometre / year
#
scenario, node,    year, value
*,        R14_AFR, 2020, 10391
*,        R14_AFR, 2110, 10391
*,        R14_CPA, 2020, 16000
*,        R14_CPA, 2110, 16000
*,        R14_EEU, 2020,  8962
*,        R14_EEU, 2110,  8962
*,        R14_LAM, 2020, 14600
*,        R14_LAM, 2110, 14600
*,        R14_MEA, 2020, 14000
*,        R14_MEA, 2110, 14000
*,        R14_NAM, 2020, 25860
*,        R14_NAM, 2110, 25860
*,        R14_PAO, 2020, 10000
*,        R14_PAO, 2110, 10000
*,        R14_PAS, 2020, 12000
*,        R14_PAS, 2110, 12000
*,        R14_RUS, 2020, 11482
*,        R14_RUS, 2110, 11482
*,        R14_SAS, 2020, 10400
*,        R14_SAS, 2110, 10400
*,        R14_WEU, 2020, 11646
*,        R14_WEU, 2110, 11646
*,        R14_CAS, 2020, 11482
*,        R14_CAS, 2110, 11482
*,        R14_SCS, 2020, 11482
*,        R14_SCS, 2110, 11482
*,        R14_UBM, 2020, 11482
*,        R14_UBM, 2110, 11482
