BCU,value,year,scenario,crop,unit,time
2,0,2040,baseline,others,km3,3
2,0,2040,baseline,others,km3,4
2,0,2040,baseline,others,km3,5
2,0,2040,baseline,others,km3,6
2,0,2040,baseline,others,km3,7
2,0,2040,baseline,others,km3,8
2,0,2040,baseline,others,km3,9
2,0,2040,baseline,others,km3,10
2,0,2040,baseline,others,km3,11
2,0,2040,baseline,others,km3,12
2,0,2040,baseline,rice,km3,1
2,0,2040,baseline,rice,km3,2
2,0,2040,baseline,rice,km3,6
2,0,2040,baseline,rice,km3,7
2,0,2040,baseline,rice,km3,8
2,0,2040,baseline,rice,km3,9
2,0,2040,baseline,rice,km3,10
2,0,2040,baseline,rice,km3,11
2,0,2040,baseline,rice,km3,12
2,0,2040,baseline,sugarcane,km3,1
2,0,2040,baseline,sugarcane,km3,2
2,0,2040,baseline,sugarcane,km3,3
2,0,2040,baseline,sugarcane,km3,4
2,0,2040,baseline,wheat,km3,1
2,0,2040,baseline,wheat,km3,2
2,0,2040,baseline,wheat,km3,3
2,0,2040,baseline,wheat,km3,4
2,0,2040,baseline,wheat,km3,5
2,0,2040,baseline,wheat,km3,10
2,0,2040,baseline,wheat,km3,11
2,0,2040,baseline,wheat,km3,12
2,0,2050,baseline,barley,km3,1
2,0,2050,baseline,barley,km3,2
2,0,2050,baseline,barley,km3,3
2,0,2050,baseline,barley,km3,4
2,0,2050,baseline,barley,km3,5
2,0,2050,baseline,barley,km3,6
2,0,2050,baseline,barley,km3,11
2,0,2050,baseline,barley,km3,12
2,0,2050,baseline,maize,km3,1
2,0,2050,baseline,maize,km3,2
2,0,2050,baseline,maize,km3,3
2,0,2050,baseline,maize,km3,6
2,0,2050,baseline,maize,km3,7
2,0,2050,baseline,maize,km3,8
2,0,2050,baseline,maize,km3,9
2,0,2050,baseline,maize,km3,10
2,0,2050,baseline,maize,km3,11
2,0,2050,baseline,maize,km3,12
2,0,2050,baseline,others,km3,1
2,0,2050,baseline,others,km3,2
2,0,2050,baseline,others,km3,3
2,0,2050,baseline,others,km3,4
2,0,2050,baseline,others,km3,5
2,0,2050,baseline,others,km3,6
2,0,2050,baseline,others,km3,7
2,0,2050,baseline,others,km3,8
2,0,2050,baseline,others,km3,9
2,0,2050,baseline,others,km3,10
2,0,2050,baseline,others,km3,11
2,0,2050,baseline,others,km3,12
2,0,2050,baseline,rice,km3,2
2,0,2050,baseline,rice,km3,6
2,0,2050,baseline,rice,km3,7
2,0,2050,baseline,rice,km3,8
2,0,2050,baseline,rice,km3,9
2,0,2050,baseline,rice,km3,10
2,0,2050,baseline,rice,km3,11
2,0,2050,baseline,rice,km3,12
2,0,2050,baseline,sugarcane,km3,1
2,0,2050,baseline,sugarcane,km3,2
2,0,2050,baseline,sugarcane,km3,3
2,0,2050,baseline,sugarcane,km3,4
2,0,2050,baseline,wheat,km3,1
2,0,2050,baseline,wheat,km3,2
2,0,2050,baseline,wheat,km3,3
2,0,2050,baseline,wheat,km3,4
2,0,2050,baseline,wheat,km3,5
2,0,2050,baseline,wheat,km3,10
2,0,2050,baseline,wheat,km3,11
