node_origin,node_loc,technology,year_vtg,year_act,mode,commodity,level,value,time,time_origin,unit
R12_AFR,R12_AFR,LNG_tanker_LNG,broadcast,broadcast,AFR-RCPA,LNG,primary,1.85E-06,year,year,GWa
R12_AFR,R12_AFR,LNG_tanker_LNG,broadcast,broadcast,AFR-CHN,LNG,primary,1.85E-06,year,year,GWa
R12_AFR,R12_AFR,LNG_tanker_LNG,broadcast,broadcast,AFR-EEU,LNG,primary,1.85E-06,year,year,GWa
R12_AFR,R12_AFR,LNG_tanker_LNG,broadcast,broadcast,AFR-FSU,LNG,primary,1.85E-06,year,year,GWa
R12_AFR,R12_AFR,LNG_tanker_LNG,broadcast,broadcast,AFR-LAM,LNG,primary,1.85E-06,year,year,GWa
R12_AFR,R12_AFR,LNG_tanker_LNG,broadcast,broadcast,AFR-MEA,LNG,primary,1.85E-06,year,year,GWa
R12_AFR,R12_AFR,LNG_tanker_LNG,broadcast,broadcast,AFR-NAM,LNG,primary,1.85E-06,year,year,GWa
R12_AFR,R12_AFR,LNG_tanker_LNG,broadcast,broadcast,AFR-PAO,LNG,primary,1.85E-06,year,year,GWa
R12_AFR,R12_AFR,LNG_tanker_LNG,broadcast,broadcast,AFR-PAS,LNG,primary,1.85E-06,year,year,GWa
R12_AFR,R12_AFR,LNG_tanker_LNG,broadcast,broadcast,AFR-SAS,LNG,primary,1.85E-06,year,year,GWa
R12_AFR,R12_AFR,LNG_tanker_LNG,broadcast,broadcast,AFR-WEU,LNG,primary,1.85E-06,year,year,GWa
R12_RCPA,R12_RCPA,LNG_tanker_LNG,broadcast,broadcast,RCPA-AFR,LNG,primary,5.32E-06,year,year,GWa
R12_RCPA,R12_RCPA,LNG_tanker_LNG,broadcast,broadcast,RCPA-CHN,LNG,primary,5.32E-06,year,year,GWa
R12_RCPA,R12_RCPA,LNG_tanker_LNG,broadcast,broadcast,RCPA-EEU,LNG,primary,5.32E-06,year,year,GWa
R12_RCPA,R12_RCPA,LNG_tanker_LNG,broadcast,broadcast,RCPA-FSU,LNG,primary,5.32E-06,year,year,GWa
R12_RCPA,R12_RCPA,LNG_tanker_LNG,broadcast,broadcast,RCPA-LAM,LNG,primary,5.32E-06,year,year,GWa
R12_RCPA,R12_RCPA,LNG_tanker_LNG,broadcast,broadcast,RCPA-MEA,LNG,primary,5.32E-06,year,year,GWa
R12_RCPA,R12_RCPA,LNG_tanker_LNG,broadcast,broadcast,RCPA-NAM,LNG,primary,5.32E-06,year,year,GWa
R12_RCPA,R12_RCPA,LNG_tanker_LNG,broadcast,broadcast,RCPA-PAO,LNG,primary,5.32E-06,year,year,GWa
R12_RCPA,R12_RCPA,LNG_tanker_LNG,broadcast,broadcast,RCPA-PAS,LNG,primary,5.32E-06,year,year,GWa
R12_RCPA,R12_RCPA,LNG_tanker_LNG,broadcast,broadcast,RCPA-SAS,LNG,primary,5.32E-06,year,year,GWa
R12_RCPA,R12_RCPA,LNG_tanker_LNG,broadcast,broadcast,RCPA-WEU,LNG,primary,5.32E-06,year,year,GWa
R12_CHN,R12_CHN,LNG_tanker_LNG,broadcast,broadcast,CHN-AFR,LNG,primary,6.48E-07,year,year,GWa
R12_CHN,R12_CHN,LNG_tanker_LNG,broadcast,broadcast,CHN-RCPA,LNG,primary,6.48E-07,year,year,GWa
R12_CHN,R12_CHN,LNG_tanker_LNG,broadcast,broadcast,CHN-EEU,LNG,primary,6.48E-07,year,year,GWa
R12_CHN,R12_CHN,LNG_tanker_LNG,broadcast,broadcast,CHN-FSU,LNG,primary,6.48E-07,year,year,GWa
R12_CHN,R12_CHN,LNG_tanker_LNG,broadcast,broadcast,CHN-LAM,LNG,primary,6.48E-07,year,year,GWa
R12_CHN,R12_CHN,LNG_tanker_LNG,broadcast,broadcast,CHN-MEA,LNG,primary,6.48E-07,year,year,GWa
R12_CHN,R12_CHN,LNG_tanker_LNG,broadcast,broadcast,CHN-NAM,LNG,primary,6.48E-07,year,year,GWa
R12_CHN,R12_CHN,LNG_tanker_LNG,broadcast,broadcast,CHN-PAO,LNG,primary,6.48E-07,year,year,GWa
R12_CHN,R12_CHN,LNG_tanker_LNG,broadcast,broadcast,CHN-PAS,LNG,primary,6.48E-07,year,year,GWa
R12_CHN,R12_CHN,LNG_tanker_LNG,broadcast,broadcast,CHN-SAS,LNG,primary,6.48E-07,year,year,GWa
R12_CHN,R12_CHN,LNG_tanker_LNG,broadcast,broadcast,CHN-WEU,LNG,primary,6.48E-07,year,year,GWa
R12_EEU,R12_EEU,LNG_tanker_LNG,broadcast,broadcast,EEU-AFR,LNG,primary,8.42E-07,year,year,GWa
R12_EEU,R12_EEU,LNG_tanker_LNG,broadcast,broadcast,EEU-RCPA,LNG,primary,8.42E-07,year,year,GWa
R12_EEU,R12_EEU,LNG_tanker_LNG,broadcast,broadcast,EEU-CHN,LNG,primary,8.42E-07,year,year,GWa
R12_EEU,R12_EEU,LNG_tanker_LNG,broadcast,broadcast,EEU-FSU,LNG,primary,8.42E-07,year,year,GWa
R12_EEU,R12_EEU,LNG_tanker_LNG,broadcast,broadcast,EEU-LAM,LNG,primary,8.42E-07,year,year,GWa
R12_EEU,R12_EEU,LNG_tanker_LNG,broadcast,broadcast,EEU-MEA,LNG,primary,8.42E-07,year,year,GWa
R12_EEU,R12_EEU,LNG_tanker_LNG,broadcast,broadcast,EEU-NAM,LNG,primary,8.42E-07,year,year,GWa
R12_EEU,R12_EEU,LNG_tanker_LNG,broadcast,broadcast,EEU-PAO,LNG,primary,8.42E-07,year,year,GWa
R12_EEU,R12_EEU,LNG_tanker_LNG,broadcast,broadcast,EEU-PAS,LNG,primary,8.42E-07,year,year,GWa
R12_EEU,R12_EEU,LNG_tanker_LNG,broadcast,broadcast,EEU-SAS,LNG,primary,8.42E-07,year,year,GWa
R12_EEU,R12_EEU,LNG_tanker_LNG,broadcast,broadcast,EEU-WEU,LNG,primary,8.42E-07,year,year,GWa
R12_FSU,R12_FSU,LNG_tanker_LNG,broadcast,broadcast,FSU-AFR,LNG,primary,2.28E-06,year,year,GWa
R12_FSU,R12_FSU,LNG_tanker_LNG,broadcast,broadcast,FSU-RCPA,LNG,primary,2.28E-06,year,year,GWa
R12_FSU,R12_FSU,LNG_tanker_LNG,broadcast,broadcast,FSU-CHN,LNG,primary,2.28E-06,year,year,GWa
R12_FSU,R12_FSU,LNG_tanker_LNG,broadcast,broadcast,FSU-EEU,LNG,primary,2.28E-06,year,year,GWa
R12_FSU,R12_FSU,LNG_tanker_LNG,broadcast,broadcast,FSU-LAM,LNG,primary,2.28E-06,year,year,GWa
R12_FSU,R12_FSU,LNG_tanker_LNG,broadcast,broadcast,FSU-MEA,LNG,primary,2.28E-06,year,year,GWa
R12_FSU,R12_FSU,LNG_tanker_LNG,broadcast,broadcast,FSU-NAM,LNG,primary,2.28E-06,year,year,GWa
R12_FSU,R12_FSU,LNG_tanker_LNG,broadcast,broadcast,FSU-PAO,LNG,primary,2.28E-06,year,year,GWa
R12_FSU,R12_FSU,LNG_tanker_LNG,broadcast,broadcast,FSU-PAS,LNG,primary,2.28E-06,year,year,GWa
R12_FSU,R12_FSU,LNG_tanker_LNG,broadcast,broadcast,FSU-SAS,LNG,primary,2.28E-06,year,year,GWa
R12_FSU,R12_FSU,LNG_tanker_LNG,broadcast,broadcast,FSU-WEU,LNG,primary,2.28E-06,year,year,GWa
R12_LAM,R12_LAM,LNG_tanker_LNG,broadcast,broadcast,LAM-AFR,LNG,primary,4.52E-06,year,year,GWa
R12_LAM,R12_LAM,LNG_tanker_LNG,broadcast,broadcast,LAM-RCPA,LNG,primary,4.52E-06,year,year,GWa
