node_loc,technology,year_vtg,year_act,value,unit,time
R12_AFR,fuel_bunker,broadcast,broadcast,1,%,year
R12_RCPA,fuel_bunker,broadcast,broadcast,1,%,year
R12_CHN,fuel_bunker,broadcast,broadcast,1,%,year
R12_EEU,fuel_bunker,broadcast,broadcast,1,%,year
R12_FSU,fuel_bunker,broadcast,broadcast,1,%,year
R12_LAM,fuel_bunker,broadcast,broadcast,1,%,year
R12_MEA,fuel_bunker,broadcast,broadcast,1,%,year
R12_NAM,fuel_bunker,broadcast,broadcast,1,%,year
R12_PAO,fuel_bunker,broadcast,broadcast,1,%,year
R12_PAS,fuel_bunker,broadcast,broadcast,1,%,year
R12_SAS,fuel_bunker,broadcast,broadcast,1,%,year
R12_WEU,fuel_bunker,broadcast,broadcast,1,%,year
R12_GLB,LNG_tanker,broadcast,broadcast,1,%,year
