# Exported using:
#   mix-models --url="ixmp://ixmp-dev/SSP_SSP1_v6.5/SSP1 - Low Emissions" transport export-price
# at 2026-04-07T19:28:01.143829
#
node,type_emission,type_tec,year,lvl,mrg
R12_AFR,TCE,all,2035,27.986206720799046,0.0
R12_AFR,TCE,all,2040,467.35267961138027,0.0
R12_AFR,TCE,all,2045,444.5070441895579,0.0
R12_AFR,TCE,all,2050,311.55643015397334,0.0
R12_AFR,TCE,all,2055,422.78661070120506,0.0
R12_AFR,TCE,all,2060,501.2019227503621,0.0
R12_AFR,TCE,all,2070,322.69109219078086,0.0
R12_AFR,TCE,all,2080,813.7065004041036,0.0
R12_AFR,TCE,all,2090,283.2237440386424,0.0
R12_AFR,TCE,all,2100,349.3235759372356,0.0
R12_AFR,TCE,all,2110,391.42089075696026,0.0
R12_EEU,TCE,all,2035,511.6312835286653,0.0
R12_EEU,TCE,all,2040,425.5848369045436,0.0
R12_EEU,TCE,all,2045,409.51882625905307,0.0
R12_EEU,TCE,all,2050,1845.882528017128,0.0
R12_EEU,TCE,all,2055,717.774921366223,0.0
R12_EEU,TCE,all,2060,800.3242158967148,0.0
R12_EEU,TCE,all,2070,1030.9060814821876,0.0
R12_EEU,TCE,all,2080,1651.924312788974,0.0
R12_EEU,TCE,all,2090,536.0220701273116,0.0
R12_EEU,TCE,all,2100,461.2192537455781,0.0
R12_EEU,TCE,all,2110,501.6761418755649,0.0
R12_GLB,TCE,all,2035,340.239213661948,0.0
R12_GLB,TCE,all,2040,450.6053842655253,0.0
R12_GLB,TCE,all,2045,657.7941953375512,0.0
R12_GLB,TCE,all,2050,1570.8502759050039,0.0
R12_GLB,TCE,all,2055,4676.034426542131,0.0
R12_GLB,TCE,all,2060,3343.2100489082222,0.0
R12_GLB,TCE,all,2070,1194.9656610391576,0.0
R12_GLB,TCE,all,2080,1404.7128455811344,0.0
R12_GLB,TCE,all,2090,1546.0219248138126,0.0
R12_GLB,TCE,all,2100,1187.178727613958,0.0
R12_GLB,TCE,all,2110,1057.595474936114,0.0
R12_LAM,TCE,all,2035,104.35956921758698,0.0
R12_LAM,TCE,all,2040,34.36530431101274,0.0
R12_LAM,TCE,all,2045,150.41146248532553,0.0
R12_LAM,TCE,all,2050,70.66413911022997,0.0
R12_LAM,TCE,all,2055,215.70938549273615,0.0
R12_LAM,TCE,all,2060,500.78316716420227,0.0
R12_LAM,TCE,all,2070,322.12831969990657,0.0
R12_LAM,TCE,all,2080,571.0962259015375,0.0
R12_LAM,TCE,all,2090,282.2073143203114,0.0
R12_LAM,TCE,all,2100,347.9575793903185,0.0
R12_LAM,TCE,all,2110,389.5851056234308,0.0
R12_MEA,TCE,all,2035,42.44930741342586,0.0
R12_MEA,TCE,all,2040,119.73946308509876,0.0
R12_MEA,TCE,all,2045,163.2261479931304,0.0
R12_MEA,TCE,all,2050,113.03373822668294,0.0
R12_MEA,TCE,all,2055,216.07060773967356,0.0
R12_MEA,TCE,all,2060,501.2019227503621,0.0
R12_MEA,TCE,all,2070,366.9391983609653,0.0
R12_MEA,TCE,all,2080,1064.9362568410152,0.0
R12_MEA,TCE,all,2090,615.1496227361866,0.0
R12_MEA,TCE,all,2100,614.2603491656861,0.0
R12_MEA,TCE,all,2110,608.2140472193071,0.0
R12_NAM,TCE,all,2035,23.874635191993924,0.0
R12_NAM,TCE,all,2040,32.00111496722509,0.0
R12_NAM,TCE,all,2045,56.87145993746946,0.0
R12_NAM,TCE,all,2050,70.35254562690982,0.0
R12_NAM,TCE,all,2055,227.00659759331748,0.0
R12_NAM,TCE,all,2060,3931.161318243292,0.0
R12_NAM,TCE,all,2070,337.2331939361697,0.0
R12_NAM,TCE,all,2080,571.0962259015375,0.0
R12_NAM,TCE,all,2090,283.22374403864103,0.0
R12_NAM,TCE,all,2100,347.95757939031864,0.0
R12_NAM,TCE,all,2110,389.5851056234308,0.0
R12_SAS,TCE,all,2035,23.874635191993924,0.0
R12_SAS,TCE,all,2040,52.07247934280867,0.0
R12_SAS,TCE,all,2045,170.91923438721378,0.0
R12_SAS,TCE,all,2050,111.37291032814153,0.0
R12_SAS,TCE,all,2055,216.07060773967,0.0
R12_SAS,TCE,all,2060,501.20192275035924,0.0
R12_SAS,TCE,all,2070,1260.297844016243,0.0
R12_SAS,TCE,all,2080,1113.4385863813409,0.0
R12_SAS,TCE,all,2090,1651.184594654968,0.0
R12_SAS,TCE,all,2100,1610.6891276473384,0.0
R12_SAS,TCE,all,2110,1606.5989398789113,0.0
