# Exported from ixmp://ixmp-dev/SSP_SSP4_v5.3.1/NPi2030#1
#
node,type_emission,type_tec,year,value,mrg
R12_AFR,TCE,all,2030,227.13627074180098,0.0
R12_EEU,TCE,all,2030,256.82486095502566,0.0
R12_LAM,TCE,all,2030,273.70329116002824,0.0
R12_MEA,TCE,all,2030,484.393410591876,0.0
R12_NAM,TCE,all,2030,467.83648108042206,0.0
R12_SAS,TCE,all,2030,109.44223780981594,0.0
R12_WEU,TCE,all,2030,447.12958234387827,0.0
R12_FSU,TCE,all,2030,292.56470198256085,0.0
R12_PAO,TCE,all,2030,22.859074365711827,0.0
R12_PAS,TCE,all,2030,208.44350843999626,0.0
R12_RCPA,TCE,all,2030,72.53529270744751,0.0
