# Exported from ixmp://ixmp-dev/SSP_SSP2_v5.3.1/INDC2030i_SSP2 - Low Emissions#1
#
node,type_emission,type_tec,year,value,mrg
R12_AFR,TCE,all,2035,1144.7307441122198,0.0
R12_AFR,TCE,all,2040,290.02806507965744,0.0
R12_AFR,TCE,all,2045,635.5421135282805,0.0
R12_AFR,TCE,all,2050,751.7048155198095,0.0
R12_AFR,TCE,all,2055,665.5069210564941,0.0
R12_AFR,TCE,all,2060,1316.0196172950707,0.0
R12_AFR,TCE,all,2070,577.9917686905636,0.0
R12_AFR,TCE,all,2080,482.2467298009651,0.0
R12_AFR,TCE,all,2090,452.45373924864845,0.0
R12_AFR,TCE,all,2100,470.57504368065634,0.0
R12_AFR,TCE,all,2110,646.4758898595861,0.0
R12_EEU,TCE,all,2035,540.9933636792339,0.0
R12_EEU,TCE,all,2040,274.15877153214996,0.0
R12_EEU,TCE,all,2045,392.77033384159785,0.0
R12_EEU,TCE,all,2050,1943.718781257219,0.0
R12_EEU,TCE,all,2055,481.5608687334595,0.0
R12_EEU,TCE,all,2060,1315.3423463068914,0.0
R12_EEU,TCE,all,2070,577.9917686905636,0.0
R12_EEU,TCE,all,2080,861.4574420047475,0.0
R12_EEU,TCE,all,2090,801.6476016839207,0.0
R12_EEU,TCE,all,2100,936.9888527164787,0.0
R12_EEU,TCE,all,2110,967.0863883987788,0.0
R12_GLB,TCE,all,2035,1886.585434931456,0.0
R12_GLB,TCE,all,2040,493.72134962356336,0.0
R12_GLB,TCE,all,2045,681.7858246064067,0.0
R12_GLB,TCE,all,2050,1610.9601172741266,0.0
R12_GLB,TCE,all,2055,4843.4447712080355,0.0
R12_GLB,TCE,all,2060,2662.3425315002264,0.0
R12_GLB,TCE,all,2070,1366.7932227578701,0.0
R12_GLB,TCE,all,2080,1534.3268585360254,0.0
R12_GLB,TCE,all,2090,1203.15543697706,0.0
R12_GLB,TCE,all,2100,1133.941519991761,0.0
R12_GLB,TCE,all,2110,1979.3458857277121,0.0
R12_GLB,CO2_shipping_IMO,bunkers,2090,1389.2913357607752,0.0
R12_GLB,CO2_shipping_IMO,bunkers,2100,2.641918813448744,0.0
R12_GLB,CO2_shipping_IMO,bunkers,2110,217.3510975726432,0.0
R12_LAM,TCE,all,2035,328.0262441991706,0.0
R12_LAM,TCE,all,2040,158.44245000366243,0.0
R12_LAM,TCE,all,2045,207.08265373581006,0.0
R12_LAM,TCE,all,2050,264.90195966373744,0.0
R12_LAM,TCE,all,2055,481.03020919243056,0.0
R12_LAM,TCE,all,2060,1315.34234630689,0.0
R12_LAM,TCE,all,2070,576.8885656170462,0.0
R12_LAM,TCE,all,2080,480.44972824226653,0.0
R12_LAM,TCE,all,2090,449.52661306537345,0.0
R12_LAM,TCE,all,2100,465.8070635688211,0.0
R12_LAM,TCE,all,2110,638.7093526748939,0.0
R12_MEA,TCE,all,2035,2246.749800086071,0.0
R12_MEA,TCE,all,2040,580.8902073450646,0.0
R12_MEA,TCE,all,2045,484.39340973814797,0.0
R12_MEA,TCE,all,2050,403.7748704021168,0.0
R12_MEA,TCE,all,2055,484.3934097333345,0.0
R12_MEA,TCE,all,2060,1316.0196172950707,0.0
R12_MEA,TCE,all,2070,671.3286105046258,0.0
R12_MEA,TCE,all,2080,680.1915845256253,0.0
R12_MEA,TCE,all,2090,670.243109602987,0.0
R12_MEA,TCE,all,2100,739.5139115484221,0.0
R12_MEA,TCE,all,2110,814.4424252812374,0.0
R12_NAM,TCE,all,2035,622.2809529349776,0.0
