# Exported using:
#   mix-models --url="ixmp://ixmp-dev/SSP_SSP2_v6.6/SSP2 - Medium Emissions" transport export-price
# at 2026-04-07T19:31:26.682604
#
node,type_emission,type_tec,year,lvl,mrg
R12_AFR,TCE,all,2035,1.116,0.0
R12_AFR,TCE,all,2040,1.116,0.0
R12_AFR,TCE,all,2045,1.116,0.0
R12_AFR,TCE,all,2050,1.116,0.0
R12_AFR,TCE,all,2055,1.116,0.0
R12_AFR,TCE,all,2060,1.116,0.0
R12_AFR,TCE,all,2070,1.116,0.0
R12_AFR,TCE,all,2080,1.116,0.0
R12_AFR,TCE,all,2090,1.116,0.0
R12_AFR,TCE,all,2100,1.116,0.0
R12_AFR,TCE,all,2110,1.116,0.0
R12_EEU,TCE,all,2035,200.162,0.0
R12_EEU,TCE,all,2040,200.162,0.0
R12_EEU,TCE,all,2045,200.162,0.0
R12_EEU,TCE,all,2050,200.16199999999998,0.0
R12_EEU,TCE,all,2055,200.162,0.0
R12_EEU,TCE,all,2060,200.162,0.0
R12_EEU,TCE,all,2070,200.162,0.0
R12_EEU,TCE,all,2080,200.162,0.0
R12_EEU,TCE,all,2090,200.162,0.0
R12_EEU,TCE,all,2100,200.162,0.0
R12_EEU,TCE,all,2110,200.162,0.0
R12_LAM,TCE,all,2035,29.212,0.0
R12_LAM,TCE,all,2040,29.212,0.0
R12_LAM,TCE,all,2045,29.212,0.0
R12_LAM,TCE,all,2050,29.212000000000003,0.0
R12_LAM,TCE,all,2055,29.212,0.0
R12_LAM,TCE,all,2060,29.212,0.0
R12_LAM,TCE,all,2070,29.212,0.0
R12_LAM,TCE,all,2080,29.212,0.0
R12_LAM,TCE,all,2090,29.212,0.0
R12_LAM,TCE,all,2100,29.212,0.0
R12_LAM,TCE,all,2110,29.212,0.0
R12_NAM,TCE,all,2035,155.91,0.0
R12_NAM,TCE,all,2040,155.91,0.0
R12_NAM,TCE,all,2045,155.91,0.0
R12_NAM,TCE,all,2050,155.91,0.0
R12_NAM,TCE,all,2055,155.91,0.0
R12_NAM,TCE,all,2060,155.91,0.0
R12_NAM,TCE,all,2070,155.91,0.0
R12_NAM,TCE,all,2080,155.91,0.0
R12_NAM,TCE,all,2090,155.91,0.0
R12_NAM,TCE,all,2100,155.91,0.0
R12_NAM,TCE,all,2110,155.91,0.0
R12_SAS,TCE,all,2035,0.045,0.0
R12_SAS,TCE,all,2040,0.045,0.0
R12_SAS,TCE,all,2045,0.045,0.0
R12_SAS,TCE,all,2050,0.045,0.0
R12_SAS,TCE,all,2055,0.045,0.0
R12_SAS,TCE,all,2060,0.045,0.0
R12_SAS,TCE,all,2070,0.045,0.0
R12_SAS,TCE,all,2080,0.045,0.0
R12_SAS,TCE,all,2090,0.045000000000000005,0.0
R12_SAS,TCE,all,2100,0.045,0.0
R12_SAS,TCE,all,2110,0.045,0.0
R12_WEU,TCE,all,2035,252.422,0.0
R12_WEU,TCE,all,2040,252.42199999999997,0.0
R12_WEU,TCE,all,2045,252.422,0.0
R12_WEU,TCE,all,2050,252.422,0.0
R12_WEU,TCE,all,2055,252.422,0.0
R12_WEU,TCE,all,2060,252.422,0.0
R12_WEU,TCE,all,2070,252.422,0.0
R12_WEU,TCE,all,2080,252.422,0.0
R12_WEU,TCE,all,2090,252.422,0.0
R12_WEU,TCE,all,2100,252.422,0.0
R12_WEU,TCE,all,2110,252.42199999999997,0.0
R12_PAO,TCE,all,2035,0.094,0.0
R12_PAO,TCE,all,2040,0.094,0.0
R12_PAO,TCE,all,2045,0.094,0.0
R12_PAO,TCE,all,2050,0.09399999999999999,0.0
R12_PAO,TCE,all,2055,0.094,0.0
R12_PAO,TCE,all,2060,0.094,0.0
R12_PAO,TCE,all,2070,0.094,0.0
R12_PAO,TCE,all,2080,0.094,0.0
R12_PAO,TCE,all,2090,0.094,0.0
R12_PAO,TCE,all,2100,0.094,0.0
R12_PAO,TCE,all,2110,0.094,0.0
R12_PAS,TCE,all,2035,14.101,0.0
R12_PAS,TCE,all,2040,14.101,0.0
R12_PAS,TCE,all,2045,14.101,0.0
R12_PAS,TCE,all,2050,14.101,0.0
R12_PAS,TCE,all,2055,14.101,0.0
R12_PAS,TCE,all,2060,14.101000000000003,0.0
R12_PAS,TCE,all,2070,14.101,0.0
R12_PAS,TCE,all,2080,14.101,0.0
R12_PAS,TCE,all,2090,14.101,0.0
R12_PAS,TCE,all,2100,14.101,0.0
R12_PAS,TCE,all,2110,14.100999999999999,0.0
R12_RCPA,TCE,all,2035,0.023,0.0
R12_RCPA,TCE,all,2040,0.023,0.0
R12_RCPA,TCE,all,2045,0.023,0.0
R12_RCPA,TCE,all,2050,0.023,0.0
R12_RCPA,TCE,all,2055,0.023,0.0
R12_RCPA,TCE,all,2060,0.022999999999999996,0.0
R12_RCPA,TCE,all,2070,0.023,0.0
R12_RCPA,TCE,all,2080,0.023,0.0
R12_RCPA,TCE,all,2090,0.023,0.0
R12_RCPA,TCE,all,2100,0.023,0.0
R12_RCPA,TCE,all,2110,0.023,0.0
