# Exported from ixmp://ixmp-dev/SSP_SSP2_v5.3.1/INDC2030i_SSP2 - Low Emissions_a#1
#
node,type_emission,type_tec,year,value,mrg
World,TCE,all,2035,83.80436441700445,0.0
World,TCE,all,2040,108.06610135885757,0.0
World,TCE,all,2045,137.70654767144842,0.0
World,TCE,all,2050,175.42425850549873,0.0
World,TCE,all,2055,223.69051884879357,0.0
World,TCE,all,2060,285.71432489865106,0.0
World,TCE,all,2070,409.15975445957497,0.0
World,TCE,all,2080,666.8284505513639,0.0
World,TCE,all,2090,725.0084398555248,0.0
World,TCE,all,2100,725.0084398555248,0.0
World,TCE,all,2110,725.0084398555248,0.0
