# Exported from ixmp://ixmp-dev/SSP_SSP1_v5.3.1/baseline_1000f#1
#
node,type_emission,type_tec,year,value,mrg
World,TCE,all,2030,53.35459581962397,0.0
World,TCE,all,2035,61.852599678445195,0.0
World,TCE,all,2040,71.70411523527798,0.0
World,TCE,all,2045,83.12472181287745,0.0
World,TCE,all,2050,96.36433493106853,0.0
World,TCE,all,2055,111.71267517274961,0.0
World,TCE,all,2060,129.50560809846593,0.0
World,TCE,all,2070,161.20668516512558,0.0
World,TCE,all,2080,216.64830465318335,0.0
World,TCE,all,2090,291.1572051805485,0.0
World,TCE,all,2100,391.2909370061963,0.0
World,TCE,all,2110,525.8622993315364,0.0
R12_GLB,CO2_shipping_IMO,bunkers,2055,4785.047226845431,0.0
R12_GLB,CO2_shipping_IMO,bunkers,2060,384.4240826840261,0.0
R12_GLB,CO2_shipping_IMO,bunkers,2070,162.3830701274615,0.0
R12_GLB,CO2_shipping_IMO,bunkers,2080,171.99540559482315,0.0
R12_GLB,CO2_shipping_IMO,bunkers,2090,125.0253205227637,0.0
R12_GLB,CO2_shipping_IMO,bunkers,2100,50.48926284834042,0.0
R12_GLB,CO2_shipping_IMO,bunkers,2110,25.091911261371475,0.0
