# Exported using:
#   mix-models --url="ixmp://ixmp-dev/SSP_LED_v6.5/SSP2 - Very Low Emissions" transport export-price
# at 2026-04-07T19:26:21.921651
#
node,type_emission,type_tec,year,lvl,mrg
World,TCE,all,2035,365.61880670519434,0.0
World,TCE,all,2040,423.596572648762,0.0
World,TCE,all,2045,491.20695234454087,0.0
World,TCE,all,2050,569.261963287646,0.0
World,TCE,all,2055,660.0400992843945,0.0
World,TCE,all,2060,765.2859275753157,0.0
World,TCE,all,2070,765.2859275753157,0.0
World,TCE,all,2080,765.2859275753157,0.0
World,TCE,all,2090,765.2859275753158,0.0
World,TCE,all,2100,765.2859275753157,0.0
World,TCE,all,2110,765.2859275753157,0.0
