# Exported from ixmp://ixmp-dev/SSP_SSP2_v5.3.1/baselineS_15#1
#
node,type_emission,type_tec,year,value,mrg
World,TCE,all,2030,55.0,0.0
World,TCE,all,2035,70.19548593750002,0.0
World,TCE,all,2040,89.58920447275933,0.0
World,TCE,all,2045,114.3410498676253,0.0
World,TCE,all,2050,145.93137378294327,0.0
World,TCE,all,2055,186.24952174946642,0.0
World,TCE,all,2060,237.7068306332868,0.0
World,TCE,all,2070,387.1993791668563,0.0
World,TCE,all,2080,630.7069882164536,0.0
World,TCE,all,2090,1027.3552241767648,0.0
World,TCE,all,2100,1673.4534044532666,0.0
World,TCE,all,2110,2725.8792586763434,0.0
R12_GLB,CO2_shipping_IMO,bunkers,2090,1133.740610897709,0.0
R12_GLB,CO2_shipping_IMO,bunkers,2100,1437.1265172703802,0.0
R12_GLB,CO2_shipping_IMO,bunkers,2110,2493.3541164307076,0.0
